‾	vizë lart, vizë përmbi
≖	barazim, matematikë, unazë barazimi
≡	i ngjashëm, i ngjashëm me, njëlloj me, njësoj, trefish
≣	barasvlerë strikte, barazim, matematikë
≤	baras, më e vogël ose baras, më pak, më pak se ose baras
≥	baras, më e madhe ose baras, më shumë, më shumë se ose baras
≦	matematikë, më pak ose baras, pabarazi
≧	matematikë, më shumë ose baras, pabarazi
≪	matematikë, pabarazi, shumë më pak
≫	matematikë, pabarazi, shumë më shumë
≬	ndërmjet
≳	matematikë, më shumë ose afërsisht, pabarazi
≺	matematikë, operator bashkësie, pararend
≻	matematikë, operator bashkësie, tejkalon
⊁	matematikë, nuk tejkalon, operator bashkësie
⊂	bashkësi, nënbashkësi, nënbashkësi e
⊃	matematikë, mbibashkësi, operator bashkësie
⊆	nënbashkësia baras
⊇	barazi, matematikë, mbibashkësia baras
⊕	plus, rreth me plus
⊖	diferencë simetrike, erozion, rreth me minus
⊗	produkt, rreth me kryq, tensor
⊘	matematikë, rreth me thyesë, si pjesëtim
⊙	XNOR, operator, operator rrethi me pikë
⊚	operator rrethi me rreth
⊛	operator, operator rrethi me yll, yll
⊞	katror me plus, matematikë, si mbledhje
⊟	katror me minus, matematikë, si heqje
⊥	eet, falsum, thumb, thumb lart
⊮	nuk detyron
⊰	matematikë, operator bashkësie, pararend në raport
⊱	matematikë, operator bashkësie, tejkalon në raport
⋭	matematikë, nuk përmban si të barabartë nëngrupi normal, teori e grupeve
⊶	origjinal
⊹	matematikë, matricë katrore, matricë lidhjeje hermitiane, matricë vetëndajshtuese
⊿	matematikë, trekëndësh i djathtë, trekëndësh kënddrejtë
⋁	logjike, n-ar logjik ose, shkëputje
⋂	matematikë, ndërprerje, ndërprerje n-are, operator bashkësie
⋃	bashkim, bashkim n-ar, matematikë, operator bashkësie
⋅	operator, operator pikë
⋆	operator, operator yll
⋈	bashkim natyral, fjongo, operator binar
⋒	matematikë, ndërprerje, ndërprerje dyshe, operator bashkësie
⋘	matematikë, pabarazi, shumë më pak se
⋙	matematikë, pabarazi, shumë më shumë se
⋮	matematikë, trepikësh, trepikësh vertikal
⋯	trepikësh, trepikësh horizontal mesi
⋰	matematikë, trepikësh, trepikësh diagonal djathtas lart
⋱	matematikë, trepikësh, trepikësh diagonal djathtas poshtë
■	katror i mbushur
□	katror i zbrazët
▢	katror i zbrazët me kënde të harkuara
▣	katror i zbrazët me katror të mbushur
▤	katror me mbushje horizontale
▥	katror me mbushje vertikale
▦	katror me mbushje rrjete drejtkëndore
▧	katror me mbushje majtas lart djathtas poshtë
▨	katror me mbushje djathtas lart majtas poshtë
▩	katror me mbushje rrjete diagonale
▬	drejtkëndësh i mbushur
▭	drejtkëndësh i zbrazët
▮	drejtkëndësh i mbushur vertikal
▰	paralelogram i mbushur
▲	i mbushur, me drejtim lart, trekëndësh, trekëndësh i mbushur, me drejtim lart
△	trekëndësh i zbrazët me drejtim lart
▴	trekëndësh i mbushur i vogël me drejtim lart
