‾	vizë lart, vizë përmbi
👩🏼‍✈	aeroplan, grua, nuancë lëkure gjysmë e çelët, pilote, pilote: nuancë lëkure gjysmë e çelët
👩🏽‍✈	aeroplan, grua, nuancë lëkure zeshkane, pilote, pilote: nuancë lëkure zeshkane
👩🏾‍✈	aeroplan, grua, nuancë lëkure gjysmë e errët, pilote, pilote: nuancë lëkure gjysmë e errët
👩🏿‍✈	aeroplan, grua, nuancë lëkure e errët, pilote, pilote: nuancë lëkure e errët
🧑‍🚀	astronaut, person astronaut, raketë
🧑🏻‍🚀	astronaut, nuancë lëkure e çelët, person astronaut, person astronaut: nuancë lëkure e çelët, raketë
🧑🏼‍🚀	astronaut, nuancë lëkure gjysmë e çelët, person astronaut, person astronaut: nuancë lëkure gjysmë e çelët, raketë
🧑🏽‍🚀	astronaut, nuancë lëkure zeshkane, person astronaut, person astronaut: nuancë lëkure zeshkane, raketë
🧑🏾‍🚀	astronaut, nuancë lëkure gjysmë e errët, person astronaut, person astronaut: nuancë lëkure gjysmë e errët, raketë
🧑🏿‍🚀	astronaut, nuancë lëkure e errët, person astronaut, person astronaut: nuancë lëkure e errët, raketë
👨‍🚀	astronaut, burrë, hapësirë, raketë
👨🏻‍🚀	astronaut, astronaut: nuancë lëkure e çelët, burrë, hapësirë, nuancë lëkure e çelët, raketë
👨🏼‍🚀	astronaut, astronaut: nuancë lëkure gjysmë e çelët, burrë, hapësirë, nuancë lëkure gjysmë e çelët, raketë
👨🏽‍🚀	astronaut, astronaut: nuancë lëkure zeshkane, burrë, hapësirë, nuancë lëkure zeshkane, raketë
👨🏾‍🚀	astronaut, astronaut: nuancë lëkure gjysmë e errët, burrë, hapësirë, nuancë lëkure gjysmë e errët, raketë
👨🏿‍🚀	astronaut, astronaut: nuancë lëkure e errët, burrë, hapësirë, nuancë lëkure e errët, raketë
👩‍🚀	astronaute, grua, hapësirë, raketë
👩🏻‍🚀	astronaute, astronaute: nuancë lëkure e çelët, grua, hapësirë, nuancë lëkure e çelët, raketë
👩🏼‍🚀	astronaute, astronaute: nuancë lëkure gjysmë e çelët, grua, hapësirë, nuancë lëkure gjysmë e çelët, raketë
👩🏽‍🚀	astronaute, astronaute: nuancë lëkure zeshkane, grua, hapësirë, nuancë lëkure zeshkane, raketë
👩🏾‍🚀	astronaute, astronaute: nuancë lëkure gjysmë e errët, grua, hapësirë, nuancë lëkure gjysmë e errët, raketë
👩🏿‍🚀	astronaute, astronaute: nuancë lëkure e errët, grua, hapësirë, nuancë lëkure e errët, raketë
🧑‍🚒	autozjarrfikëse, person zjarrfikës, zjarrfikës
🧑🏻‍🚒	autozjarrfikëse, nuancë lëkure e çelët, person zjarrfikës, person zjarrfikës: nuancë lëkure e çelët, zjarrfikës
🧑🏼‍🚒	autozjarrfikëse, nuancë lëkure gjysmë e çelët, person zjarrfikës, person zjarrfikës: nuancë lëkure gjysmë e çelët, zjarrfikës
🧑🏽‍🚒	autozjarrfikëse, nuancë lëkure zeshkane, person zjarrfikës, person zjarrfikës: nuancë lëkure zeshkane, zjarrfikës
🧑🏾‍🚒	autozjarrfikëse, nuancë lëkure gjysmë e errët, person zjarrfikës, person zjarrfikës: nuancë lëkure gjysmë e errët, zjarrfikës
🧑🏿‍🚒	autozjarrfikëse, nuancë lëkure e errët, person zjarrfikës, person zjarrfikës: nuancë lëkure e errët, zjarrfikës
👨‍🚒	burrë, makinë zjarrfikëse, zjarrfikës
👨🏻‍🚒	burrë, makinë zjarrfikëse, nuancë lëkure e çelët, zjarrfikës, zjarrfikës: nuancë lëkure e çelët
👨🏼‍🚒	burrë, makinë zjarrfikëse, nuancë lëkure gjysmë e çelët, zjarrfikës, zjarrfikës: nuancë lëkure gjysmë e çelët
👨🏽‍🚒	burrë, makinë zjarrfikëse, nuancë lëkure zeshkane, zjarrfikës, zjarrfikës: nuancë lëkure zeshkane
👨🏾‍🚒	burrë, makinë zjarrfikëse, nuancë lëkure gjysmë e errët, zjarrfikës, zjarrfikës: nuancë lëkure gjysmë e errët
👨🏿‍🚒	burrë, makinë zjarrfikëse, nuancë lëkure e errët, zjarrfikës, zjarrfikës: nuancë lëkure e errët
👩‍🚒	grua, grua zjarrëfikëse, makinë zjarrfikëse, zjarrfikëse
👩🏻‍🚒	grua, grua zjarrëfikëse, grua zjarrëfikëse: nuancë lëkure e çelët, makinë zjarrfikëse, nuancë lëkure e çelët, zjarrfikëse
👩🏼‍🚒	grua, grua zjarrëfikëse, grua zjarrëfikëse: nuancë lëkure gjysmë e çelët, makinë zjarrfikëse, nuancë lëkure gjysmë e çelët, zjarrfikëse
👩🏽‍🚒	grua, grua zjarrëfikëse, grua zjarrëfikëse: nuancë lëkure zeshkane, makinë zjarrfikëse, nuancë lëkure zeshkane, zjarrfikëse
👩🏾‍🚒	grua, grua zjarrëfikëse, grua zjarrëfikëse: nuancë lëkure gjysmë e errët, makinë zjarrfikëse, nuancë lëkure gjysmë e errët, zjarrfikëse
👩🏿‍🚒	grua, grua zjarrëfikëse, grua zjarrëfikëse: nuancë lëkure e errët, makinë zjarrfikëse, nuancë lëkure e errët, zjarrfikëse
👮	arrestoj, burrë, kap, ligj, oficer, polic, polic i fshehtë
👮🏻	arrestoj, burrë, kap, ligj, nuancë lëkure e çelët, oficer, polic, polic i fshehtë, polic: nuancë lëkure e çelët
👮🏼	arrestoj, burrë, kap, ligj, nuancë lëkure gjysmë e çelët, oficer, polic, polic i fshehtë, polic: nuancë lëkure gjysmë e çelët
👮🏽	arrestoj, burrë, kap, ligj, nuancë lëkure zeshkane, oficer, polic, polic i fshehtë, polic: nuancë lëkure zeshkane
👮🏾	arrestoj, burrë, kap, ligj, nuancë lëkure gjysmë e errët, oficer, polic, polic i fshehtë, polic: nuancë lëkure gjysmë e errët
👮🏿	arrestoj, burrë, kap, ligj, nuancë lëkure e errët, oficer, polic, polic i fshehtë, polic: nuancë lëkure e errët
👮‍♂	burrë, oficer, oficer policie, policë
👮🏻‍♂	burrë, nuancë lëkure e çelët, oficer, oficer policie, oficer policie: nuancë lëkure e çelët, policë
👮🏼‍♂	burrë, nuancë lëkure gjysmë e çelët, oficer, oficer policie, oficer policie: nuancë lëkure gjysmë e çelët, policë
👮🏽‍♂	burrë, nuancë lëkure zeshkane, oficer, oficer policie, oficer policie: nuancë lëkure zeshkane, policë
👮🏾‍♂	burrë, nuancë lëkure gjysmë e errët, oficer, oficer policie, oficer policie: nuancë lëkure gjysmë e errët, policë
👮🏿‍♂	burrë, nuancë lëkure e errët, oficer, oficer policie, oficer policie: nuancë lëkure e errët, policë
👮‍♀	arrestoj, grua, kap, ligj, oficere, oficere policie, police, police e fshehtë
👮🏻‍♀	arrestoj, grua, kap, ligj, nuancë lëkure e çelët, oficere, oficere policie: nuancë lëkure e çelët, police, police e fshehtë
👮🏼‍♀	arrestoj, grua, kap, ligj, nuancë lëkure gjysmë e çelët, oficere, oficere policie: nuancë lëkure gjysmë e çelët, police, police e fshehtë
👮🏽‍♀	arrestoj, grua, kap, ligj, nuancë lëkure zeshkane, oficere, oficere policie: nuancë lëkure zeshkane, police, police e fshehtë
👮🏾‍♀	arrestoj, grua, kap, ligj, nuancë lëkure gjysmë e errët, oficere, oficere policie: nuancë lëkure gjysmë e errët, police, police e fshehtë
👮🏿‍♀	arrestoj, grua, kap, ligj, nuancë lëkure e errët, oficere, oficere policie: nuancë lëkure e errët, police, police e fshehtë
🕵️	burrë, detektiv, spiun
🕵🏻	burrë, detektiv, detektiv: nuancë lëkure e çelët, nuancë lëkure e çelët, spiun
🕵🏼	burrë, detektiv, detektiv: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, spiun
🕵🏽	burrë, detektiv, detektiv: nuancë lëkure zeshkane, nuancë lëkure zeshkane, spiun
🕵🏾	burrë, detektiv, detektiv: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, spiun
🕵🏿	burrë, detektiv, detektiv: nuancë lëkure e errët, nuancë lëkure e errët, spiun
🕵‍♂	burrë, detektiv, hetues, spiun
🕵🏻‍♂	burrë, detektiv, hetues, hetues: nuancë lëkure e çelët, nuancë lëkure e çelët, spiun
🕵🏼‍♂	burrë, detektiv, hetues, hetues: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, spiun
🕵🏽‍♂	burrë, detektiv, hetues, hetues: nuancë lëkure zeshkane, nuancë lëkure zeshkane, spiun
🕵🏾‍♂	burrë, detektiv, hetues, hetues: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, spiun
🕵🏿‍♂	burrë, detektiv, hetues, hetues: nuancë lëkure e errët, nuancë lëkure e errët, spiun
🕵‍♀	detektive, grua, hetuese, spiune
🕵🏻‍♀	detektive, grua, hetuese, hetuese: nuancë lëkure e çelët, nuancë lëkure e çelët, spiune
🕵🏼‍♀	detektive, grua, hetuese, hetuese: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, spiune
🕵🏽‍♀	detektive, grua, hetuese, hetuese: nuancë lëkure zeshkane, nuancë lëkure zeshkane, spiune
🕵🏾‍♀	detektive, grua, hetuese, hetuese: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, spiune
🕵🏿‍♀	detektive, grua, hetuese, hetuese: nuancë lëkure e errët, nuancë lëkure e errët, spiune
💂	helmetë, londër, rojtar, rojë, ushtar garde
💂🏻	helmetë, londër, nuancë lëkure e çelët, rojtar, rojë, ushtar garde, ushtar garde: nuancë lëkure e çelët
💂🏼	helmetë, londër, nuancë lëkure gjysmë e çelët, rojtar, rojë, ushtar garde, ushtar garde: nuancë lëkure gjysmë e çelët
💂🏽	helmetë, londër, nuancë lëkure zeshkane, rojtar, rojë, ushtar garde, ushtar garde: nuancë lëkure zeshkane
💂🏾	helmetë, londër, nuancë lëkure gjysmë e errët, rojtar, rojë, ushtar garde, ushtar garde: nuancë lëkure gjysmë e errët
💂🏿	helmetë, londër, nuancë lëkure e errët, rojtar, rojë, ushtar garde, ushtar garde: nuancë lëkure e errët
💂‍♂	burrë, gardist, rojtar
💂🏻‍♂	burrë, gardist, gardist: nuancë lëkure e çelët, nuancë lëkure e çelët, rojtar
💂🏼‍♂	burrë, gardist, gardist: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, rojtar
💂🏽‍♂	burrë, gardist, gardist: nuancë lëkure zeshkane, nuancë lëkure zeshkane, rojtar
💂🏾‍♂	burrë, gardist, gardist: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, rojtar
💂🏿‍♂	burrë, gardist, gardist: nuancë lëkure e errët, nuancë lëkure e errët, rojtar
💂‍♀	grua, helmetë, londër, rojtare, ushtare garde
💂🏻‍♀	grua, helmetë, londër, nuancë lëkure e çelët, rojtare, ushtare garde, ushtare garde: nuancë lëkure e çelët
💂🏼‍♀	grua, helmetë, londër, nuancë lëkure gjysmë e çelët, rojtare, ushtare garde, ushtare garde: nuancë lëkure gjysmë e çelët
💂🏽‍♀	grua, helmetë, londër, nuancë lëkure zeshkane, rojtare, ushtare garde, ushtare garde: nuancë lëkure zeshkane
💂🏾‍♀	grua, helmetë, londër, nuancë lëkure gjysmë e errët, rojtare, ushtare garde, ushtare garde: nuancë lëkure gjysmë e errët
💂🏿‍♀	grua, helmetë, londër, nuancë lëkure e errët, rojtare, ushtare garde, ushtare garde: nuancë lëkure e errët
🥷	aftësi, betejë, dinak, fshehtësi, luftë, luftëtar, ninxha, ninxhë, sekret, ushtar, vrasës
🥷🏻	aftësi, betejë, dinak, fshehtësi, luftë, luftëtar, ninxha, ninxhë: nuancë lëkure e çelët, nuancë lëkure e çelët, sekret, ushtar, vrasës
🥷🏼	aftësi, betejë, dinak, fshehtësi, luftë, luftëtar, ninxha, ninxhë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, sekret, ushtar, vrasës
🥷🏽	aftësi, betejë, dinak, fshehtësi, luftë, luftëtar, ninxha, ninxhë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, sekret, ushtar, vrasës
🥷🏾	aftësi, betejë, dinak, fshehtësi, luftë, luftëtar, ninxha, ninxhë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, sekret, ushtar, vrasës
🥷🏿	aftësi, betejë, dinak, fshehtësi, luftë, luftëtar, ninxha, ninxhë: nuancë lëkure e errët, nuancë lëkure e errët, sekret, ushtar, vrasës
👷	helmetë, kapelë, kasketë, punëtor ndërtimi, rimodeloj, rindërtoj, riparoj, rregulloj
👷🏻	helmetë, kapelë, kasketë, nuancë lëkure e çelët, punëtor ndërtimi, punëtor ndërtimi: nuancë lëkure e çelët, rimodeloj, rindërtoj, riparoj, rregulloj
👷🏼	helmetë, kapelë, kasketë, nuancë lëkure gjysmë e çelët, punëtor ndërtimi, punëtor ndërtimi: nuancë lëkure gjysmë e çelët, rimodeloj, rindërtoj, riparoj, rregulloj
👷🏽	helmetë, kapelë, kasketë, nuancë lëkure zeshkane, punëtor ndërtimi, punëtor ndërtimi: nuancë lëkure zeshkane, rimodeloj, rindërtoj, riparoj, rregulloj
👷🏾	helmetë, kapelë, kasketë, nuancë lëkure gjysmë e errët, punëtor ndërtimi, punëtor ndërtimi: nuancë lëkure gjysmë e errët, rimodeloj, rindërtoj, riparoj, rregulloj
👷🏿	helmetë, kapelë, kasketë, nuancë lëkure e errët, punëtor ndërtimi, punëtor ndërtimi: nuancë lëkure e errët, rimodeloj, rindërtoj, riparoj, rregulloj
👷‍♂	burrë, murator, ndërtim, punëtor
👷🏻‍♂	burrë, murator, murator: nuancë lëkure e çelët, ndërtim, nuancë lëkure e çelët, punëtor
👷🏼‍♂	burrë, murator, murator: nuancë lëkure gjysmë e çelët, ndërtim, nuancë lëkure gjysmë e çelët, punëtor
👷🏽‍♂	burrë, murator, murator: nuancë lëkure zeshkane, ndërtim, nuancë lëkure zeshkane, punëtor
👷🏾‍♂	burrë, murator, murator: nuancë lëkure gjysmë e errët, ndërtim, nuancë lëkure gjysmë e errët, punëtor
👷🏿‍♂	burrë, murator, murator: nuancë lëkure e errët, ndërtim, nuancë lëkure e errët, punëtor
👷‍♀	grua, helmetë, kapelë, kaskë, muratore, ndërtim, punëtore
👷🏻‍♀	grua, helmetë, kapelë, kaskë, muratore, muratore: nuancë lëkure e çelët, ndërtim, nuancë lëkure e çelët, punëtore
👷🏼‍♀	grua, helmetë, kapelë, kaskë, muratore, muratore: nuancë lëkure gjysmë e çelët, ndërtim, nuancë lëkure gjysmë e çelët, punëtore
👷🏽‍♀	grua, helmetë, kapelë, kaskë, muratore, muratore: nuancë lëkure zeshkane, ndërtim, nuancë lëkure zeshkane, punëtore
👷🏾‍♀	grua, helmetë, kapelë, kaskë, muratore, muratore: nuancë lëkure gjysmë e errët, ndërtim, nuancë lëkure gjysmë e errët, punëtore
👷🏿‍♀	grua, helmetë, kapelë, kaskë, muratore, muratore: nuancë lëkure e errët, ndërtim, nuancë lëkure e errët, punëtore
🫅	anëtar i familjes mbretërore, finsik, kurorë, mbret, mbretëreshë, mbretëror, monark, person me kurorë
🫅🏻	anëtar i familjes mbretërore, finsik, kurorë, mbret, mbretëreshë, mbretëror, monark, nuancë lëkure e çelët, person me kurorë, person me kurorë: nuancë lëkure e çelët
🫅🏼	anëtar i familjes mbretërore, finsik, kurorë, mbret, mbretëreshë, mbretëror, monark, nuancë lëkure gjysmë e çelët, person me kurorë, person me kurorë: nuancë lëkure gjysmë e çelët
🫅🏽	anëtar i familjes mbretërore, finsik, kurorë, mbret, mbretëreshë, mbretëror, monark, nuancë lëkure zeshkane, person me kurorë, person me kurorë: nuancë lëkure zeshkane
🫅🏾	anëtar i familjes mbretërore, finsik, kurorë, mbret, mbretëreshë, mbretëror, monark, nuancë lëkure gjysmë e errët, person me kurorë, person me kurorë: nuancë lëkure gjysmë e errët
🫅🏿	anëtar i familjes mbretërore, finsik, kurorë, mbret, mbretëreshë, mbretëror, monark, nuancë lëkure e errët, person me kurorë, person me kurorë: nuancë lëkure e errët
🤴	mbretëror, princ
🤴🏻	mbretëror, nuancë lëkure e çelët, princ, princ: nuancë lëkure e çelët
🤴🏼	mbretëror, nuancë lëkure gjysmë e çelët, princ, princ: nuancë lëkure gjysmë e çelët
🤴🏽	mbretëror, nuancë lëkure zeshkane, princ, princ: nuancë lëkure zeshkane
🤴🏾	mbretëror, nuancë lëkure gjysmë e errët, princ, princ: nuancë lëkure gjysmë e errët
🤴🏿	mbretëror, nuancë lëkure e errët, princ, princ: nuancë lëkure e errët
👸	fantazi, kurorë, mbretëreshë, princeshë, përrallë
👸🏻	fantazi, kurorë, mbretëreshë, nuancë lëkure e çelët, princeshë, princeshë: nuancë lëkure e çelët, përrallë
👸🏼	fantazi, kurorë, mbretëreshë, nuancë lëkure gjysmë e çelët, princeshë, princeshë: nuancë lëkure gjysmë e çelët, përrallë
👸🏽	fantazi, kurorë, mbretëreshë, nuancë lëkure zeshkane, princeshë, princeshë: nuancë lëkure zeshkane, përrallë
👸🏾	fantazi, kurorë, mbretëreshë, nuancë lëkure gjysmë e errët, princeshë, princeshë: nuancë lëkure gjysmë e errët, përrallë
👸🏿	fantazi, kurorë, mbretëreshë, nuancë lëkure e errët, princeshë, princeshë: nuancë lëkure e errët, përrallë
👳	burrë, burrë me çallmë, person, person me çallmë, çallmë
👳🏻	burrë, burrë me çallmë, burrë me çallmë: nuancë lëkure e çelët, nuancë lëkure e çelët, person, person me çallmë, çallmë
👳🏼	burrë, burrë me çallmë, burrë me çallmë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, person, person me çallmë, çallmë
👳🏽	burrë, burrë me çallmë, burrë me çallmë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, person, person me çallmë, çallmë
👳🏾	burrë, burrë me çallmë, burrë me çallmë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, person, person me çallmë, çallmë
👳🏿	burrë, burrë me çallmë, burrë me çallmë: nuancë lëkure e errët, nuancë lëkure e errët, person, person me çallmë, çallmë
👳‍♂	burrë, djalë me çallmë, mashkull, çallmë
👳🏻‍♂	burrë, djalë me çallmë, djalë me çallmë: nuancë lëkure e çelët, mashkull, nuancë lëkure e çelët, çallmë
👳🏼‍♂	burrë, djalë me çallmë, djalë me çallmë: nuancë lëkure gjysmë e çelët, mashkull, nuancë lëkure gjysmë e çelët, çallmë
👳🏽‍♂	burrë, djalë me çallmë, djalë me çallmë: nuancë lëkure zeshkane, mashkull, nuancë lëkure zeshkane, çallmë
👳🏾‍♂	burrë, djalë me çallmë, djalë me çallmë: nuancë lëkure gjysmë e errët, mashkull, nuancë lëkure gjysmë e errët, çallmë
👳🏿‍♂	burrë, djalë me çallmë, djalë me çallmë: nuancë lëkure e errët, mashkull, nuancë lëkure e errët, çallmë
👳‍♀	femër, grua, vajzë, vajzë me çallmë, çallmë
👳🏻‍♀	femër, grua, nuancë lëkure e çelët, vajzë, vajzë me çallmë, vajzë me çallmë: nuancë lëkure e çelët, çallmë
👳🏼‍♀	femër, grua, nuancë lëkure gjysmë e çelët, vajzë, vajzë me çallmë, vajzë me çallmë: nuancë lëkure gjysmë e çelët, çallmë
👳🏽‍♀	femër, grua, nuancë lëkure zeshkane, vajzë, vajzë me çallmë, vajzë me çallmë: nuancë lëkure zeshkane, çallmë
👳🏾‍♀	femër, grua, nuancë lëkure gjysmë e errët, vajzë, vajzë me çallmë, vajzë me çallmë: nuancë lëkure gjysmë e errët, çallmë
👳🏿‍♀	femër, grua, nuancë lëkure e errët, vajzë, vajzë me çallmë, vajzë me çallmë: nuancë lëkure e errët, çallmë
👲	burrë, burrë me kapelë kineze, gua pi mao, kapelë
👲🏻	burrë, burrë me kapelë kineze, burrë me kapelë kineze: nuancë lëkure e çelët, gua pi mao, kapelë, nuancë lëkure e çelët
👲🏼	burrë, burrë me kapelë kineze, burrë me kapelë kineze: nuancë lëkure gjysmë e çelët, gua pi mao, kapelë, nuancë lëkure gjysmë e çelët
👲🏽	burrë, burrë me kapelë kineze, burrë me kapelë kineze: nuancë lëkure zeshkane, gua pi mao, kapelë, nuancë lëkure zeshkane
👲🏾	burrë, burrë me kapelë kineze, burrë me kapelë kineze: nuancë lëkure gjysmë e errët, gua pi mao, kapelë, nuancë lëkure gjysmë e errët
👲🏿	burrë, burrë me kapelë kineze, burrë me kapelë kineze: nuancë lëkure e errët, gua pi mao, kapelë, nuancë lëkure e errët
🧕	grua, grua me shami, hixhab, mbulesë, shall koke, shami, shami koke, tikël
🧕🏻	grua, grua me shami, grua me shami: nuancë lëkure e çelët, hixhab, mbulesë, nuancë lëkure e çelët, shall koke, shami, shami koke, tikël
🧕🏼	grua, grua me shami, grua me shami: nuancë lëkure gjysmë e çelët, hixhab, mbulesë, nuancë lëkure gjysmë e çelët, shall koke, shami, shami koke, tikël
🧕🏽	grua, grua me shami, grua me shami: nuancë lëkure zeshkane, hixhab, mbulesë, nuancë lëkure zeshkane, shall koke, shami, shami koke, tikël
🧕🏾	grua, grua me shami, grua me shami: nuancë lëkure gjysmë e errët, hixhab, mbulesë, nuancë lëkure gjysmë e errët, shall koke, shami, shami koke, tikël
🧕🏿	grua, grua me shami, grua me shami: nuancë lëkure e errët, hixhab, mbulesë, nuancë lëkure e errët, shall koke, shami, shami koke, tikël
🤵	burrë, burrë me kostum, dhëndër, kostum, person, person me kostum
🤵🏻	burrë, burrë me kostum, dhëndër, kostum, nuancë lëkure e çelët, person, person me kostum, person me kostum: nuancë lëkure e çelët
🤵🏼	burrë, burrë me kostum, dhëndër, kostum, nuancë lëkure gjysmë e çelët, person, person me kostum, person me kostum: nuancë lëkure gjysmë e çelët
🤵🏽	burrë, burrë me kostum, dhëndër, kostum, nuancë lëkure zeshkane, person, person me kostum, person me kostum: nuancë lëkure zeshkane
🤵🏾	burrë, burrë me kostum, dhëndër, kostum, nuancë lëkure gjysmë e errët, person, person me kostum, person me kostum: nuancë lëkure gjysmë e errët
🤵🏿	burrë, burrë me kostum, dhëndër, kostum, nuancë lëkure e errët, person, person me kostum, person me kostum: nuancë lëkure e errët
🤵‍♂	burrë, burrë me kostum, kostum
🤵🏻‍♂	burrë, burrë me kostum, burrë me kostum: nuancë lëkure e çelët, kostum, nuancë lëkure e çelët
🤵🏼‍♂	burrë, burrë me kostum, burrë me kostum: nuancë lëkure gjysmë e çelët, kostum, nuancë lëkure gjysmë e çelët
🤵🏽‍♂	burrë, burrë me kostum, burrë me kostum: nuancë lëkure zeshkane, kostum, nuancë lëkure zeshkane
🤵🏾‍♂	burrë, burrë me kostum, burrë me kostum: nuancë lëkure gjysmë e errët, kostum, nuancë lëkure gjysmë e errët
🤵🏿‍♂	burrë, burrë me kostum, burrë me kostum: nuancë lëkure e errët, kostum, nuancë lëkure e errët
🤵‍♀	grua, grua me kostum, kostum
🤵🏻‍♀	grua, grua me kostum, grua me kostum: nuancë lëkure e çelët, kostum, nuancë lëkure e çelët
🤵🏼‍♀	grua, grua me kostum, grua me kostum: nuancë lëkure gjysmë e çelët, kostum, nuancë lëkure gjysmë e çelët
🤵🏽‍♀	grua, grua me kostum, grua me kostum: nuancë lëkure zeshkane, kostum, nuancë lëkure zeshkane
🤵🏾‍♀	grua, grua me kostum, grua me kostum: nuancë lëkure gjysmë e errët, kostum, nuancë lëkure gjysmë e errët
🤵🏿‍♀	grua, grua me kostum, grua me kostum: nuancë lëkure e errët, kostum, nuancë lëkure e errët
👰	dasmë, nuse, nuse me vello, vello
👰🏻	dasmë, nuancë lëkure e çelët, nuse, nuse me vello, nuse me vello: nuancë lëkure e çelët, vello
👰🏼	dasmë, nuancë lëkure gjysmë e çelët, nuse, nuse me vello, nuse me vello: nuancë lëkure gjysmë e çelët, vello
👰🏽	dasmë, nuancë lëkure zeshkane, nuse, nuse me vello, nuse me vello: nuancë lëkure zeshkane, vello
👰🏾	dasmë, nuancë lëkure gjysmë e errët, nuse, nuse me vello, nuse me vello: nuancë lëkure gjysmë e errët, vello
👰🏿	dasmë, nuancë lëkure e errët, nuse, nuse me vello, nuse me vello: nuancë lëkure e errët, vello
👰‍♂	burrë, burrë me vello, vello
👰🏻‍♂	burrë, burrë me vello, burrë me vello: nuancë lëkure e çelët, nuancë lëkure e çelët, vello
👰🏼‍♂	burrë, burrë me vello, burrë me vello: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, vello
👰🏽‍♂	burrë, burrë me vello, burrë me vello: nuancë lëkure zeshkane, nuancë lëkure zeshkane, vello
👰🏾‍♂	burrë, burrë me vello, burrë me vello: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, vello
👰🏿‍♂	burrë, burrë me vello, burrë me vello: nuancë lëkure e errët, nuancë lëkure e errët, vello
👰‍♀	grua, grua me vello, vello
👰🏻‍♀	grua, grua me vello, grua me vello: nuancë lëkure e çelët, nuancë lëkure e çelët, vello
👰🏼‍♀	grua, grua me vello, grua me vello: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, vello
👰🏽‍♀	grua, grua me vello, grua me vello: nuancë lëkure zeshkane, nuancë lëkure zeshkane, vello
👰🏾‍♀	grua, grua me vello, grua me vello: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, vello
👰🏿‍♀	grua, grua me vello, grua me vello: nuancë lëkure e errët, nuancë lëkure e errët, vello
🤰	grua, grua shtatzënë, shtatzënë
🤰🏻	grua, grua shtatzënë: nuancë lëkure e çelët, nuancë lëkure e çelët, shtatzënë
🤰🏼	grua, grua shtatzënë: nuancë lëkure gjysmë e çelët, nuancë lëkure gjysmë e çelët, shtatzënë
🤰🏽	grua, grua shtatzënë: nuancë lëkure zeshkane, nuancë lëkure zeshkane, shtatzënë
🤰🏾	grua, grua shtatzënë: nuancë lëkure gjysmë e errët, nuancë lëkure gjysmë e errët, shtatzënë
🤰🏿	grua, grua shtatzënë: nuancë lëkure e errët, nuancë lëkure e errët, shtatzënë
🫃	bark, burrë, burrë shtatzënë, fryrë, ha tepër, plot, shtatzënë
🫃🏻	bark, burrë, burrë shtatzënë: nuancë lëkure e çelët, fryrë, ha tepër, nuancë lëkure e çelët, plot, shtatzënë
🫃🏼	bark, burrë, burrë shtatzënë: nuancë lëkure gjysmë e çelët, fryrë, ha tepër, nuancë lëkure gjysmë e çelët, plot, shtatzënë
🫃🏽	bark, burrë, burrë shtatzënë: nuancë lëkure zeshkane, fryrë, ha tepër, nuancë lëkure zeshkane, plot, shtatzënë
🫃🏾	bark, burrë, burrë shtatzënë: nuancë lëkure gjysmë e errët, fryrë, ha tepër, nuancë lëkure gjysmë e errët, plot, shtatzënë
🫃🏿	bark, burrë, burrë shtatzënë: nuancë lëkure e errët, fryrë, ha tepër, nuancë lëkure e errët, plot, shtatzënë
🫄	bark, fryrë, ha tepër, person shtatzënë, plot, shtatzënë
🫄🏻	bark, fryrë, ha tepër, nuancë lëkure e çelët, person shtatzënë, person shtatzënë: nuancë lëkure e çelët, plot, shtatzënë
🫄🏼	bark, fryrë, ha tepër, nuancë lëkure gjysmë e çelët, person shtatzënë, person shtatzënë: nuancë lëkure gjysmë e çelët, plot, shtatzënë
🫄🏽	bark, fryrë, ha tepër, nuancë lëkure zeshkane, person shtatzënë, person shtatzënë: nuancë lëkure zeshkane, plot, shtatzënë
🫄🏾	bark, fryrë, ha tepër, nuancë lëkure gjysmë e errët, person shtatzënë, person shtatzënë: nuancë lëkure gjysmë e errët, plot, shtatzënë
🫄🏿	bark, fryrë, ha tepër, nuancë lëkure e errët, person shtatzënë, person shtatzënë: nuancë lëkure e errët, plot, shtatzënë
🤱	bebe, foshnjë, gji, mënd, ushqim me gji
🤱🏻	bebe, foshnjë, gji, gji: nuancë lëkure e çelët, mënd, nuancë lëkure e çelët, ushqim me gji
