‾	surlignéation, trait suscrit, vinculé
👨🏾‍🔬	biologiste, chimiste, homme, peau modérément foncée, physicien, scientifique, scientifique homme : peau modérément foncée
👨🏿‍🔬	biologiste, chimiste, homme, peau foncée, physicien, scientifique, scientifique homme : peau foncée
👩‍🔬	biologiste, chimiste, femme, physicienne, scientifique
👩🏻‍🔬	biologiste, chimiste, femme, peau claire, physicienne, scientifique, scientifique femme : peau claire
👩🏼‍🔬	biologiste, chimiste, femme, peau modérément claire, physicienne, scientifique, scientifique femme : peau modérément claire
👩🏽‍🔬	biologiste, chimiste, femme, peau légèrement mate, physicienne, scientifique, scientifique femme : peau légèrement mate
👩🏾‍🔬	biologiste, chimiste, femme, peau modérément foncée, physicienne, scientifique, scientifique femme : peau modérément foncée
👩🏿‍🔬	biologiste, chimiste, femme, peau foncée, physicienne, scientifique, scientifique femme : peau foncée
🧑‍💻	développeur, homme, informaticien, logiciels, technologie
🧑🏻‍💻	développeur, homme, informaticien, informaticien : peau claire, logiciels, peau claire, technologie
🧑🏼‍💻	développeur, homme, informaticien, informaticien : peau modérément claire, logiciels, peau modérément claire, technologie
🧑🏽‍💻	développeur, homme, informaticien, informaticien : peau légèrement mate, logiciels, peau légèrement mate, technologie
🧑🏾‍💻	développeur, homme, informaticien, informaticien : peau modérément foncée, logiciels, peau modérément foncée, technologie
🧑🏿‍💻	développeur, homme, informaticien, informaticien : peau foncée, logiciels, peau foncée, technologie
👨‍💻	informaticien homme
👨🏻‍💻	informaticien homme : peau claire
👨🏼‍💻	codeur, développeur, homme, informaticien, informaticien homme : peau modérément claire, inventeur, logiciels, métier, peau modérément claire, technologie
👨🏽‍💻	informaticien homme : peau légèrement mate
👨🏾‍💻	codeur, développeur, homme, informaticien, informaticien homme : peau modérément foncée, inventeur, logiciels, métier, peau modérément foncée, technologie
👨🏿‍💻	informaticien homme : peau foncée
👩🏻‍💻	informaticienne : peau claire
👩🏼‍💻	codeuse, développeuse, femme, informaticienne, informaticienne : peau modérément claire, inventrice, logiciels, métier, peau modérément claire, technologie
👩🏽‍💻	informaticienne : peau légèrement mate
👩🏾‍💻	codeuse, développeuse, femme, informaticienne, informaticienne : peau modérément foncée, inventrice, logiciels, métier, peau modérément foncée, technologie
👩🏿‍💻	informaticienne : peau foncée
🧑‍🎤	acteur, artiste, chanteur, rock, vedette
🧑🏻‍🎤	acteur, artiste, chanteur, chanteur : peau claire, peau claire, rock, vedette
🧑🏼‍🎤	acteur, artiste, chanteur, chanteur : peau modérément claire, peau modérément claire, rock, vedette
🧑🏽‍🎤	acteur, artiste, chanteur, chanteur : peau légèrement mate, peau légèrement mate, rock, vedette
🧑🏾‍🎤	acteur, artiste, chanteur, chanteur : peau modérément foncée, peau modérément foncée, rock, vedette
🧑🏿‍🎤	acteur, artiste, chanteur, chanteur : peau foncée, peau foncée, rock, vedette
👨‍🎤	artiste, chanteur, chanteur homme, homme, rock, vedette
👨🏻‍🎤	artiste, chanteur, chanteur homme : peau claire, homme, peau claire, rock, vedette
👨🏼‍🎤	artiste, chanteur, chanteur homme : peau modérément claire, homme, peau modérément claire, rock, vedette
👨🏽‍🎤	artiste, chanteur, chanteur homme : peau légèrement mate, homme, peau légèrement mate, rock, vedette
👨🏾‍🎤	artiste, chanteur, chanteur homme : peau modérément foncée, homme, peau modérément foncée, rock, vedette
👨🏿‍🎤	artiste, chanteur, chanteur homme : peau foncée, homme, peau foncée, rock, vedette
👩‍🎤	artiste, chanteuse, femme, rock, vedette
👩🏻‍🎤	artiste, chanteuse, chanteuse : peau claire, femme, peau claire, rock, vedette
👩🏼‍🎤	artiste, chanteuse, chanteuse : peau modérément claire, femme, peau modérément claire, rock, vedette
👩🏽‍🎤	artiste, chanteuse, chanteuse : peau légèrement mate, femme, peau légèrement mate, rock, vedette
👩🏾‍🎤	artiste, chanteuse, chanteuse : peau modérément foncée, femme, peau modérément foncée, rock, vedette
👩🏿‍🎤	artiste, chanteuse, chanteuse : peau foncée, femme, peau foncée, rock, vedette
🧑🏻‍🎨	artiste : peau claire
🧑🏼‍🎨	artiste, artiste : peau modérément claire, palette, peau modérément claire
🧑🏽‍🎨	artiste : peau légèrement mate
🧑🏾‍🎨	artiste, artiste : peau modérément foncée, palette, peau modérément foncée
🧑🏿‍🎨	artiste : peau foncée
👨‍🎨	artiste, homme, peintre
👨🏻‍🎨	artiste, artiste homme : peau claire, homme, peau claire, peintre
👨🏼‍🎨	artiste, artiste homme : peau modérément claire, homme, peau modérément claire, peintre
👨🏽‍🎨	artiste, artiste homme : peau légèrement mate, homme, peau légèrement mate, peintre
👨🏾‍🎨	artiste, artiste homme : peau modérément foncée, homme, peau modérément foncée, peintre
👨🏿‍🎨	artiste, artiste homme : peau foncée, homme, peau foncée, peintre
👩‍🎨	artiste, femme, peintre
👩🏻‍🎨	artiste, artiste femme : peau claire, femme, peau claire, peintre
👩🏼‍🎨	artiste, artiste femme : peau modérément claire, femme, peau modérément claire, peintre
👩🏽‍🎨	artiste, artiste femme : peau légèrement mate, femme, peau légèrement mate, peintre
👩🏾‍🎨	artiste, artiste femme : peau modérément foncée, femme, peau modérément foncée, peintre
👩🏿‍🎨	artiste, artiste femme : peau foncée, femme, peau foncée, peintre
🧑🏻‍✈	pilote : peau claire
🧑🏼‍✈	avion, peau modérément claire, pilote, pilote : peau modérément claire
🧑🏽‍✈	pilote : peau légèrement mate
🧑🏾‍✈	avion, peau modérément foncée, pilote, pilote : peau modérément foncée
🧑🏿‍✈	pilote : peau foncée
👨🏻‍✈	pilote homme : peau claire
👨🏼‍✈	avion, homme, métier, peau modérément claire, pilote, pilote homme : peau modérément claire
👨🏽‍✈	pilote homme : peau légèrement mate
👨🏾‍✈	avion, homme, métier, peau modérément foncée, pilote, pilote homme : peau modérément foncée
👨🏿‍✈	pilote homme : peau foncée
👩🏻‍✈	pilote femme : peau claire
👩🏼‍✈	avion, femme, métier, peau modérément claire, pilote, pilote femme : peau modérément claire
👩🏽‍✈	pilote femme : peau légèrement mate
👩🏾‍✈	avion, femme, métier, peau modérément foncée, pilote, pilote femme : peau modérément foncée
👩🏿‍✈	pilote femme : peau foncée
🧑🏻‍🚀	astronaute : peau claire
🧑🏼‍🚀	astronaute, astronaute : peau modérément claire, fusée, peau modérément claire
🧑🏽‍🚀	astronaute : peau légèrement mate
🧑🏾‍🚀	astronaute, astronaute : peau modérément foncée, fusée, peau modérément foncée
🧑🏿‍🚀	astronaute : peau foncée
👨🏻‍🚀	astronaute homme : peau claire
👨🏼‍🚀	astronaute, astronaute homme : peau modérément claire, casque, cosmonaute, espace, fusée, homme, métier, peau modérément claire, spationaute
👨🏽‍🚀	astronaute homme : peau légèrement mate
👨🏾‍🚀	astronaute, astronaute homme : peau modérément foncée, casque, cosmonaute, espace, fusée, homme, métier, peau modérément foncée, spationaute
👨🏿‍🚀	astronaute homme : peau foncée
👩🏻‍🚀	astronaute femme : peau claire
👩🏼‍🚀	astronaute, astronaute femme : peau modérément claire, casque, cosmonaute, espace, femme, fusée, métier, peau modérément claire, spationaute
👩🏽‍🚀	astronaute femme : peau légèrement mate
👩🏾‍🚀	astronaute, astronaute femme : peau modérément foncée, casque, cosmonaute, espace, femme, fusée, métier, peau modérément foncée, spationaute
👩🏿‍🚀	astronaute femme : peau foncée
🧑‍🚒	camion, pompier
🧑🏻‍🚒	camion, peau claire, pompier, pompier : peau claire
🧑🏼‍🚒	camion, peau modérément claire, pompier, pompier : peau modérément claire
🧑🏽‍🚒	camion, peau légèrement mate, pompier, pompier : peau légèrement mate
🧑🏾‍🚒	camion, peau modérément foncée, pompier, pompier : peau modérément foncée
🧑🏿‍🚒	camion, peau foncée, pompier, pompier : peau foncée
👨🏻‍🚒	pompier homme : peau claire
👨🏼‍🚒	camion de pompiers, casque, casque de pompier, homme, métier, peau modérément claire, pompier, pompier homme : peau modérément claire
👨🏽‍🚒	pompier homme : peau légèrement mate
👨🏾‍🚒	camion de pompiers, casque, casque de pompier, homme, métier, peau modérément foncée, pompier, pompier homme : peau modérément foncée
👨🏿‍🚒	pompier homme : peau foncée
👩🏻‍🚒	pompier femme : peau claire
👩🏼‍🚒	camion de pompiers, casque, femme, métier, peau modérément claire, pompier, pompier femme : peau modérément claire
👩🏽‍🚒	pompier femme : peau légèrement mate
👩🏾‍🚒	camion de pompiers, casque, femme, métier, peau modérément foncée, pompier, pompier femme : peau modérément foncée
👩🏿‍🚒	pompier femme : peau foncée
👮	flic, officier, officier de police, police, policier
👮🏻	flic, officier, officier de police, peau claire, police, policier, policier : peau claire
👮🏼	flic, officier, officier de police, peau modérément claire, police, policier, policier : peau modérément claire
👮🏽	flic, officier, officier de police, peau légèrement mate, police, policier, policier : peau légèrement mate
👮🏾	flic, officier, officier de police, peau modérément foncée, police, policier, policier : peau modérément foncée
👮🏿	flic, officier, officier de police, peau foncée, police, policier, policier : peau foncée
👮‍♂	policier homme
👮🏻‍♂	policier homme : peau claire
👮🏼‍♂	flic, homme, officier, peau modérément claire, police, policier, policier homme : peau modérément claire
👮🏽‍♂	policier homme : peau légèrement mate
👮🏾‍♂	flic, homme, officier, peau modérément foncée, police, policier, policier homme : peau modérément foncée
👮🏿‍♂	policier homme : peau foncée
👮🏻‍♀	policière : peau claire
👮🏼‍♀	autorité, femme, flic, loi, métier, officier, peau modérément claire, personne, police, policière, policière : peau modérément claire, tenue, uniforme
👮🏽‍♀	policière : peau légèrement mate
👮🏾‍♀	autorité, femme, flic, loi, métier, officier, peau modérément foncée, personne, police, policière, policière : peau modérément foncée, tenue, uniforme
👮🏿‍♀	policière : peau foncée
🕵🏻	détective : peau claire
🕵🏼	détective, détective : peau modérément claire, enquêteur, espion, homme, peau modérément claire
🕵🏽	détective : peau légèrement mate
🕵🏾	détective, détective : peau modérément foncée, enquêteur, espion, homme, peau modérément foncée
🕵🏿	détective : peau foncée
🕵🏻‍♂	détective homme : peau claire
🕵🏼‍♂	détective, détective homme : peau modérément claire, enquêteur, espion, homme, peau modérément claire
🕵🏽‍♂	détective homme : peau légèrement mate
🕵🏾‍♂	détective, détective homme : peau modérément foncée, enquêteur, espion, homme, peau modérément foncée
🕵🏿‍♂	détective homme : peau foncée
🕵🏻‍♀	détective femme : peau claire
🕵🏼‍♀	détective, détective femme : peau modérément claire, enquêteuse, enquêtrice, espionne, femme, peau modérément claire
🕵🏽‍♀	détective femme : peau légèrement mate
🕵🏾‍♀	détective, détective femme : peau modérément foncée, enquêteuse, enquêtrice, espionne, femme, peau modérément foncée
🕵🏿‍♀	détective femme : peau foncée
💂🏻	garde : peau claire
💂🏼	Buckingham Palace, Londres, casque, garde, garde homme, garde : peau modérément claire, peau modérément claire
💂🏽	garde : peau légèrement mate
💂🏾	Buckingham Palace, Londres, casque, garde, garde homme, garde : peau modérément foncée, peau modérément foncée
💂🏿	garde : peau foncée
💂🏻‍♂	garde homme : peau claire
💂🏼‍♂	garde, garde homme : peau modérément claire, homme, peau modérément claire
💂🏽‍♂	garde homme : peau légèrement mate
💂🏾‍♂	garde, garde homme : peau modérément foncée, homme, peau modérément foncée
💂🏿‍♂	garde homme : peau foncée
💂🏻‍♀	garde femme : peau claire
💂🏼‍♀	Buckingham Palace, Londres, casque, femme, garde, garde femme : peau modérément claire, métier, peau modérément claire
💂🏽‍♀	garde femme : peau légèrement mate
💂🏾‍♀	Buckingham Palace, Londres, casque, femme, garde, garde femme : peau modérément foncée, métier, peau modérément foncée
💂🏿‍♀	garde femme : peau foncée
🥷🏻	ninja : peau claire
🥷🏼	assassin, combat, furtif, guerrier, masqué, ninja, ninja : peau modérément claire, peau modérément claire, personne, sabre, secret, soldat
🥷🏽	ninja : peau légèrement mate
🥷🏾	assassin, combat, furtif, guerrier, masqué, ninja, ninja : peau modérément foncée, peau modérément foncée, personne, sabre, secret, soldat
🥷🏿	ninja : peau foncée
👷🏻	personnel du bâtiment : peau claire
👷🏼	BTP, bâtiment, casque, chantier, construction, homme, métier, ouvrier, peau modérément claire, personne, personnel du bâtiment, personnel du bâtiment : peau modérément claire, réparer
👷🏽	personnel du bâtiment : peau légèrement mate
👷🏾	BTP, bâtiment, casque, chantier, construction, homme, métier, ouvrier, peau modérément foncée, personne, personnel du bâtiment, personnel du bâtiment : peau modérément foncée, réparer
👷🏿	personnel du bâtiment : peau foncée
👷🏻‍♂	ouvrier du bâtiment : peau claire
👷🏼‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment, ouvrier du bâtiment : peau modérément claire, peau modérément claire
👷🏽‍♂	ouvrier du bâtiment : peau légèrement mate
👷🏾‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment, ouvrier du bâtiment : peau modérément foncée, peau modérément foncée
👷🏿‍♂	ouvrier du bâtiment : peau foncée
👷🏻‍♀	ouvrière du bâtiment : peau claire
👷🏼‍♀	bâtiment, casque, casque de chantier, chantier, femme, métier, ouvrier du bâtiment femme, ouvrière, ouvrière du bâtiment, ouvrière du bâtiment : peau modérément claire, peau modérément claire
👷🏽‍♀	ouvrière du bâtiment : peau légèrement mate
👷🏾‍♀	bâtiment, casque, casque de chantier, chantier, femme, métier, ouvrier du bâtiment femme, ouvrière, ouvrière du bâtiment, ouvrière du bâtiment : peau modérément foncée, peau modérément foncée
👷🏿‍♀	ouvrière du bâtiment : peau foncée
🫅🏻	personne avec une couronne : peau claire
🫅🏼	monarque, noble, peau modérément claire, personne avec une couronne, personne avec une couronne : peau modérément claire, royal, royauté
🫅🏽	personne avec une couronne : peau légèrement mate
🫅🏾	monarque, noble, peau modérément foncée, personne avec une couronne, personne avec une couronne : peau modérément foncée, royal, royauté
🫅🏿	personne avec une couronne : peau foncée
🤴🏻	prince : peau claire
🤴🏼	couronne, peau modérément claire, prince, prince : peau modérément claire, royal, royauté
🤴🏽	prince : peau légèrement mate
🤴🏾	couronne, peau modérément foncée, prince, prince : peau modérément foncée, royal, royauté
🤴🏿	prince : peau foncée
👸	conte de fées, fantastique, princesse
👸🏻	conte de fées, fantastique, peau claire, princesse, princesse : peau claire
👸🏼	conte de fées, fantastique, peau modérément claire, princesse, princesse : peau modérément claire
👸🏽	conte de fées, fantastique, peau légèrement mate, princesse, princesse : peau légèrement mate
👸🏾	conte de fées, fantastique, peau modérément foncée, princesse, princesse : peau modérément foncée
👸🏿	conte de fées, fantastique, peau foncée, princesse, princesse : peau foncée
👳🏻	personne en turban : peau claire
👳🏼	homme avec turban, oriental, peau modérément claire, personne avec turban, personne en turban, personne en turban : peau modérément claire, turban, visage
👳🏽	personne en turban : peau légèrement mate
👳🏾	homme avec turban, oriental, peau modérément foncée, personne avec turban, personne en turban, personne en turban : peau modérément foncée, turban, visage
👳🏿	personne en turban : peau foncée
👳🏻‍♂	homme en turban : peau claire
👳🏼‍♂	homme, homme en turban, homme en turban : peau modérément claire, peau modérément claire, turban
👳🏽‍♂	homme en turban : peau légèrement mate
👳🏾‍♂	homme, homme en turban, homme en turban : peau modérément foncée, peau modérément foncée, turban
👳🏿‍♂	homme en turban : peau foncée
👳🏻‍♀	femme en turban : peau claire
👳🏼‍♀	femme, femme avec turban, femme en turban, femme en turban : peau modérément claire, peau modérément claire, turban
👳🏽‍♀	femme en turban : peau légèrement mate
👳🏾‍♀	femme, femme avec turban, femme en turban, femme en turban : peau modérément foncée, peau modérément foncée, turban
👳🏿‍♀	femme en turban : peau foncée
👲	calote, chapeau, chinoise, coiffer, gua pi mao, personne, personne coiffée d’une calotte chinoise
👲🏻	calote, chapeau, chinoise, coiffer, gua pi mao, peau claire, personne, personne coiffée d’une calotte chinoise : peau claire
👲🏼	calote, chapeau, chinoise, coiffer, gua pi mao, peau modérément claire, personne, personne coiffée d’une calotte chinoise : peau modérément claire
👲🏽	calote, chapeau, chinoise, coiffer, gua pi mao, peau légèrement mate, personne, personne coiffée d’une calotte chinoise : peau légèrement mate
👲🏾	calote, chapeau, chinoise, coiffer, gua pi mao, peau modérément foncée, personne, personne coiffée d’une calotte chinoise : peau modérément foncée
👲🏿	calote, chapeau, chinoise, coiffer, gua pi mao, peau foncée, personne, personne coiffée d’une calotte chinoise : peau foncée
🧕🏻	femme avec foulard : peau claire
🧕🏼	bandana, femme avec foulard, femme avec foulard : peau modérément claire, femme avec un voile, foulard, hijab, mantilla, peau modérément claire, tichel, voile
🧕🏽	femme avec foulard : peau légèrement mate
🧕🏾	bandana, femme avec foulard, femme avec foulard : peau modérément foncée, femme avec un voile, foulard, hijab, mantilla, peau modérément foncée, tichel, voile
🧕🏿	femme avec foulard : peau foncée
🤵	marié, personne, personne en smoking, smoking
🤵🏻	marié, peau claire, personne, personne en smoking, personne en smoking : peau claire, smoking
🤵🏼	marié, peau modérément claire, personne, personne en smoking, personne en smoking : peau modérément claire, smoking
🤵🏽	marié, peau légèrement mate, personne, personne en smoking, personne en smoking : peau légèrement mate, smoking
🤵🏾	marié, peau modérément foncée, personne, personne en smoking, personne en smoking : peau modérément foncée, smoking
🤵🏿	marié, peau foncée, personne, personne en smoking, personne en smoking : peau foncée, smoking
🤵🏻‍♂	homme en smoking : peau claire
🤵🏼‍♂	homme, homme en smoking, homme en smoking : peau modérément claire, peau modérément claire, smoking
🤵🏽‍♂	homme en smoking : peau légèrement mate
🤵🏾‍♂	homme, homme en smoking, homme en smoking : peau modérément foncée, peau modérément foncée, smoking
🤵🏿‍♂	homme en smoking : peau foncée
🤵🏻‍♀	femme en smoking : peau claire
🤵🏼‍♀	femme, femme en smoking, femme en smoking : peau modérément claire, peau modérément claire, smoking
🤵🏽‍♀	femme en smoking : peau légèrement mate
🤵🏾‍♀	femme, femme en smoking, femme en smoking : peau modérément foncée, peau modérément foncée, smoking
🤵🏿‍♀	femme en smoking : peau foncée
👰	mariage, mariée, personne avec voile, voile
👰🏻	mariage, mariée, peau claire, personne avec voile, personne avec voile : peau claire, voile
👰🏼	mariage, mariée, peau modérément claire, personne avec voile, personne avec voile : peau modérément claire, voile
👰🏽	mariage, mariée, peau légèrement mate, personne avec voile, personne avec voile : peau légèrement mate, voile
👰🏾	mariage, mariée, peau modérément foncée, personne avec voile, personne avec voile : peau modérément foncée, voile
👰🏿	mariage, mariée, peau foncée, personne avec voile, personne avec voile : peau foncée, voile
👰🏻‍♂	homme avec voile : peau claire
👰🏼‍♂	homme, homme avec voile, homme avec voile : peau modérément claire, peau modérément claire, voile
👰🏽‍♂	homme avec voile : peau légèrement mate
👰🏾‍♂	homme, homme avec voile, homme avec voile : peau modérément foncée, peau modérément foncée, voile
👰🏿‍♂	homme avec voile : peau foncée
👰🏻‍♀	femme avec voile : peau claire
👰🏼‍♀	femme, femme avec voile, femme avec voile : peau modérément claire, peau modérément claire, voile
👰🏽‍♀	femme avec voile : peau légèrement mate
👰🏾‍♀	femme, femme avec voile, femme avec voile : peau modérément foncée, peau modérément foncée, voile
👰🏿‍♀	femme avec voile : peau foncée
🤰🏻	femme enceinte : peau claire
🤰🏼	enceinte, femme, femme enceinte : peau modérément claire, peau modérément claire
🤰🏽	femme enceinte : peau légèrement mate
🤰🏾	enceinte, femme, femme enceinte : peau modérément foncée, peau modérément foncée
🤰🏿	femme enceinte : peau foncée
🫃🏻	homme enceint : peau claire
🫃🏼	enceinte, grossesse, homme enceint, homme enceinte, homme enceint : peau modérément claire, peau modérément claire, personne enceinte, trop mangé, ventre
🫃🏽	homme enceint : peau légèrement mate
🫃🏾	enceinte, grossesse, homme enceint, homme enceinte, homme enceint : peau modérément foncée, peau modérément foncée, personne enceinte, trop mangé, ventre
🫃🏿	homme enceint : peau foncée
🫄🏻	personne enceinte : peau claire
🫄🏼	enceinte, grossesse, peau modérément claire, personne enceinte, personne enceinte : peau modérément claire, trop mangé, ventre
🫄🏽	personne enceinte : peau légèrement mate
🫄🏾	enceinte, grossesse, peau modérément foncée, personne enceinte, personne enceinte : peau modérément foncée, trop mangé, ventre
🫄🏿	personne enceinte : peau foncée
🤱🏻	allaitement : peau claire
🤱🏼	allaitement, allaitement : peau modérément claire, bébé, maman, nourrice, nourrir le bébé, peau modérément claire, sein, soins
🤱🏽	allaitement : peau légèrement mate
🤱🏾	allaitement, allaitement : peau modérément foncée, bébé, maman, nourrice, nourrir le bébé, peau modérément foncée, sein, soins
🤱🏿	allaitement : peau foncée
👩🏻‍🍼	femme allaitant un bébé : peau claire
👩🏼‍🍼	allaitement, biberon, bébé, femme, femme allaitant un bébé, femme allaitant un bébé : peau modérément claire, maman, mère, nounou, nouveau-né, peau modérément claire, personne
👩🏽‍🍼	femme allaitant un bébé : peau légèrement mate
👩🏾‍🍼	allaitement, biberon, bébé, femme, femme allaitant un bébé, femme allaitant un bébé : peau modérément foncée, maman, mère, nounou, nouveau-né, peau modérément foncée, personne
👩🏿‍🍼	femme allaitant un bébé : peau foncée
👨🏻‍🍼	homme allaitant un bébé : peau claire
👨🏼‍🍼	allaitement, biberon, bébé, homme, homme allaitant un bébé, homme allaitant un bébé : peau modérément claire, nouveau-né, papa, peau modérément claire, personne, père
👨🏽‍🍼	homme allaitant un bébé : peau légèrement mate
👨🏾‍🍼	allaitement, biberon, bébé, homme, homme allaitant un bébé, homme allaitant un bébé : peau modérément foncée, nouveau-né, papa, peau modérément foncée, personne, père
👨🏿‍🍼	homme allaitant un bébé : peau foncée
🧑🏻‍🍼	personne allaitant un bébé : peau claire
🧑🏼‍🍼	allaitement, biberon, bébé, homme, maman, mère, nounou, nouveau-né, papa, peau modérément claire, personne, personne allaitant un bébé, personne allaitant un bébé : peau modérément claire, père
🧑🏽‍🍼	personne allaitant un bébé : peau légèrement mate
🧑🏾‍🍼	allaitement, biberon, bébé, homme, maman, mère, nounou, nouveau-né, papa, peau modérément foncée, personne, personne allaitant un bébé, personne allaitant un bébé : peau modérément foncée, père
🧑🏿‍🍼	personne allaitant un bébé : peau foncée
👼🏻	bébé ange : peau claire
👼🏼	ailes, ange, auréole, bébé, bébé ange : peau modérément claire, fantastique, peau modérément claire, visage, église, émoticône
👼🏽	bébé ange : peau légèrement mate
👼🏾	ailes, ange, auréole, bébé, bébé ange : peau modérément foncée, fantastique, peau modérément foncée, visage, église, émoticône
👼🏿	bébé ange : peau foncée
🎅	Noël, célébration, fête, père
🎅🏻	Noël, célébration, fête, peau claire, père, père Noël : peau claire
🎅🏼	Noël, célébration, fête, peau modérément claire, père, père Noël : peau modérément claire
🎅🏽	Noël, célébration, fête, peau légèrement mate, père, père Noël : peau légèrement mate
🎅🏾	Noël, célébration, fête, peau modérément foncée, père, père Noël : peau modérément foncée
🎅🏿	Noël, célébration, fête, peau foncée, père, père Noël : peau foncée
🤶	Noël, célébration, fête, mère
🤶🏻	Noël, célébration, fête, mère, mère Noël : peau claire, peau claire
🤶🏼	Noël, célébration, fête, mère, mère Noël : peau modérément claire, peau modérément claire
🤶🏽	Noël, célébration, fête, mère, mère Noël : peau légèrement mate, peau légèrement mate
🤶🏾	Noël, célébration, fête, mère, mère Noël : peau modérément foncée, peau modérément foncée
🤶🏿	Noël, célébration, fête, mère, mère Noël : peau foncée, peau foncée
🧑‍🎄	Noël, personnage de Noël
🧑🏻‍🎄	Noël, peau claire, personnage de Noël, personnage de Noël : peau claire
🧑🏼‍🎄	Noël, peau modérément claire, personnage de Noël, personnage de Noël : peau modérément claire
🧑🏽‍🎄	Noël, peau légèrement mate, personnage de Noël, personnage de Noël : peau légèrement mate
🧑🏾‍🎄	Noël, peau modérément foncée, personnage de Noël, personnage de Noël : peau modérément foncée
🧑🏿‍🎄	Noël, peau foncée, personnage de Noël, personnage de Noël : peau foncée
🦸	gentil, héros, héroïne, super pouvoirs, superhéros
🦸🏻	gentil, héros, héroïne, peau claire, super pouvoirs, superhéros, superhéros : peau claire
🦸🏼	gentil, héros, héroïne, peau modérément claire, super pouvoirs, superhéros, superhéros : peau modérément claire
🦸🏽	gentil, héros, héroïne, peau légèrement mate, super pouvoirs, superhéros, superhéros : peau légèrement mate
🦸🏾	gentil, héros, héroïne, peau modérément foncée, super pouvoirs, superhéros, superhéros : peau modérément foncée
🦸🏿	gentil, héros, héroïne, peau foncée, super pouvoirs, superhéros, superhéros : peau foncée
🦸‍♂	bien, homme, héros, super-héros, super-pouvoir
🦸🏻‍♂	bien, homme, héros, peau claire, super-héros, super-héros : peau claire, super-pouvoir
🦸🏼‍♂	bien, homme, héros, peau modérément claire, super-héros, super-héros : peau modérément claire, super-pouvoir
🦸🏽‍♂	bien, homme, héros, peau légèrement mate, super-héros, super-héros : peau légèrement mate, super-pouvoir
🦸🏾‍♂	bien, homme, héros, peau modérément foncée, super-héros, super-héros : peau modérément foncée, super-pouvoir
🦸🏿‍♂	bien, homme, héros, peau foncée, super-héros, super-héros : peau foncée, super-pouvoir
🦸🏻‍♀	super-héroïne : peau claire
🦸🏼‍♀	bien, femme, héros, héroïne, peau modérément claire, super-héroïne, super-héroïne : peau modérément claire, super-pouvoir
🦸🏽‍♀	super-héroïne : peau légèrement mate
🦸🏾‍♀	bien, femme, héros, héroïne, peau modérément foncée, super-héroïne, super-héroïne : peau modérément foncée, super-pouvoir
🦸🏿‍♀	super-héroïne : peau foncée
🦹🏻	super-vilain : peau claire
🦹🏼	cape, criminel, diabolique, déguisement, mal, mauvais, méchant, peau modérément claire, personnage, super pouvoir, super vilain, super-pouvoir, super-vilain, super-vilain : peau modérément claire
🦹🏽	super-vilain : peau légèrement mate
🦹🏾	cape, criminel, diabolique, déguisement, mal, mauvais, méchant, peau modérément foncée, personnage, super pouvoir, super vilain, super-pouvoir, super-vilain, super-vilain : peau modérément foncée
🦹🏿	super-vilain : peau foncée
🦹‍♂	criminel, homme, mal, méchant, super-pouvoir, super-vilain
🦹🏻‍♂	criminel, homme, mal, méchant, peau claire, super-pouvoir, super-vilain, super-vilain homme : peau claire
🦹🏼‍♂	criminel, homme, mal, méchant, peau modérément claire, super-pouvoir, super-vilain, super-vilain homme : peau modérément claire
🦹🏽‍♂	criminel, homme, mal, méchant, peau légèrement mate, super-pouvoir, super-vilain, super-vilain homme : peau légèrement mate
🦹🏾‍♂	criminel, homme, mal, méchant, peau modérément foncée, super-pouvoir, super-vilain, super-vilain homme : peau modérément foncée
🦹🏿‍♂	criminel, homme, mal, méchant, peau foncée, super-pouvoir, super-vilain, super-vilain homme : peau foncée
🦹‍♀	criminelle, femme, mal, méchante, super-pouvoir, super-vilain femme, super-vilaine
🦹🏻‍♀	criminelle, femme, mal, méchante, peau claire, super-pouvoir, super-vilain femme, super-vilain femme : peau claire, super-vilaine
🦹🏼‍♀	criminelle, femme, mal, méchante, peau modérément claire, super-pouvoir, super-vilain femme, super-vilain femme : peau modérément claire, super-vilaine
🦹🏽‍♀	criminelle, femme, mal, méchante, peau légèrement mate, super-pouvoir, super-vilain femme, super-vilain femme : peau légèrement mate, super-vilaine
🦹🏾‍♀	criminelle, femme, mal, méchante, peau modérément foncée, super-pouvoir, super-vilain femme, super-vilain femme : peau modérément foncée, super-vilaine
🦹🏿‍♀	criminelle, femme, mal, méchante, peau foncée, super-pouvoir, super-vilain femme, super-vilain femme : peau foncée, super-vilaine
🧙	enchanteur, mage, magicien, sorcier, sorcière
🧙🏻	enchanteur, mage, mage : peau claire, magicien, peau claire, sorcier, sorcière
🧙🏼	enchanteur, mage, mage : peau modérément claire, magicien, peau modérément claire, sorcier, sorcière
🧙🏽	enchanteur, mage, mage : peau légèrement mate, magicien, peau légèrement mate, sorcier, sorcière
🧙🏾	enchanteur, mage, mage : peau modérément foncée, magicien, peau modérément foncée, sorcier, sorcière
🧙🏿	enchanteur, mage, mage : peau foncée, magicien, peau foncée, sorcier, sorcière
🧙‍♂	enchanteur, homme, mage, magicien, sorcier
🧙🏻‍♂	enchanteur, homme, mage, mage homme : peau claire, magicien, peau claire, sorcier
