‾	surlignéation, trait suscrit, vinculé
😙	baiser, sourire, visage, visage donnant un baiser avec les yeux plissés, visage faisant un baiser les yeux rieurs, œil
🥲	fier, larme, soulagé, souriant, touché, visage souriant avec larme, ému
😋	délicieux, menoum, miam, savourant, sourire, visage, visage savourant
😛	langue, langue sortie, tire la langue, visage, visage qui tire la langue
😜	clin d’œil, langue, tire la langue, visage, visage qui tire la langue et fait un clin d’œil
🤪	amusant, farfelu, idiot, niaiseux, tête de fou, visage
😝	dégoût, horrible, langue, visage, visage qui tire la langue les yeux plissés, yeux plissés
🤑	argent, argent dans les yeux et la bouche, bouche, dollar, visage, yeux
🤗	câlin, visage, visage heureux et câlin
🤭	Oups, main sur la bouche, visage, visage avec une main sur la bouche
🤫	chut, doigt sur la bouche, silence, visage, visage avec un doigt sur la bouche
🤐	bouche, bouche cousue, fermeture à glissière, visage, visage avec bouche fermeture éclair
😐️	impassible, neutre, visage
😶	muet, sans bouche, silence, silencieux, visage, visage sans bouche
😏	malin, sourire, visage, visage au sourire malin
😒	contrarié, désabusé, pas content, résigné, visage, visage désabusé
🙄	roule des yeux, visage, visage qui roule des yeux, yeux
😮‍💨	chuchoter, découragé, déçu, expiration, exténué, fatigué, siffler, souffler, soulagement, soupir
🫨	choc, fou, omg, ouah, panique, secoué, surprenant, tremblement, vibration, étourdi
😌	soulagement, soulagé, visage
😪	endormi, sommeil, visage
🤤	bave, baver, salive, saliver, visage, visage qui bave
😴	endormi, sommeil, visage, visage somnolent, zzz
🫩	cernes, endormi, fatigué, las, poches, somnolent, tard, valises, visage avec des cernes sous les yeux, yeux, épuisé
😷	docteur, froid, malade, masque, médical, visage, visage avec masque
🤕	bandage, blessure, blessé, visage, visage bandé
🤢	nausée, visage, visage écœuré, écœuré
🥵	canicule, chaud, fièvre, rouge, sueur, visage, visage rouge et chaud
🥶	bleu, froid, gelure, gelé, glacial, visage, visage bleu et froid
🥴	bouche ondulée, dans les vapes, hébété, pompette, rond, visage abruti, visage éméché
😵	inconscient, mort, visage, visage inconscient
😵‍💫	confusion, hagard, tête qui tourne, visage avec yeux en spirale, étourdi
🥳	chapeau, célébration, fête, sifflet, visage, visage festif
🥸	déguisement, espion, faux nez, grimer, incognito, lunettes, moustache, postiche, sourcils ébouriffés
😎	cool, intelligent, soleil, visage, visage souriant avec des lunettes de soleil
🤓	geek, lunettes, nerd, tronche, visage, visage de tronche
🧐	monocle, sérieux, visage, visage avec un monocle
😮	bouche ouverte, compassion, visage, visage épaté
😯	sans voix, stupéfait, surpris, visage, ébahi
😲	choqué, stupéfait, surpris, visage, étonné
😳	chaud, gêné, impressionné, incroyable, incrédule, rouge, rougissant, stupéfait, visage, wow
🥺	implorant, pitié, supplication, visage, yeux de chiot
😦	bouche, béante, ouverte, renfrogné, visage, visage mécontent avec bouche ouverte
😧	angoisse, hein, oubli, peur, stressé, surpris, terrifié, visage
😰	anxieux, bleu, froide, sueur, visage, visage inquiet et en sueur
😥	déçu, fiou, soulagé, visage, visage triste mais soulagé
😢	larmes, pleure, triste, visage, visage qui pleure
😭	chaudes larmes, pleure, sanglot, triste, visage, visage qui pleure à chaudes larmes
😱	cri, munch, peur, terreur, visage, visage qui hurle de peur
😓	froide, sueur, triste, visage, visage triste et en sueur
😩	faim, fatigué, mécontent, non, pleurer, sommeil, triste, visage, échec, épuisé
