‾	መስመር ላይ
👩🏼‍🚒	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሴት, ሴት የእሳት አደጋ ተከላካይ, ሴት የእሳት አደጋ ተከላካይ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የእሳት አደጋ መኪና, የእሳት አደጋ ተከላካይ
👩🏽‍🚒	ሴት, ሴት የእሳት አደጋ ተከላካይ, ሴት የእሳት አደጋ ተከላካይ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, የእሳት አደጋ መኪና, የእሳት አደጋ ተከላካይ
👩🏾‍🚒	ሴት, ሴት የእሳት አደጋ ተከላካይ, ሴት የእሳት አደጋ ተከላካይ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, የእሳት አደጋ መኪና, የእሳት አደጋ ተከላካይ
👩🏿‍🚒	ሴት, ሴት የእሳት አደጋ ተከላካይ, ሴት የእሳት አደጋ ተከላካይ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, የእሳት አደጋ መኪና, የእሳት አደጋ ተከላካይ
👮	ሕግ, ሕግ ማጣቀስ, መኪና እንዲያቆሙ መደረግ, መያዝ, ማሰር, ሰው, በሽፋን የሚሰራ ፖሊስ, የፖሊስ መኮንን, የፖሊስ ሹም, ፖሊስ
👮🏻	ሕግ, ሕግ ማጣቀስ, መኪና እንዲያቆሙ መደረግ, መያዝ, ማሰር, ሰው, በሽፋን የሚሰራ ፖሊስ, የቆዳ ዓይነት-1-2, የፖሊስ መኮንን, የፖሊስ ሹም, ፖሊስ, ፖሊስ: የቆዳ ዓይነት-1-2
👮🏼	ሕግ, ሕግ ማጣቀስ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መኪና እንዲያቆሙ መደረግ, መያዝ, ማሰር, ሰው, በሽፋን የሚሰራ ፖሊስ, የፖሊስ መኮንን, የፖሊስ ሹም, ፖሊስ, ፖሊስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👮🏽	ሕግ, ሕግ ማጣቀስ, መኪና እንዲያቆሙ መደረግ, መያዝ, ማሰር, ሰው, በሽፋን የሚሰራ ፖሊስ, የቆዳ ዓይነት-4, የፖሊስ መኮንን, የፖሊስ ሹም, ፖሊስ, ፖሊስ: የቆዳ ዓይነት-4
👮🏾	ሕግ, ሕግ ማጣቀስ, መኪና እንዲያቆሙ መደረግ, መያዝ, ማሰር, ሰው, በሽፋን የሚሰራ ፖሊስ, የቆዳ ዓይነት-5, የፖሊስ መኮንን, የፖሊስ ሹም, ፖሊስ, ፖሊስ: የቆዳ ዓይነት-5
👮🏿	ሕግ, ሕግ ማጣቀስ, መኪና እንዲያቆሙ መደረግ, መያዝ, ማሰር, ሰው, በሽፋን የሚሰራ ፖሊስ, የቆዳ ዓይነት-6, የፖሊስ መኮንን, የፖሊስ ሹም, ፖሊስ, ፖሊስ: የቆዳ ዓይነት-6
👮‍♂	ሰው, ወንድ, ወንድ የፖሊስ ሹም, የፖሊስ ሹም, ፖሊስ
👮🏻‍♂	ሰው, ወንድ, ወንድ የፖሊስ ሹም, ወንድ የፖሊስ ሹም: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, የፖሊስ ሹም, ፖሊስ
👮🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሰው, ወንድ, ወንድ የፖሊስ ሹም, ወንድ የፖሊስ ሹም: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የፖሊስ ሹም, ፖሊስ
👮🏽‍♂	ሰው, ወንድ, ወንድ የፖሊስ ሹም, ወንድ የፖሊስ ሹም: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, የፖሊስ ሹም, ፖሊስ
👮🏾‍♂	ሰው, ወንድ, ወንድ የፖሊስ ሹም, ወንድ የፖሊስ ሹም: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, የፖሊስ ሹም, ፖሊስ
👮🏿‍♂	ሰው, ወንድ, ወንድ የፖሊስ ሹም, ወንድ የፖሊስ ሹም: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, የፖሊስ ሹም, ፖሊስ
👮‍♀	ሕግ, ሕግ መጥቀስ, መኪና ማስቆም, መኮንን, ሰው, ሴት, ሴት የፖሊስ መኮንን, ሴት የፖሊስ ሹም, በሽፋን የሚሰራ ፖሊስ, የፖሊስ መኮንን, የፖሊስ ሹም, ፖሊስ
👮🏻‍♀	ሕግ, ሕግ መጥቀስ, መኪና ማስቆም, መኮንን, ሰው, ሴት, ሴት የፖሊስ መኮንን, ሴት የፖሊስ ሹም, ሴት የፖሊስ ሹም: የቆዳ ዓይነት-1-2, በሽፋን የሚሰራ ፖሊስ, የቆዳ ዓይነት-1-2, የፖሊስ መኮንን, የፖሊስ ሹም, ፖሊስ
👮🏼‍♀	ሕግ, ሕግ መጥቀስ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መኪና ማስቆም, መኮንን, ሰው, ሴት, ሴት የፖሊስ መኮንን, ሴት የፖሊስ ሹም, ሴት የፖሊስ ሹም: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, በሽፋን የሚሰራ ፖሊስ, የፖሊስ መኮንን, የፖሊስ ሹም, ፖሊስ
👮🏽‍♀	ሕግ, ሕግ መጥቀስ, መኪና ማስቆም, መኮንን, ሰው, ሴት, ሴት የፖሊስ መኮንን, ሴት የፖሊስ ሹም, ሴት የፖሊስ ሹም: የቆዳ ዓይነት-4, በሽፋን የሚሰራ ፖሊስ, የቆዳ ዓይነት-4, የፖሊስ መኮንን, የፖሊስ ሹም, ፖሊስ
👮🏾‍♀	ሕግ, ሕግ መጥቀስ, መኪና ማስቆም, መኮንን, ሰው, ሴት, ሴት የፖሊስ መኮንን, ሴት የፖሊስ ሹም, ሴት የፖሊስ ሹም: የቆዳ ዓይነት-5, በሽፋን የሚሰራ ፖሊስ, የቆዳ ዓይነት-5, የፖሊስ መኮንን, የፖሊስ ሹም, ፖሊስ
👮🏿‍♀	ሕግ, ሕግ መጥቀስ, መኪና ማስቆም, መኮንን, ሰው, ሴት, ሴት የፖሊስ መኮንን, ሴት የፖሊስ ሹም, ሴት የፖሊስ ሹም: የቆዳ ዓይነት-6, በሽፋን የሚሰራ ፖሊስ, የቆዳ ዓይነት-6, የፖሊስ መኮንን, የፖሊስ ሹም, ፖሊስ
🕵️	መርማሪ, መርማሪ ፖሊስ, ሰላይ, ሰው, ትልቅ ሰው, ክትትል ፖሊስ, ፖሊስ
🕵🏻	መርማሪ, መርማሪ ፖሊስ: የቆዳ ዓይነት-1-2, ሰላይ, ሰው, ትልቅ ሰው, ክትትል ፖሊስ, የቆዳ ዓይነት-1-2, ፖሊስ
🕵🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መርማሪ, መርማሪ ፖሊስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሰላይ, ሰው, ትልቅ ሰው, ክትትል ፖሊስ, ፖሊስ
🕵🏽	መርማሪ, መርማሪ ፖሊስ: የቆዳ ዓይነት-4, ሰላይ, ሰው, ትልቅ ሰው, ክትትል ፖሊስ, የቆዳ ዓይነት-4, ፖሊስ
🕵🏾	መርማሪ, መርማሪ ፖሊስ: የቆዳ ዓይነት-5, ሰላይ, ሰው, ትልቅ ሰው, ክትትል ፖሊስ, የቆዳ ዓይነት-5, ፖሊስ
🕵🏿	መርማሪ, መርማሪ ፖሊስ: የቆዳ ዓይነት-6, ሰላይ, ሰው, ትልቅ ሰው, ክትትል ፖሊስ, የቆዳ ዓይነት-6, ፖሊስ
🕵‍♂	መርማሪ ፖሊስ, ሰላይ, ክትትል ፖሊስ, ወንድ, ወንድ መርማሪ ፖሊስ
🕵🏻‍♂	መርማሪ ፖሊስ, ሰላይ, ክትትል ፖሊስ, ወንድ, ወንድ መርማሪ ፖሊስ, ወንድ መርማሪ ፖሊስ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2
🕵🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መርማሪ ፖሊስ, ሰላይ, ክትትል ፖሊስ, ወንድ, ወንድ መርማሪ ፖሊስ, ወንድ መርማሪ ፖሊስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🕵🏽‍♂	መርማሪ ፖሊስ, ሰላይ, ክትትል ፖሊስ, ወንድ, ወንድ መርማሪ ፖሊስ, ወንድ መርማሪ ፖሊስ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4
🕵🏾‍♂	መርማሪ ፖሊስ, ሰላይ, ክትትል ፖሊስ, ወንድ, ወንድ መርማሪ ፖሊስ, ወንድ መርማሪ ፖሊስ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5
🕵🏿‍♂	መርማሪ ፖሊስ, ሰላይ, ክትትል ፖሊስ, ወንድ, ወንድ መርማሪ ፖሊስ, ወንድ መርማሪ ፖሊስ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6
🕵‍♀	መርማሪ ፖሊስ, ሰላይ, ሴት, ሴት መርማሪ ፖሊስ, ክትትል ፖሊስ, የክትትል ፖሊስ
🕵🏻‍♀	መርማሪ ፖሊስ, ሰላይ, ሴት, ሴት መርማሪ ፖሊስ, ሴት መርማሪ ፖሊስ: የቆዳ ዓይነት-1-2, ክትትል ፖሊስ, የቆዳ ዓይነት-1-2, የክትትል ፖሊስ
🕵🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መርማሪ ፖሊስ, ሰላይ, ሴት, ሴት መርማሪ ፖሊስ, ሴት መርማሪ ፖሊስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ክትትል ፖሊስ, የክትትል ፖሊስ
🕵🏽‍♀	መርማሪ ፖሊስ, ሰላይ, ሴት, ሴት መርማሪ ፖሊስ, ሴት መርማሪ ፖሊስ: የቆዳ ዓይነት-4, ክትትል ፖሊስ, የቆዳ ዓይነት-4, የክትትል ፖሊስ
🕵🏾‍♀	መርማሪ ፖሊስ, ሰላይ, ሴት, ሴት መርማሪ ፖሊስ, ሴት መርማሪ ፖሊስ: የቆዳ ዓይነት-5, ክትትል ፖሊስ, የቆዳ ዓይነት-5, የክትትል ፖሊስ
🕵🏿‍♀	መርማሪ ፖሊስ, ሰላይ, ሴት, ሴት መርማሪ ፖሊስ, ሴት መርማሪ ፖሊስ: የቆዳ ዓይነት-6, ክትትል ፖሊስ, የቆዳ ዓይነት-6, የክትትል ፖሊስ
💂	ለንደን, ቆብ, ቤተመንግስት, ክብር ዘብ, ዘብ, ጠባቂ
💂🏻	ለንደን, ቆብ, ቤተመንግስት, ክብር ዘብ, ዘብ, የቆዳ ዓይነት-1-2, ጠባቂ, ጠባቂ: የቆዳ ዓይነት-1-2
💂🏼	ለንደን, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ቆብ, ቤተመንግስት, ክብር ዘብ, ዘብ, ጠባቂ, ጠባቂ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
💂🏽	ለንደን, ቆብ, ቤተመንግስት, ክብር ዘብ, ዘብ, የቆዳ ዓይነት-4, ጠባቂ, ጠባቂ: የቆዳ ዓይነት-4
💂🏾	ለንደን, ቆብ, ቤተመንግስት, ክብር ዘብ, ዘብ, የቆዳ ዓይነት-5, ጠባቂ, ጠባቂ: የቆዳ ዓይነት-5
💂🏿	ለንደን, ቆብ, ቤተመንግስት, ክብር ዘብ, ዘብ, የቆዳ ዓይነት-6, ጠባቂ, ጠባቂ: የቆዳ ዓይነት-6
💂‍♂	ሰው, ወንድ, ወንድ ጠባቂ, ጠባቂ
💂🏻‍♂	ሰው, ወንድ, ወንድ ጠባቂ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, ጠባቂ
💂🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሰው, ወንድ, ወንድ ጠባቂ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ጠባቂ
💂🏽‍♂	ሰው, ወንድ, ወንድ ጠባቂ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, ጠባቂ
💂🏾‍♂	ሰው, ወንድ, ወንድ ጠባቂ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, ጠባቂ
💂🏿‍♂	ሰው, ወንድ, ወንድ ጠባቂ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, ጠባቂ
💂‍♀	ለንደን, ሰው, ሴት, ሴት ጠባቂ, ዘበኛ, የራስ ቁር, የራስ ቁር ያደረገች ሴት ጠባቂ, የበኪንግሃም ቤተ መንግስት, ጠባቂ
💂🏻‍♀	ለንደን, ሰው, ሴት, ሴት ጠባቂ: የቆዳ ዓይነት-1-2, ዘበኛ, የራስ ቁር, የራስ ቁር ያደረገች ሴት ጠባቂ, የቆዳ ዓይነት-1-2, የበኪንግሃም ቤተ መንግስት, ጠባቂ
💂🏼‍♀	ለንደን, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሰው, ሴት, ሴት ጠባቂ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ዘበኛ, የራስ ቁር, የራስ ቁር ያደረገች ሴት ጠባቂ, የበኪንግሃም ቤተ መንግስት, ጠባቂ
💂🏽‍♀	ለንደን, ሰው, ሴት, ሴት ጠባቂ: የቆዳ ዓይነት-4, ዘበኛ, የራስ ቁር, የራስ ቁር ያደረገች ሴት ጠባቂ, የቆዳ ዓይነት-4, የበኪንግሃም ቤተ መንግስት, ጠባቂ
💂🏾‍♀	ለንደን, ሰው, ሴት, ሴት ጠባቂ: የቆዳ ዓይነት-5, ዘበኛ, የራስ ቁር, የራስ ቁር ያደረገች ሴት ጠባቂ, የቆዳ ዓይነት-5, የበኪንግሃም ቤተ መንግስት, ጠባቂ
💂🏿‍♀	ለንደን, ሰው, ሴት, ሴት ጠባቂ: የቆዳ ዓይነት-6, ዘበኛ, የራስ ቁር, የራስ ቁር ያደረገች ሴት ጠባቂ, የቆዳ ዓይነት-6, የበኪንግሃም ቤተ መንግስት, ጠባቂ
🥷	ምስጢር, ሰላይ, ሰው, ቅጥር ነብሰ ገዳይ, ችሎታዎች, ነብሰ ገዳይ, ኒንጃ, ክህሎቶች, ወታደር, ውጊያ, ጦርነት, ፀብ
🥷🏻	ምስጢር, ሰላይ, ሰው, ቅጥር ነብሰ ገዳይ, ችሎታዎች, ነብሰ ገዳይ, ኒንጃ, ኒንጃ: የቆዳ ዓይነት-1-2, ክህሎቶች, ወታደር, ውጊያ, የቆዳ ዓይነት-1-2, ጦርነት, ፀብ
🥷🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ምስጢር, ሰላይ, ሰው, ቅጥር ነብሰ ገዳይ, ችሎታዎች, ነብሰ ገዳይ, ኒንጃ, ኒንጃ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ክህሎቶች, ወታደር, ውጊያ, ጦርነት, ፀብ
🥷🏽	ምስጢር, ሰላይ, ሰው, ቅጥር ነብሰ ገዳይ, ችሎታዎች, ነብሰ ገዳይ, ኒንጃ, ኒንጃ: የቆዳ ዓይነት-4, ክህሎቶች, ወታደር, ውጊያ, የቆዳ ዓይነት-4, ጦርነት, ፀብ
🥷🏾	ምስጢር, ሰላይ, ሰው, ቅጥር ነብሰ ገዳይ, ችሎታዎች, ነብሰ ገዳይ, ኒንጃ, ኒንጃ: የቆዳ ዓይነት-5, ክህሎቶች, ወታደር, ውጊያ, የቆዳ ዓይነት-5, ጦርነት, ፀብ
🥷🏿	ምስጢር, ሰላይ, ሰው, ቅጥር ነብሰ ገዳይ, ችሎታዎች, ነብሰ ገዳይ, ኒንጃ, ኒንጃ: የቆዳ ዓይነት-6, ክህሎቶች, ወታደር, ውጊያ, የቆዳ ዓይነት-6, ጦርነት, ፀብ
👷	መሐንዲስ, ሠራተኛ, እንደ አዲስ ንደፍ, እንደገና ገንባ, ካቦ, ኮፊያ, ወዛደር, የግንባታ ሥራ ሠራተኛ, ገንባ, ግንባታ, ጠግን
👷🏻	መሐንዲስ, ሠራተኛ, እንደ አዲስ ንደፍ, እንደገና ገንባ, ካቦ, ኮፊያ, ወዛደር, የቆዳ ዓይነት-1-2, የግንባታ ሥራ ሠራተኛ, የግንባታ ሥራ ሠራተኛ: የቆዳ ዓይነት-1-2, ገንባ, ግንባታ, ጠግን
👷🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መሐንዲስ, ሠራተኛ, እንደ አዲስ ንደፍ, እንደገና ገንባ, ካቦ, ኮፊያ, ወዛደር, የግንባታ ሥራ ሠራተኛ, የግንባታ ሥራ ሠራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ገንባ, ግንባታ, ጠግን
👷🏽	መሐንዲስ, ሠራተኛ, እንደ አዲስ ንደፍ, እንደገና ገንባ, ካቦ, ኮፊያ, ወዛደር, የቆዳ ዓይነት-4, የግንባታ ሥራ ሠራተኛ, የግንባታ ሥራ ሠራተኛ: የቆዳ ዓይነት-4, ገንባ, ግንባታ, ጠግን
👷🏾	መሐንዲስ, ሠራተኛ, እንደ አዲስ ንደፍ, እንደገና ገንባ, ካቦ, ኮፊያ, ወዛደር, የቆዳ ዓይነት-5, የግንባታ ሥራ ሠራተኛ, የግንባታ ሥራ ሠራተኛ: የቆዳ ዓይነት-5, ገንባ, ግንባታ, ጠግን
👷🏿	መሐንዲስ, ሠራተኛ, እንደ አዲስ ንደፍ, እንደገና ገንባ, ካቦ, ኮፊያ, ወዛደር, የቆዳ ዓይነት-6, የግንባታ ሥራ ሠራተኛ, የግንባታ ሥራ ሠራተኛ: የቆዳ ዓይነት-6, ገንባ, ግንባታ, ጠግን
👷‍♂	ሠራተኛ, ሰው, ወንድ, ወንድ የግንባታ ሰራተኛ, ግንባታ
👷🏻‍♂	ሠራተኛ, ሰው, ወንድ, ወንድ የግንባታ ሰራተኛ, ወንድ የግንባታ ሰራተኛ: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, ግንባታ
👷🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሠራተኛ, ሰው, ወንድ, ወንድ የግንባታ ሰራተኛ, ወንድ የግንባታ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ግንባታ
👷🏽‍♂	ሠራተኛ, ሰው, ወንድ, ወንድ የግንባታ ሰራተኛ, ወንድ የግንባታ ሰራተኛ: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, ግንባታ
👷🏾‍♂	ሠራተኛ, ሰው, ወንድ, ወንድ የግንባታ ሰራተኛ, ወንድ የግንባታ ሰራተኛ: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, ግንባታ
👷🏿‍♂	ሠራተኛ, ሰው, ወንድ, ወንድ የግንባታ ሰራተኛ, ወንድ የግንባታ ሰራተኛ: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, ግንባታ
👷‍♀	ሠራተኛ, ሥራ, ሴት, ሴት የግንባታ ሰራተኛ, ስራ, ባርኔጣ, ኮፍያ, ወንድ, የደህንነት ኮፍያ, ግንባታ, ጠንካራ ኮፍያ
👷🏻‍♀	ሠራተኛ, ሥራ, ሴት, ሴት የግንባታ ሰራተኛ, ሴት የግንባታ ሰራተኛ: የቆዳ ዓይነት-1-2, ስራ, ባርኔጣ, ኮፍያ, ወንድ, የቆዳ ዓይነት-1-2, የደህንነት ኮፍያ, ግንባታ, ጠንካራ ኮፍያ
👷🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሠራተኛ, ሥራ, ሴት, ሴት የግንባታ ሰራተኛ, ሴት የግንባታ ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ስራ, ባርኔጣ, ኮፍያ, ወንድ, የደህንነት ኮፍያ, ግንባታ, ጠንካራ ኮፍያ
👷🏽‍♀	ሠራተኛ, ሥራ, ሴት, ሴት የግንባታ ሰራተኛ, ሴት የግንባታ ሰራተኛ: የቆዳ ዓይነት-4, ስራ, ባርኔጣ, ኮፍያ, ወንድ, የቆዳ ዓይነት-4, የደህንነት ኮፍያ, ግንባታ, ጠንካራ ኮፍያ
👷🏾‍♀	ሠራተኛ, ሥራ, ሴት, ሴት የግንባታ ሰራተኛ, ሴት የግንባታ ሰራተኛ: የቆዳ ዓይነት-5, ስራ, ባርኔጣ, ኮፍያ, ወንድ, የቆዳ ዓይነት-5, የደህንነት ኮፍያ, ግንባታ, ጠንካራ ኮፍያ
👷🏿‍♀	ሠራተኛ, ሥራ, ሴት, ሴት የግንባታ ሰራተኛ, ሴት የግንባታ ሰራተኛ: የቆዳ ዓይነት-6, ስራ, ባርኔጣ, ኮፍያ, ወንድ, የቆዳ ዓይነት-6, የደህንነት ኮፍያ, ግንባታ, ጠንካራ ኮፍያ
🫅	ንጉሣዊ, ንጉሳዊ, ንጉሳዊ ቤተሰብ, ንጉስ, ንግሥት, አገዛዝ, ዘውድ, ዘውድ ያደረገ ሰው, የተከበረ
🫅🏻	ንጉሣዊ, ንጉሳዊ, ንጉሳዊ ቤተሰብ, ንጉስ, ንግሥት, አገዛዝ, ዘውድ, ዘውድ ያደረገ ሰው, ዘውድ ያደረገ ሰው: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, የተከበረ
🫅🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ንጉሣዊ, ንጉሳዊ, ንጉሳዊ ቤተሰብ, ንጉስ, ንግሥት, አገዛዝ, ዘውድ, ዘውድ ያደረገ ሰው, ዘውድ ያደረገ ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, የተከበረ
🫅🏽	ንጉሣዊ, ንጉሳዊ, ንጉሳዊ ቤተሰብ, ንጉስ, ንግሥት, አገዛዝ, ዘውድ, ዘውድ ያደረገ ሰው, ዘውድ ያደረገ ሰው: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, የተከበረ
🫅🏾	ንጉሣዊ, ንጉሳዊ, ንጉሳዊ ቤተሰብ, ንጉስ, ንግሥት, አገዛዝ, ዘውድ, ዘውድ ያደረገ ሰው, ዘውድ ያደረገ ሰው: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, የተከበረ
🫅🏿	ንጉሣዊ, ንጉሳዊ, ንጉሳዊ ቤተሰብ, ንጉስ, ንግሥት, አገዛዝ, ዘውድ, ዘውድ ያደረገ ሰው, ዘውድ ያደረገ ሰው: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, የተከበረ
🤴	ልዑል
🤴🏻	ልዑል, ልዑል: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2
🤴🏼	ልዑል, ልዑል: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መሃከለኛ ቀላ ያለ የቆዳ ቀለም
🤴🏽	ልዑል, ልዑል: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4
🤴🏾	ልዑል, ልዑል: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5
🤴🏿	ልዑል, ልዑል: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6
👸	ልዕልት, ምናባዊ, ተረት ተረት, ንግስት
👸🏻	ልዕልት, ልዕልት: የቆዳ ዓይነት-1-2, ምናባዊ, ተረት ተረት, ንግስት, የቆዳ ዓይነት-1-2
👸🏼	ልዕልት, ልዕልት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ምናባዊ, ተረት ተረት, ንግስት
👸🏽	ልዕልት, ልዕልት: የቆዳ ዓይነት-4, ምናባዊ, ተረት ተረት, ንግስት, የቆዳ ዓይነት-4
👸🏾	ልዕልት, ልዕልት: የቆዳ ዓይነት-5, ምናባዊ, ተረት ተረት, ንግስት, የቆዳ ዓይነት-5
👸🏿	ልዕልት, ልዕልት: የቆዳ ዓይነት-6, ምናባዊ, ተረት ተረት, ንግስት, የቆዳ ዓይነት-6
👳	ወንድ, ጥምጣም, ጥምጣም ያደረገ ሰው
👳🏻	ወንድ, የቆዳ ዓይነት-1-2, ጥምጣም, ጥምጣም ያደረገ ሰው, ጥምጣም ያደረገ ሰው: የቆዳ ዓይነት-1-2
👳🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ወንድ, ጥምጣም, ጥምጣም ያደረገ ሰው, ጥምጣም ያደረገ ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👳🏽	ወንድ, የቆዳ ዓይነት-4, ጥምጣም, ጥምጣም ያደረገ ሰው, ጥምጣም ያደረገ ሰው: የቆዳ ዓይነት-4
👳🏾	ወንድ, የቆዳ ዓይነት-5, ጥምጣም, ጥምጣም ያደረገ ሰው, ጥምጣም ያደረገ ሰው: የቆዳ ዓይነት-5
👳🏿	ወንድ, የቆዳ ዓይነት-6, ጥምጣም, ጥምጣም ያደረገ ሰው, ጥምጣም ያደረገ ሰው: የቆዳ ዓይነት-6
👳‍♂	ሰው, ወንድ, ጥምጣም, ጥምጣም ያደረገ ወንድ
👳🏻‍♂	ሰው, ወንድ, የቆዳ ዓይነት-1-2, ጥምጣም, ጥምጣም ያደረገ ወንድ, ጥምጣም ያደረገ ወንድ: የቆዳ ዓይነት-1-2
👳🏼‍♂	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሰው, ወንድ, ጥምጣም, ጥምጣም ያደረገ ወንድ, ጥምጣም ያደረገ ወንድ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
👳🏽‍♂	ሰው, ወንድ, የቆዳ ዓይነት-4, ጥምጣም, ጥምጣም ያደረገ ወንድ, ጥምጣም ያደረገ ወንድ: የቆዳ ዓይነት-4
👳🏾‍♂	ሰው, ወንድ, የቆዳ ዓይነት-5, ጥምጣም, ጥምጣም ያደረገ ወንድ, ጥምጣም ያደረገ ወንድ: የቆዳ ዓይነት-5
👳🏿‍♂	ሰው, ወንድ, የቆዳ ዓይነት-6, ጥምጣም, ጥምጣም ያደረገ ወንድ, ጥምጣም ያደረገ ወንድ: የቆዳ ዓይነት-6
👳‍♀	ሰው, ሴት, ጥምጣም, ጥምጣም ያደረች ሴት, ጥምጣም ያደረገች ሴት
👳🏻‍♀	ሰው, ሴት, የቆዳ ዓይነት-1-2, ጥምጣም, ጥምጣም ያደረች ሴት, ጥምጣም ያደረች ሴት: የቆዳ ዓይነት-1-2, ጥምጣም ያደረገች ሴት
👳🏼‍♀	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ሰው, ሴት, ጥምጣም, ጥምጣም ያደረች ሴት, ጥምጣም ያደረች ሴት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ጥምጣም ያደረገች ሴት
👳🏽‍♀	ሰው, ሴት, የቆዳ ዓይነት-4, ጥምጣም, ጥምጣም ያደረች ሴት, ጥምጣም ያደረች ሴት: የቆዳ ዓይነት-4, ጥምጣም ያደረገች ሴት
👳🏾‍♀	ሰው, ሴት, የቆዳ ዓይነት-5, ጥምጣም, ጥምጣም ያደረች ሴት, ጥምጣም ያደረች ሴት: የቆዳ ዓይነት-5, ጥምጣም ያደረገች ሴት
👳🏿‍♀	ሰው, ሴት, የቆዳ ዓይነት-6, ጥምጣም, ጥምጣም ያደረች ሴት, ጥምጣም ያደረች ሴት: የቆዳ ዓይነት-6, ጥምጣም ያደረገች ሴት
👲	ኮፍያ, ወንድ, የቻይና ኮፍያ ያደረገ ሰው
👲🏻	ኮፍያ, ወንድ, የቆዳ ዓይነት-1-2, የቻይና ኮፍያ ያደረገ ሰው, የቻይና ኮፍያ ያደረገ ሰው: የቆዳ ዓይነት-1-2
👲🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ኮፍያ, ወንድ, የቻይና ኮፍያ ያደረገ ሰው, የቻይና ኮፍያ ያደረገ ሰው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
