‾	መስመር ላይ
∑	n-ary ድምር
+	መደመር, የመጨመር ምልክት, ጨምር
±	መጨመር-መቀንስ
÷	መስቀለኛ, ማካፈል, አካፍል, የማካፈል ምልክት
×	ማባዛት, አባዛ, የማባዛት ምልክት, ጊዜ
<	ታግ, ክፍት ታግ, የሚያንስ
≮	አያንስም
=	እኩል, እኩል ይሆናል
≠	እኩል አይደለም, እኩል ያልሆነ
>	ታግ, ወደ ታግ የሚጠጋ, የሚበልጥ
≯	አይበልጥም
¬	አሉታነት
|	ላይንፒክ, ስትሪክ, ስትሮክ, ሸፈር ስትሮክ, ቀጥተኛ መስመር, ቀጥተኛ ባር, ባር, ቪባር, ፓይፕ
~	ቲልድ
−	መቀነስ, የመቀነስ ምልክት
⁻	መቀነስ, ራስጌ ምልክት, ራስጌ ምልክት መቀነስ
∓	መቀነስ-ወይም-መጨመር
∕	የማካፈል ሰያፍ
⁄	የክፍልፋይ ሰያፍ
∗	አስተሪክ ኦፕሬተር
∘	የቀለበት ኦፕሬተር
∙	የነጥብ ኦፕሬተር
√	ራዲካል, ራዲክስ, ዋልታ, ዘር, ዳግም
∝	የተመጣጠነ
∞	ማለቂያ የሌለው, ማለቂያ የሌለው ምልክት
∟	የቀኝ አንግል
∠	አንግል
∣	ይከፍላል
∥	ተጓዳኝ
∧	ሎጂካል እና
∩	መገናኛ, ስብስብ
∪	ህብረት, ስብስብ, ጥርቅም
∫	ኢንተግራል
∬	ድርብ ኢንተግራል
∮	ኮንቹር ኢንተግራል
∴	ስለዚህ
∵	ምክንያቱም
∶	ጥምር
∷	ምጥጥን
∼	ቲልድ ኦፕሬተር
∽	ተገላቢጦሽ
∾	የተገለበጠ lazy s
≃	ጥጉ በማይነካበት እኩል
≅	እኩል ሊባል የሚችል
≈	ተቀራራቢ, ወደ እኩል የሚጠጋ, የሚጠጋጋ
≌	ሁሉም እኩል
≒	በግምት የምስሉን እኩል
≖	በእኩል ቀለበት
≡	ሶስቴ, በትክክል, ተመሳሳይ, ተመሳሳይ ነው
≣	በጥብቅ እኩል
≤	ያንሳል ወይም እኩል ይሆናል
≥	ይበልጣል ወይም እኩል ይሆናል
≦	ሒሳብ, እኩል ያልሆነ, ከእኩል ያነሰ, ያነሰ ከእኩል በላይ
≧	ከእኩል በላይ ይበልጣል
≪	በጣም ያንሳል
≫	በጣም ይበልጣል
≬	መካከል
≳	ከእኩል የበለጠ
≺	ይቀድማል
≻	ይከተላል
⊁	አይከተልም
⊂	ስብስብ, ንዑስ ስብስብ, ንዑስ ስብስብ ነው
⊃	ሱፐርሴት
⊆	ንዑስ እኩል
⊇	ሱፐርሴት እኩል
⊕	ክበብ ሲደመር
⊖	ክበብ ሲቀነስ
⊗	ክበብ ብዜት
⊘	በክብ የማካፈል ሰረዝ
⊙	የክብ ሰረዝ ኦፕሬተር
⊚	የክብ ቀለበት ኦፕሬተር
⊛	የክብ አስተሪክ ኦፕሬተር
⊞	አራት ማዕዘን ሲደመር
⊟	አራት ማዕዘን መቀነስ
⊥	ወደላይ ታክ
⊮	አያስገድድም
⊰	በግንኙነት ይቀድማል
⊱	በግንኙነት ይከተላል
⋭	እንደ መደበኛ ንዑስ ቡድን እኩል አያካትትም
⊶	ኦሪጅናል
⊹	hermitian conjugate ማትሪክስ
⊿	የቀኝ ሶስት ማእዘን
⋁	n-ary ሎጂካል ወይም
⋂	n-ary መገናኛ
⋃	n-ary ህብረት
⋅	የዶት ኦፕሬተር
⋆	የኮከብ ኦፕሬተር
⋈	የተለመደ መቀላቀል
⋒	ድርብ መገናኛ
⋘	በጣም ያነሰ-ከ
⋙	በጣም የበለጠ-ከ
⋮	ቋሚ ኤሊፕሲስ
⋯	የመካከለኛ መስመር አግድም ኤሊፕሲስ
⋰	ወደላይ ቀኝ ሰያፍ ኤሊፕሲስ
⋱	ወደታች ቀኝ ሰያፍ ኤሊፕሲስ
■	የተሞላ አራት አራት ማዕዘን
□	ባዶ አራት ማዕዘን, ባዶ ካሬ
▢	ባዶ አራት ማዕዘን ከክብ ጎኖች ጋር
▣	ባዶ አራት ማዕዘን የተሞላ አራት ማዕዘን የያዘ
▤	አራት ማዕዘን ከአግድም መሙላት ጋር
▥	አራት ማዕዘን ከአቀባዊ መሙላት ጋር
▦	አራት ማዕዘን ኦርታግኖል መስቀለኛ መሙላት
▧	የአራት ማዕዘን የግራ ላይኛ የቀኝ ታችኛ መሙላት
▨	የአራት ማዕዘን የቀኝ ላይኛ የግራ ታችኛ መሙላት
▩	አራት ማዕዘን ሰያፍ መስቀለኛ መሙላት
▬	የተሞላ አራት ማዕዘን
▭	ባዶ አራት ማዕዘን
▮	አቀባዊ የተሞላ አራት ማዕዘን
▰	የተሞላ አራት ማዕዘን, የተሞላ ፓራለሎግራም
▲	ሶስት ማእዘን, ቀስት, የተሞላ, የተሞላ ወደላይ የሚጠቁም ሶስት ማእዘን
△	ባዶ ወደ ላይ የሚያመለክተው ሶስት ማዕዘን
▴	የሞላ ወደ ላይ የሚያመለክተው ትንሽ ሶስት ማዕዘን
▵	ባዶ ወደ ላይ የሚያመለክተው ትንሽ ሶስት ማዕዘን
▷	ባዶ ወደ ቀኝ የሚያመለክተው ሶስት ማዕዘን
▸	የሞላ ወደ ቀኝ የሚያመለክተው ትንሽ ሶስት ማዕዘን
▹	ባዶ ወደ ቀኝ የሚያመለክተው ትንሽ ሶስት ማዕዘን
►	የሞላ ወደ ቀኝ የሚያመለክተው አመልካች
