‾	linea in alto, linea sopra, sopralineatura
∘	operatore anello
∙	operatore punto elenco
√	numero irrazionale, quadrata, radicale, radice, radice quadrata
∝	proporzionale, proporzionalità
∞	infinito, simbolo di infinito
∟	angolo retto, matematica
∠	acuto, angolo
∣	divide, divisore
∥	parallelo
∧	and logico
∩	insieme, intersezione, simbolo di intersezione
∪	insieme, raccolta, simbolo di unione, unione
∫	calcolo, integrale
∬	calcolo, integrale doppio
∮	integrale curvilineo
∴	logica, quindi
∵	logica, perché
∶	rapporto
∷	proporzionalità, proporzione
∼	operatore tilde
∽	tilde rovesciata
∾	lazy s invertito
≃	asintoticamente uguale, asintoto, matematica
≅	congruente geometricamente, congruenza, isomorfismo, matematica, uguaglianza
≈	approssimazione, quasi uguale, quasi uguale a, simile, simile a, similitudine
≌	matematica, tutto uguale, uguaglianza
≒	approssimativamente uguale all’immagine
≖	anello pari a, matematica, uguaglianza
≡	coincidente, esatto, identico, simbolo di coincidenza, tre lineette
≣	matematica, strettamente equivalente, uguaglianza
≤	disuguaglianza, minore, minore di, minore o uguale, minore o uguale a, uguale, uguale a
≥	disuguaglianza, maggiore, maggiore di, maggiore o uguale, maggiore o uguale a, uguale, uguale a
≦	disuguaglianza, matematica, minore di su uguale
≧	disuguaglianza, maggiore di su uguale, matematica
≪	disuguaglianza, matematica, molto minore di
≫	disuguaglianza, matematica, molto maggiore di
≬	tra
≳	disuguaglianza, maggiore di o equivalente a, matematica
≺	matematica, operatore insiemistico, precede
≻	matematica, operatore insiemistico, segue
⊁	matematica, non segue, operatore insiemistico
⊂	insieme, simbolo di sottoinsieme, sottoinsieme, sottoinsieme di
⊃	matematica, operatore insiemistico, sovrainsieme
⊆	sottoinsieme uguale a
⊇	matematica, sovrainsieme uguale a, uguaglianza
⊕	segno più in cerchio
⊖	segno meno in cerchio
⊗	segno di moltiplicazione in cerchio
⊘	barra di divisione in cerchio
⊙	operatore punto in cerchio
⊚	operatore anello in cerchio
⊛	operatore asterisco in cerchio
⊞	segno più in quadrato
⊟	segno meno in quadrato
⊥	contraddizione
⊮	non forza
⊰	matematica, operatore insiemistico, precede nella relazione
⊱	matematica, operatore insiemistico, segue nella relazione
⋭	non contiene come sottogruppo normale o uguale
⊶	originale
⊹	matrice hermitiana coniugata
⊿	triangolo rettangolo
⋁	disgiunzione, logica, or logico, or logico n-ario
⋂	intersezione n-aria, matematica, operatore insiemistico
⋃	matematica, operatore insiemistico, unione, unione n-aria
⋅	operatore punto
⋆	operatore asterisco (*)
⋈	unione naturale
⋒	intersezione doppia, matematica, operatore insiemistico
⋘	disuguaglianza, matematica, molto molto minore di
⋙	disuguaglianza, matematica, molto molto maggiore di
⋮	matematica, puntini di sospensione verticali
⋯	puntini di sospensione centrati
⋰	matematica, puntini di sospensione diagonali in alto a destra
⋱	matematica, puntini di sospensione diagonali in basso a destra
■	quadrato pieno
□	quadrato vuoto
▢	quadrato vuoto con angoli arrotondati
▣	quadrato vuoto con quadrato pieno
▤	quadrato con riempimento orizzontale
▥	quadrato con riempimento verticale
▦	quadrato con riempimento tratteggiato ortogonale
▧	quadrato con righe inclinate da sinistra a destra
▨	quadrato con righe inclinate da destra a sinistra
▩	quadrato con riempimento tratteggiato diagonale
▬	rettangolo pieno
▭	rettangolo vuoto
▮	rettangolo verticale pieno
▰	parallelogramma pieno
▲	freccia, in alto, pieno, triangolo, triangolo pieno con punta verso l’alto, triangolo pieno rivolto verso l’alto
△	triangolo vuoto rivolto verso l’alto
▴	triangolo piccolo pieno rivolto verso l’alto
▵	triangolo piccolo vuoto rivolto verso l’alto
▷	triangolo vuoto rivolto verso destra
▸	triangolo piccolo pieno rivolto verso destra
▹	triangolo piccolo vuoto rivolto verso destra
►	puntatore pieno rivolto verso destra
▻	puntatore vuoto rivolto verso destra
▼	freccia, in basso, pieno, triangolo, triangolo pieno capovolto, triangolo pieno con punta verso il basso
▽	triangolo vuoto capovolto
▾	triangolo piccolo pieno capovolto
▿	triangolo piccolo vuoto capovolto
◁	triangolo vuoto rivolto verso sinistra
◂	triangolo piccolo pieno rivolto verso sinistra
◃	triangolo piccolo vuoto rivolto verso sinistra
◄	puntatore pieno rivolto verso sinistra
◅	puntatore vuoto rivolto verso sinistra
◆	rombo pieno
◇	rombo vuoto
◈	rombo vuoto con rombo pieno
◉	cerchio vuoto con cerchio pieno
◊	diamante, losanga, rombo
○	anello, cerchio, cerchio vuoto
◌	cerchio tratteggiato
◍	cerchio con riempimento verticale
◎	cerchi concentrici
●	cerchio, cerchio pieno
◐	cerchio con metà sinistra piena
◑	cerchio con metà destra piena
◒	cerchio con metà inferiore piena
◓	cerchio con metà superiore piena
◔	cerchio con quadrante in alto a destra pieno
◕	cerchio con quadrante in alto a sinistra vuoto
◖	semicerchio sinistro pieno
◗	semicerchio destro pieno
◘	punto elenco inverso
◙	quadrato pieno con cerchio vuoto
◜	arco circolare del quadrante in alto a sinistra
◝	arco circolare del quadrante in alto a destra
◞	arco circolare del quadrante in basso a destra
◟	arco circolare del quadrante in basso a sinistra
◠	semicerchio superiore
◡	semicerchio inferiore
◢	triangolo in basso a destra pieno
◣	triangolo in basso a sinistra pieno
◤	triangolo in alto a sinistra pieno
◥	triangolo in alto a destra pieno
◦	punto elenco vuoto
◯	anello, cerchio, cerchio vuoto grande
◳	quadrato vuoto con quadrante in alto a destra
◷	cerchio vuoto con quadrante in alto a destra
◿	triangolo in basso a destra vuoto
♪	croma, musica, ottavo
⨧	segno più con pedice due
⨯	prodotto vettoriale
⨼	prodotto interno
⩣	operatore logico or con barra inferiore doppia
⩽	minore di sopra uguale a obliquo
⪍	minore di sopra circa uguale
⪚	uguale doppio sopra maggiore di
⪺	segue sopra non quasi uguale
♭	bemolle, musica, nota
♯	diesis, musica, nota
😀	allegria, allegro, denti, faccina, faccina che ride, faccina che sogghigna, faccina con un gran sorriso, felice, molto felice, risata, sogghignare, sogghigno, sorriso
😃	bocca, bocca aperta, che bello, contento, denti, evvai, faccina, faccina che ride, faccina con un gran sorriso e occhi spalancati, faccina sorridente, felice, felicità, ottimo, ridere, risata, sorridere, sorriso, sorriso a bocca aperta, urrà
😄	a crepapelle, bene, bocca aperta, faccina che ride, faccina con sorriso e occhi sorridenti, faccina con un gran sorriso e occhi sorridenti, faccina felice, felicità, occhi felici, ridere, risata, sorriso, sorriso a bocca aperta
