‾	винкулум, горна черта
∫	интеграл, математически анализ
∬	двоен интеграл, математически анализ
∮	контурен интеграл
∴	логика, следователно
∵	защото, логика
∶	съотношение
∷	пропорционалност, пропорция
∼	оператор, оператор тилда
∽	обърната тилда, тилда
∾	обърната легнала буква s
≃	асимптота, асимптотично равен, математика
≅	еднаквост, изоморфизъм, математика, приблизително равен
≈	близко до, приблизително, приблизително равно
≌	всички равни, математика, равенство
≒	приблизително равен на образа
≖	математика, пръстен в знак за равенство, равенство
≡	еквивалентно на, идентично, точно, три черти
≣	математика, равенство, строго еквивалентен
≤	неравенство, по-малко или равно, по-малко от, равенство, равно на
≥	неравенство, по-голямо или равно, по-голямо от, равенство, равно на
≦	математика, неравенство, по-малко над равно
≧	математика, неравенство, по-голямо над равно
≪	математика, много по-малко от, неравенство
≫	математика, много по-голямо от, неравенство
≬	между
≳	еквивалентен на по-голямо, математика, неравенство
≺	математика, оператор на множество, предхожда
≻	математика, оператор на множество, следва
⊁	математика, не следва, оператор на множество
⊂	множество, подмножество, подмножество на
⊃	математика, надмножество, оператор на множество
⊆	равен на подмножество
⊇	математика, равен на надмножество, равенство
⊕	плюс, плюс в окръжност
⊖	минус в окръжност, симетрична разлика
⊗	знак за умножение в окръжност, произведение, тензор
⊘	математика, наклонена черта за деление в окръжност
⊙	XNOR, оператор, оператор точка в окръжност
⊚	оператор пръстен в окръжност
⊛	астериск, оператор, оператор астериск в окръжност
⊞	математика, плюс в квадрат
⊟	математика, минус в квадрат
⊥	горен так, так, фалш
⊮	не налага
⊰	математика, оператор на множество, предхожда при връзка
⊱	математика, оператор на множество, следва при връзка
⋭	математика, не съдържа като равен на нормална подгрупа, теория на групите
⊶	оригинален
⊹	Ерметиева конюгатна матрица, Ерметиева матрица, квадратва матрица, математика
⊿	математика, правоъгълен триъгълник
⋁	дизюнкция, логика, логическо или при n-арност
⋂	математика, оператор на множество, сечение при n-арност
⋃	математика, обединение, обединение при n-арност, оператор на множество
⋅	оператор, оператор точка
⋆	оператор, оператор звезда
⋈	двоичен оператор, естествено съединение
⋒	двойно сечение, математика, оператор на множество, сечение
⋘	изключително по-малко от, математика, неравенство
⋙	изключително по-голямо от, математика, неравенство
⋮	вертикално многоточие, математика, многоточие
⋯	многоточие, средно хоризонтално многоточие
⋰	математика, многоточие, сочещо нагоре и надясно диагонално многоточие
⋱	математика, многоточие, сочещо надолу и надясно диагонално многоточие
■	запълнен квадрат
□	празен квадрат
▢	празен квадрат със заоблени ръбове
▣	празен квадрат, празен квадрат, съдържащ запълнен квадрат, съдържащ запълнен квадрат
▤	квадрат с хоризонтално запълване
▥	квадрат с вертикално запълване
▦	квадрат с ортогонално щриховано запълване
▧	квадрат със запълване горе вляво и долу вдясно
▨	квадрат със запълване горе вдясно и долу вляво
▩	квадрат с диагонално щриховано запълване
▬	запълнен правоъгълник
▭	празен правоъгълник
▮	запълнен вертикален правоъгълник
▰	запълнен успоредник
▲	запълнен триъгълник, запълнен триъгълник, сочещ нагоре, запълнено, нагоре, сочещ нагоре, стрелка, триъгълник
△	сочещ нагоре празен триъгълник
▴	сочещ нагоре запълнен малък триъгълник
▵	сочещ нагоре празен малък триъгълник
▷	сочещ надясно празен триъгълник
▸	сочещ надясно запълнен малък триъгълник
▹	сочещ надясно празен малък триъгълник
►	сочещ надясно запълнен показалец
▻	сочещ надясно празен показалец
▼	запълнен триъгълник, запълнен триъгълник, сочещ надолу, запълнено, надолу, сочещ надолу, стрелка, триъгълник
▽	сочещ надолу празен триъгълник
▾	сочещ надолу запълнен малък триъгълник
▿	сочещ надолу празен малък триъгълник
◁	сочещ наляво празен триъгълник
◂	сочещ наляво запълнен малък триъгълник
◃	сочещ наляво празен малък триъгълник
◄	сочещ наляво запълнен показалец
◅	сочещ наляво празен показалец
◆	запълнен ромб
◇	празен ромб
◈	празен ромб, празен ромб, съдържащ запълнен ромб, съдържащ запълнен ромб
◉	концентрични окръжности, оградена точка, празна окръжност, празна окръжност, съдържаща запълнена окръжност, съдържаща запълнена окръжност
◊	диамант, ромб, ромбовиден
○	кръг, незапълнен кръг, празен кръг
◌	пунктирана окръжност
◍	окръжност с вертикално запълване
◎	двойна окръжност, концентрични окръжности, мишена
●	запълнен кръг, кръг
◐	окръжност със запълнена лява половина
◑	окръжност със запълнена дясна половина
◒	окръжност със запълнена долна половина
◓	окръжност със запълнена горна половина
◔	окръжност със запълнен горен десен квадрант
◕	запълнена окръжност с празен горен ляв квадрант
◖	запълнена отляво, окръжност, окръжност, запълнена отляво
◗	запълнена отдясно, окръжност, окръжност, запълнена отдясно
◘	обърнат водещ символ
◙	запълнен квадрат, запълнен квадрат, съдържащ празна окръжност, обърната празна окръжност, съдържащ празна окръжност
◜	кръгла дъга в горен ляв квадрант
◝	кръгла дъга в горен десен квадрант
