‾	Oberstrich, Überstrich
🤷🏻‍♀	Frau, Person, Schultern zucken, Zweifel, egal, gleichgültig, helle Hautfarbe, ich weiss nicht, keine Ahnung, schulterzuckende Frau, weiss nicht
🤷🏼‍♀	Frau, Person, Schultern zucken, Zweifel, egal, gleichgültig, ich weiss nicht, keine Ahnung, mittelhelle Hautfarbe, schulterzuckende Frau, weiss nicht
🤷🏽‍♀	Frau, Person, Schultern zucken, Zweifel, egal, gleichgültig, ich weiss nicht, keine Ahnung, mittlere Hautfarbe, schulterzuckende Frau, weiss nicht
🤷🏾‍♀	Frau, Person, Schultern zucken, Zweifel, egal, gleichgültig, ich weiss nicht, keine Ahnung, mitteldunkle Hautfarbe, schulterzuckende Frau, weiss nicht
🤷🏿‍♀	Frau, Person, Schultern zucken, Zweifel, dunkle Hautfarbe, egal, gleichgültig, ich weiss nicht, keine Ahnung, schulterzuckende Frau, weiss nicht
🧑‍⚕	Arzt, Arzt/Ärztin, Gesundheitswesen, Krankenpfleger, Krankenpflegerin, Therapeut
🧑🏻‍⚕	Arzt, Arzt/Ärztin, Gesundheitswesen, Krankenpfleger, Krankenpflegerin, Therapeut, helle Hautfarbe
🧑🏼‍⚕	Arzt, Arzt/Ärztin, Gesundheitswesen, Krankenpfleger, Krankenpflegerin, Therapeut, mittelhelle Hautfarbe
🧑🏽‍⚕	Arzt, Arzt/Ärztin, Gesundheitswesen, Krankenpfleger, Krankenpflegerin, Therapeut, mittlere Hautfarbe
🧑🏾‍⚕	Arzt, Arzt/Ärztin, Gesundheitswesen, Krankenpfleger, Krankenpflegerin, Therapeut, mitteldunkle Hautfarbe
🧑🏿‍⚕	Arzt, Arzt/Ärztin, Gesundheitswesen, Krankenpfleger, Krankenpflegerin, Therapeut, dunkle Hautfarbe
🧑‍🔧	Add a translation Elektriker(in), Klempner(in), Mechaniker(in), Sanitär(in)
🧑🏻‍🔧	Add a translation Elektriker(in), Klempner(in), Mechaniker(in), Sanitär(in), helle Hautfarbe
🧑🏼‍🔧	Add a translation Elektriker(in), Klempner(in), Mechaniker(in), Sanitär(in), mittelhelle Hautfarbe
🧑🏽‍🔧	Add a translation Elektriker(in), Klempner(in), Mechaniker(in), Sanitär(in), mittlere Hautfarbe
🧑🏾‍🔧	Add a translation Elektriker(in), Klempner(in), Mechaniker(in), Sanitär(in), mitteldunkle Hautfarbe
