_	dash, line, low dash, low line, underdash, underline
🖐🏿	dark skin, faili fingers wala haath, faili fingers wala haath: dark skin, finger, hand, splayed
✋️	haath, high 5, high five, utha hua haath
✋🏻	Fair skin, haath, high 5, high five, utha hua haath, utha hua haath: Fair skin
✋🏼	haath, high 5, high five, medium-fair skin, utha hua haath, utha hua haath: medium-fair skin
✋🏽	haath, high 5, high five, medium skin, utha hua haath, utha hua haath: medium skin
✋🏾	haath, high 5, high five, medium-dark skin, utha hua haath, utha hua haath: medium-dark skin
✋🏿	dark skin, haath, high 5, high five, utha hua haath, utha hua haath: dark skin
🖖🏻	Fair skin, Vulcan, finger, hand, hands, salute, vulcan salute: Fair skin
🖖🏼	Vulcan, finger, hand, hands, medium-fair skin, salute, vulcan salute: medium-fair skin
🖖🏽	Vulcan, finger, hand, hands, medium skin, salute, vulcan salute: medium skin
🖖🏾	Vulcan, finger, hand, hands, medium-dark skin, salute, vulcan salute: medium-dark skin
🖖🏿	Vulcan, dark skin, finger, hand, hands, salute, vulcan salute: dark skin
🫱🏻	Fair skin, hand, handshake, hold, reach, right, rightward, rightwards, rightwards hand: Fair skin, shake
🫱🏼	hand, handshake, hold, medium-fair skin, reach, right, rightward, rightwards, rightwards hand: medium-fair skin, shake
🫱🏽	hand, handshake, hold, medium skin, reach, right, rightward, rightwards, rightwards hand: medium skin, shake
🫱🏾	hand, handshake, hold, medium-dark skin, reach, right, rightward, rightwards, rightwards hand: medium-dark skin, shake
🫱🏿	dark skin, hand, handshake, hold, reach, right, rightward, rightwards, rightwards hand: dark skin, shake
🫱🏻‍🫲🏼	Fair skin, agreement, deal, hand, handshake, handshake: Fair skin, medium-fair skin, medium-fair skin, meeting, shake
🫱🏻‍🫲🏽	Fair skin, agreement, deal, hand, handshake, handshake: Fair skin, medium skin, medium skin, meeting, shake
🫱🏻‍🫲🏾	Fair skin, agreement, deal, hand, handshake, handshake: Fair skin, medium-dark skin, medium-dark skin, meeting, shake
🫱🏻‍🫲🏿	Fair skin, agreement, dark skin, deal, hand, handshake, handshake: Fair skin, dark skin, meeting, shake
🫱🏼‍🫲🏻	Fair skin, agreement, deal, hand, handshake, handshake: medium-fair skin, Fair skin, medium-fair skin, meeting, shake
🫱🏼‍🫲🏽	agreement, deal, hand, handshake, handshake: medium-fair skin, medium skin, medium skin, medium-fair skin, meeting, shake
🫱🏼‍🫲🏾	agreement, deal, hand, handshake, handshake: medium-fair skin, medium-dark skin, medium-dark skin, medium-fair skin, meeting, shake
🫱🏼‍🫲🏿	agreement, dark skin, deal, hand, handshake, handshake: medium-fair skin, dark skin, medium-fair skin, meeting, shake
🫱🏽‍🫲🏻	Fair skin, agreement, deal, hand, handshake, handshake: medium skin, Fair skin, medium skin, meeting, shake
🫱🏽‍🫲🏼	agreement, deal, hand, handshake, handshake: medium skin, medium-fair skin, medium skin, medium-fair skin, meeting, shake
🫱🏽‍🫲🏾	agreement, deal, hand, handshake, handshake: medium skin, medium-dark skin, medium skin, medium-dark skin, meeting, shake
🫱🏽‍🫲🏿	agreement, dark skin, deal, hand, handshake, handshake: medium skin, dark skin, medium skin, meeting, shake
🫱🏾‍🫲🏻	Fair skin, agreement, deal, hand, handshake, handshake: medium-dark skin, Fair skin, medium-dark skin, meeting, shake
🫱🏾‍🫲🏼	agreement, deal, hand, handshake, handshake: medium-dark skin, medium-fair skin, medium-dark skin, medium-fair skin, meeting, shake
🫱🏾‍🫲🏽	agreement, deal, hand, handshake, handshake: medium-dark skin, medium skin, medium skin, medium-dark skin, meeting, shake
🫱🏾‍🫲🏿	agreement, dark skin, deal, hand, handshake, handshake: medium-dark skin, dark skin, medium-dark skin, meeting, shake
🫱🏿‍🫲🏻	Fair skin, agreement, dark skin, deal, hand, handshake, handshake: dark skin, Fair skin, meeting, shake
🫱🏿‍🫲🏼	agreement, dark skin, deal, hand, handshake, handshake: dark skin, medium-fair skin, medium-fair skin, meeting, shake
🫱🏿‍🫲🏽	agreement, dark skin, deal, hand, handshake, handshake: dark skin, medium skin, medium skin, meeting, shake
🫱🏿‍🫲🏾	agreement, dark skin, deal, hand, handshake, handshake: dark skin, medium-dark skin, medium-dark skin, meeting, shake
🫲🏻	Fair skin, hand, handshake, hold, left, leftward, leftwards, leftwards hand: Fair skin, reach, shake
🫲🏼	hand, handshake, hold, left, leftward, leftwards, leftwards hand: medium-fair skin, medium-fair skin, reach, shake
🫲🏽	hand, handshake, hold, left, leftward, leftwards, leftwards hand: medium skin, medium skin, reach, shake
🫲🏾	hand, handshake, hold, left, leftward, leftwards, leftwards hand: medium-dark skin, medium-dark skin, reach, shake
🫲🏿	dark skin, hand, handshake, hold, left, leftward, leftwards, leftwards hand: dark skin, reach, shake
🫳🏻	Fair skin, dismiss, down, drop, dropped, hand, palm, palm down hand: Fair skin, pick, shoo, up
🫳🏼	dismiss, down, drop, dropped, hand, medium-fair skin, palm, palm down hand: medium-fair skin, pick, shoo, up
🫳🏽	dismiss, down, drop, dropped, hand, medium skin, palm, palm down hand: medium skin, pick, shoo, up
🫳🏾	dismiss, down, drop, dropped, hand, medium-dark skin, palm, palm down hand: medium-dark skin, pick, shoo, up
🫳🏿	dark skin, dismiss, down, drop, dropped, hand, palm, palm down hand: dark skin, pick, shoo, up
🫴	beckon, catch, come, hold, know, lift, offer, palm, tell
🫴🏻	Fair skin, beckon, catch, come, hold, know, lift, offer, palm, palm up hand: Fair skin, tell
🫴🏼	beckon, catch, come, hold, know, lift, medium-fair skin, offer, palm, palm up hand: medium-fair skin, tell
🫴🏽	beckon, catch, come, hold, know, lift, medium skin, offer, palm, palm up hand: medium skin, tell
🫴🏾	beckon, catch, come, hold, know, lift, medium-dark skin, offer, palm, palm up hand: medium-dark skin, tell
🫴🏿	beckon, catch, come, dark skin, hold, know, lift, offer, palm, palm up hand: dark skin, tell
🫷	block, halt, high, hold, no, pause, push, refuse, stop, wait
🫷🏻	Fair skin, block, halt, high, hold, leftwards pushing hand: Fair skin, no, pause, push, refuse, stop, wait
🫷🏼	block, halt, high, hold, leftwards pushing hand: medium-fair skin, medium-fair skin, no, pause, push, refuse, stop, wait
🫷🏽	block, halt, high, hold, leftwards pushing hand: medium skin, medium skin, no, pause, push, refuse, stop, wait
🫷🏾	block, halt, high, hold, leftwards pushing hand: medium-dark skin, medium-dark skin, no, pause, push, refuse, stop, wait
🫷🏿	block, dark skin, halt, high, hold, leftwards pushing hand: dark skin, no, pause, push, refuse, stop, wait
🫸	block, halt, high, hold, pause, push, refuse, stop, wait
🫸🏻	Fair skin, block, halt, high, hold, pause, push, refuse, rightwards pushing hand: Fair skin, stop, wait
🫸🏼	block, halt, high, hold, medium-fair skin, pause, push, refuse, rightwards pushing hand: medium-fair skin, stop, wait
🫸🏽	block, halt, high, hold, medium skin, pause, push, refuse, rightwards pushing hand: medium skin, stop, wait
🫸🏾	block, halt, high, hold, medium-dark skin, pause, push, refuse, rightwards pushing hand: medium-dark skin, stop, wait
🫸🏿	block, dark skin, halt, high, hold, pause, push, refuse, rightwards pushing hand: dark skin, stop, wait
👌	OK, OK kaa symbol, haath
👌🏻	Fair skin, OK, OK kaa symbol, OK kaa symbol: Fair skin, haath
👌🏼	OK, OK kaa symbol, OK kaa symbol: medium-fair skin, haath, medium-fair skin
👌🏽	OK, OK kaa symbol, OK kaa symbol: medium skin, haath, medium skin
👌🏾	OK, OK kaa symbol, OK kaa symbol: medium-dark skin, haath, medium-dark skin
👌🏿	OK, OK kaa symbol, OK kaa symbol: dark skin, dark skin, haath
🤌	fingers, haath kaa gesture, pinched, pooch-taachh, sarcastic
🤌🏻	Fair skin, fingers, haath kaa gesture, pinched, pinched fingers: Fair skin, pooch-taachh, sarcastic
🤌🏼	fingers, haath kaa gesture, medium-fair skin, pinched, pinched fingers: medium-fair skin, pooch-taachh, sarcastic
🤌🏽	fingers, haath kaa gesture, medium skin, pinched, pinched fingers: medium skin, pooch-taachh, sarcastic
🤌🏾	fingers, haath kaa gesture, medium-dark skin, pinched, pinched fingers: medium-dark skin, pooch-taachh, sarcastic
🤌🏿	dark skin, fingers, haath kaa gesture, pinched, pinched fingers: dark skin, pooch-taachh, sarcastic
🤏	pinch dikhaata haath, thoda amount
🤏🏻	Fair skin, pinch dikhaata haath, pinch dikhaata haath: Fair skin, thoda amount
🤏🏼	medium-fair skin, pinch dikhaata haath, pinch dikhaata haath: medium-fair skin, thoda amount
🤏🏽	medium skin, pinch dikhaata haath, pinch dikhaata haath: medium skin, thoda amount
🤏🏾	medium-dark skin, pinch dikhaata haath, pinch dikhaata haath: medium-dark skin, thoda amount
🤏🏿	dark skin, pinch dikhaata haath, pinch dikhaata haath: dark skin, thoda amount
✌️	haath, jeet, victory, victory dikhaata haath
✌🏻	Fair skin, haath, jeet, victory, victory dikhaata haath, victory dikhaata haath: Fair skin
✌🏼	haath, jeet, medium-fair skin, victory, victory dikhaata haath, victory dikhaata haath: medium-fair skin
✌🏽	haath, jeet, medium skin, victory, victory dikhaata haath, victory dikhaata haath: medium skin
✌🏾	haath, jeet, medium-dark skin, victory, victory dikhaata haath, victory dikhaata haath: medium-dark skin
✌🏿	dark skin, haath, jeet, victory, victory dikhaata haath, victory dikhaata haath: dark skin
🤞🏻	Fair skin, cross, crossed, crossed fingers: Fair skin, finger, fingers, hand, luck
🤞🏼	cross, crossed, crossed fingers: medium-fair skin, finger, fingers, hand, luck, medium-fair skin
🤞🏽	cross, crossed, crossed fingers: medium skin, finger, fingers, hand, luck, medium skin
🤞🏾	cross, crossed, crossed fingers: medium-dark skin, finger, fingers, hand, luck, medium-dark skin
🤞🏿	cross, crossed, crossed fingers: dark skin, dark skin, finger, fingers, hand, luck
🫰	<3, crossed, expensive, how much, index, money, price, pricey, snap
🫰🏻	<3, Fair skin, crossed, expensive, hand with index finger and thumb crossed: Fair skin, how much, index, money, price, pricey, snap
🫰🏼	<3, crossed, expensive, hand with index finger and thumb crossed: medium-fair skin, how much, index, medium-fair skin, money, price, pricey, snap
🫰🏽	<3, crossed, expensive, hand with index finger and thumb crossed: medium skin, how much, index, medium skin, money, price, pricey, snap
🫰🏾	<3, crossed, expensive, hand with index finger and thumb crossed: medium-dark skin, how much, index, medium-dark skin, money, price, pricey, snap
🫰🏿	<3, crossed, dark skin, expensive, hand with index finger and thumb crossed: dark skin, how much, index, money, price, pricey, snap
🤟🏻	Fair skin, ILY, fingers, gesture, hand, love, love-you, love-you gesture: Fair skin, three, you
🤟🏼	ILY, fingers, gesture, hand, love, love-you, love-you gesture: medium-fair skin, medium-fair skin, three, you
🤟🏽	ILY, fingers, gesture, hand, love, love-you, love-you gesture: medium skin, medium skin, three, you
🤟🏾	ILY, fingers, gesture, hand, love, love-you, love-you gesture: medium-dark skin, medium-dark skin, three, you
🤟🏿	ILY, dark skin, fingers, gesture, hand, love, love-you, love-you gesture: dark skin, three, you
🤘	finger, hand, horns, horns kaa sign, rock-on
🤘🏻	Fair skin, finger, hand, horns, horns kaa sign, horns kaa sign: Fair skin, rock-on
🤘🏼	finger, hand, horns, horns kaa sign, horns kaa sign: medium-fair skin, medium-fair skin, rock-on
🤘🏽	finger, hand, horns, horns kaa sign, horns kaa sign: medium skin, medium skin, rock-on
🤘🏾	finger, hand, horns, horns kaa sign, horns kaa sign: medium-dark skin, medium-dark skin, rock-on
🤘🏿	dark skin, finger, hand, horns, horns kaa sign, horns kaa sign: dark skin, rock-on
🤙	Shaka, call, call me kaa ishaara karne wala haath, hand, hang loose
