🥬	bok choy, leafy green, pak choi
🥜	food, nut, nuts, peanut, peanuts
🫘	food, kidney bean, kidney beans, legume
🫚	beer, ginger, root, spice
🥖	French stick, baguette, bread, food, french
🧇	waffle, waffle with butter
🍔	beefburger, burger, hamburger
🍟	chips, french fries, fries
🥙	falafel, flatbread, food, gyro, kebab, pita roll, stuffed
🧆	chickpea, falafel
🥗	food, garden, garden salad, salad
🍤	battered, battered prawn, fried, prawn, shrimp, tempura
🥟	dumpling, empanada, gyōza, pastie, samosa
🥡	takeaway container, takeout
🦀	crab, crustacean, seafood, shellfish
🦞	bisque, claws, lobster, seafood, shellfish
🦐	prawn, seafood, shellfish, shrimp
🦑	decapod, seafood, squid
🍦	cream, dessert, ice cream, soft serve, sweet
🍧	dessert, granita, ice, sweet
🍨	cream, dessert, ice cream, sweet
🍪	biscuit, cookie, dessert, sweet
🍮	baked custard, dessert, pudding, sweet
🧃	drink carton, juice box, popper
🥢	chopsticks, pair of chopsticks
🍴	cooking, cutlery, delicious, eat, food, hungry, meal, restaurant, yum
🗻	Fuji, mount Fuji, mountain
🏟️	arena, stadium
⛩️	Shinto, Shinto shrine, religion, shrine
🎠	carousel, horse, merry-go-round
🎪	big top, circus
🚃	car, electric, railway, train, train carriage, tram, trolley bus
🚊	light rail, oncoming, oncoming light rail, tram, trolleybus
🚋	car, tram, trolley bus
🚎	bus, tram, trolley, trolley bus
🚒	fire truck
🚙	4WD, four-wheel drive
🛻	pick-up, pickup, truck, ute
🚛	articulated truck, lorry, semi, truck
🦼	mobility scooter
🛴	scooter
🛼	roller, rollerskate, skate
🛣️	freeway, highway, road
⛽️	diesel, fuel, gas, petrol pump, pump, station
🚥	horizontal traffic lights, lights, signal, traffic
🚦	lights, signal, traffic, vertical traffic lights
🛟	buoy, float, life preserver, lifebuoy, rescue, ring buoy, safety
🚟	cable, cable railway, railway, suspension
🚠	cable, cableway, gondola, mountain
🚡	cable car
🛎️	bell, hotel, porter, porter bell
⌛️	hourglass, hourglass done, sand, timer
⏲️	timer
🕰️	clock
🌌	Milky Way, space
⛱️	beach, beach umbrella, sand, sun, umbrella
🎉	celebration, party, popper, ta-da
🎍	Japanese, bamboo, bamboo decoration, celebration, decoration
🎁	gift
🎟️	admission, admission tickets, entry, ticket
🏆️	celebration, prize, trophy
🏅	celebration, medal, sports
🏉	australian football, rugby ball, rugby league, rugby union
🥏	flying disc, frisbee, ultimate
🎳	ball, game, tenpin bowling
🥅	goal, goal cage, net
⛳️	flag, flag in hole, golf, hole
⛸️	ice, ice skating, skate
🎣	fish, fishing, fishing rod, pole, rod
🎿	ski, skiing, skis, snow
🔫	toy, water pistol
🎰	game, pokie, pokies
♦️	card, diamond suit, diamonds, game
♣️	card, club suit, clubs, game
🪡	embroidery, needle, needle and thread, sewing, stitches, sutures, tailoring
🕶️	dark, eyewear, glasses, shades, sun, sunnies
👕	T-shirt, clothing, shirt, tee, tshirt
👗	clothing, dress, woman’s clothes
🩱	bathers, bathing, costume, one-piece, suit, swim, swimmers, togs
🩲	bathers, briefs, speedos, underwear
🩳	bathing suit, boardies, boardshorts, shorts, swim shorts, underwear
👙	bikini, clothing, swim suit, two-piece
👚	blouse, clothing, top, woman, woman’s clothes
👛	accessories, coin, purse
👜	accessories, bag, handbag, tote
👝	accessories, bag, clutch bag, pouch
🩴	beach, flip flop, jandal, sandal, shoe, thongs
👟	athletic, clothing, runners, running shoe, shoe, sneaker, trainer
👠	heel, high-heeled shoe, shoe, stiletto, woman
🧢	baseball cap
💄	cosmetics, lipstick, make-up
🔈️	low, quiet, soft, speaker, volume
📻️	AM, FM, radio, wireless
🎹	instrument, keyboard, music, musical keyboard, organ, piano
🥁	drum, drumsticks, music, percussions
☎️	landline, phone, telephone
💻️	PC, computer, laptop, personal
💾	computer, disk, diskette, floppy
📀	DVD, blu-ray, computer, disk, dvd, optical
🎬️	clapper, clapper board, clapperboard, film, movie
📺️	TV, television, video
📼	VHS, tape, video, videocassette
💡	bulb, comic, electric, globe, idea, light, light globe
💹	chart, chart increasing with yen, graph, graph increasing with yen, growth, money, yen
📤️	box, letter, mail, out tray, outbox, sent, tray
📥️	box, in tray, inbox, letter, mail, receive, tray
📫️	closed, closed letterbox with raised flag, mail, mailbox, postbox
📪️	closed, closed letterbox with lowered flag, lowered, mail, mailbox, postbox
📬️	mail, mailbox, open, open letterbox with raised flag, postbox
📭️	lowered, mail, mailbox, open, open letterbox with lowered flag, postbox
🗂️	index card dividers
📇	index card
📈	chart, chart increasing, graph, graph increasing, growth, trend, upward
