‾	اوور اسٹرائیک, اوور لائن, خط اشتراک
◦	کھوکھلا بلیٹ
◯	بڑا خالی سرکل, رنگ, سرکل
◳	کھوکھلا چوکور اوپر کا دایاں ربع دائرہ
◷	اوپر کا دایاں ربع دائرہ والا کھوکھلا سرکل
◿	نیچے کا دایاں مثلث
♪	آٹھواں, آٹھواں نوٹ, موسیقی, نوٹ
⨧	پلس سبسکرپٹ دو
⨯	ویکٹر کراس پروڈکٹ
⨼	داخلی پروڈکٹ
⩣	منطقی یا ڈبل انڈربار
⩽	یکطرفہ مساوات کے بنسبت کم
⪍	مذکورہ ملتے جلتے مساوات سے کم
⪚	برابری سے زیادہ ڈبل لائن
⪺	مذکورہ کامیابی تقریبا برابری کی نہیں ہے
♭	بیمولے, موسیقی, نوٹ, ہموار
♯	جیز, شارپ, موسیقی, نوٹ, ڈائیسز
😀	منہ, چہرہ, کھل کے ہنستا چہرہ, کھلا, ہنسی
😃	آہا!, ارے واہ!, بڑی آنکھوں والا کھلے منہ والا مسکراتا چہرہ, تبسم, خوش حال, خوشی, دانت, دندان, دہانا, مسکراہٹ, منہ, چہرہ, کھلا ہوا چہرا, کھلکھلا کر ہنسنا, کھلے منہ والا مسکراتا چہرہ, ہنسی
😄	آنکھ, تبسم, تمسخر, خوشی, قہقہا, متبسم چہرہ, مزہ, مسکراہٹ, منہ, چہرہ, کھلکھلا کر ہنسنا, کھلے منہ اور مسکراتی آنکھوں والا مسکراتا چہرہ, ہنستا ہوا چہرہ, ہنسی
😁	آنکھ, تبسم, مسکراتی آنکھیں لیے ہنستا چہرہ, مسکراہٹ, منہ, چہرہ, کھل کر ہنسنا, کھلا, ہنسنا, ہنسی
😆	خوشی, دانت, زور سے ہنسنا, قہقہہ, مسکراہٹ, مطمئن, منہ, چہرہ, کھلا, کھلے منہ اور سختی سے بند آنکھوں والا مسکراتا چہرہ, ہا ہا, ہنسنا, ہنسی, ہی ہی, ہے ہے
