‾	overstrek
≠	er ikke lik, ulikhet, ulikhetstegn
>	endetagg, er større enn, større enn, ulikhet
≯	er ikke større enn, matte, ulikhet
¬	ikke, negasjon
|	loddrett strek, strek
~	tilde
−	minus, minustegn, subtrahere, trekke fra
⁻	hevet, hevet minustegn, ion, matematiske tegn, minus, negativ ladning
∓	minus-eller-pluss, minus-pluss, pluss-minus
∕	skråstrek, skråstrek for divisjon
⁄	skråstrek, skråstrek for brøk
∗	asterisk, asteriskoperator, operator, stjerne
∘	komposisjon, operator, ringoperator
∙	operator, punktoperator
√	kvadratrot, kvadratrottegn, matematiske tegn
∝	er proporsjonal med, proporsjonalitet
∞	matematiske tegn, uendelig, uendelighetstegn
∟	matte, rett vinkel
∠	matte, spiss, vinkel
∣	divisor, er delelig med
∥	parallell
∧	logikk, logisk konjunksjon, logisk og, og
∩	matematiske tegn, mengdelære, snitt, snittegn
∪	forening, matematiske tegn, mengdelære, union, uniontegn
∫	integral, kalkulus, matematisk analyse
∬	dobbel, dobbelt integral, integral, kalkulus
∮	konturintegral
∴	derfor, logikk
∵	fordi, logikk
∶	forhold
∷	proporsjon, proporsjonalitet
∼	operator, tildeoperator
∽	omvendt, omvendt tilde, tilde
∾	speilvendt liggende s
≃	asymptote, asymptotisk lik, matte
≅	isomorf, kongruens, likhet, matte, tilnærmet lik
≈	avrundes til, er tilnærmet lik
≌	kongruent, likhet, matte
≒	tilnærmet lik bildet
≖	likhet, matte, ring i likhetstegn
≡	identisk lik, kongruent med, likhetstegn, matematiske tegn
≣	likhet, matte, strengt ekvivalent
≤	er mindre enn eller lik, likhetstegn, mindre enn eller lik, ulikhet
≥	er større enn eller lik, likhetstegn, større enn eller lik, ulikhet
≦	matte, mindre enn over likhetstegn, ulikhet
≧	matte, større enn over likhetstegn, ulikhet
≪	matte, mye mindre enn, ulikhet
≫	matte, mye større enn, ulikhet
≬	mellom
≳	matte, tilnærmet større enn, ulikhet
≺	kommer før, matte, mengdeoperator
≻	kommer etter, matte, mengdeoperator
⊁	kommer ikke etter, matte, mengdeoperator
⊂	delmengde av, inklusjonstegn, matematiske tegn, mengdelære
⊃	matte, mengdeoperator, supermengde
⊆	delmengde lik, matte, mengdeoperator
⊇	likhet, matte, mengdeoperator, supermengde lik
⊕	pluss, plusstegn i sirkel
⊖	erosjon, minustegn i sirkel, symmetrisk forskjell
⊗	gangetegn i sirkel, multipliseringstegn i sirkel, produkt, tensor
⊘	divisjonslignende, matte, skråstrek for divisjon i sirkel
⊙	XNOR, operator, prikkoperator i sirkel
⊚	ringoperator i sirkel
⊛	asterisk, operator, stjerne, stjerneoperator i sirkel
⊞	addisjonslignende, matte, plusstegn i firkant
⊟	matte, minustegn i firkant, subtraksjonslignende
⊥	falsum, usann, usant
⊮	tvinger ikke
⊰	kommer før under relasjon, matte, mengdeoperator
⊱	kommer etter under relasjon, matte, mengdeoperator
⋭	gruppeteori, inneholder ikke som normal delgruppe lik, matte
⊶	original
⊹	hermitisk konjugert matrise, kvadratmatrise, matte
⊿	matematikk, matte, rett vinkel, rettvinklet trekant
⋁	disjunksjon, logikk, n-ær logisk eller
⋂	matte, mengdeoperator, n-ært snitt, snitt
⋃	matte, mengdeoperator, n-ær union, union
⋅	operator, prikkoperator
⋆	operator, stjerneoperator
⋈	binæroperator, naturlig join, naturlig skjøt, sløyfe
⋒	dobbelt snitt, matematikk, matte, mengdeoperator, settoperator, snitt
⋘	matematikk, matte, ulikhet, veldig mye mindre enn
⋙	matematikk, matte, ulikhet, veldig mye større enn
⋮	ellipse, loddrett ellipse, matematikk, matte
⋯	ellipse, sentrert vannrett ellipse
⋰	diagonal ellipse opp mot høyre, ellipse, matematikk, matte
⋱	diagonal ellipse ned mot høyre, ellipse, matematikk, matte
■	fylt kvadrat
□	hult kvadrat
▢	hult kvadrat med avrundede hjørner
▣	hult kvadrat rundt et fylt kvadrat
▤	kvadrat med vannrett fyll
▥	kvadrat med loddrett fyll
▦	kvadrat med rettvinklet rutefyll
▧	kvadrat med diagonalt fyll ned mot høyre
▨	kvadrat med diagonalt fyll ned mot venstre
▩	kvadrat med diagonalt rutefyll
▬	fylt rektangel
▭	hult rektangel
▮	fylt vertikalt rektangel
▰	fylt parallellogram
▲	fylt, fylt trekant som peker opp, opp, pil, trekant
△	hul trekant som peker opp
▴	liten fylt trekant som peker opp
▵	liten hul trekant som peker opp
▷	hul trekant som peker mot høyre
▸	liten fylt trekant som peker mot høyre
▹	liten hul trekant som peker mot høyre
►	fylt peker som peker mot høyre
▻	hul peker som peker mot høyre
▼	fylt, fylt trekant som peker ned, ned, pil, trekant
▽	hul trekant som peker ned
▾	liten fylt trekant som peker ned
▿	liten hul trekant som peker ned
◁	hul trekant som peker mot venstre
◂	liten fylt trekant som peker mot venstre
◃	liten hul trekant som peker mot venstre
◄	fylt peker som peker mot venstre
◅	hul peker som peker mot venstre
◆	fylt rutersymbol
◇	hult rutersymbol
◈	hult rutersymbol rundt fylt rutersymbol
◉	fiskeøye, hul sirkel rundt fylt sirkel, konsentriske sirkler fylt, omkranset prikk
◊	diamant, hult rombesymbol, rombe, ruter
○	hul sirkel, ring, runding, sirkel
◌	stiplet sirkel
◍	sirkel med loddrett fyll
◎	dobbel sirkel, hul sirkel rundt hul sirkel, konsentriske sirkler, mål
●	fylt sirkel, runding, sirkel
◐	sirkel med venstre halvdel fylt
◑	sirkel med høyre halvdel fylt
◒	sirkel med nedre halvdel fylt
◓	sirkel med øvre halvdel fylt
◔	sirkel med øvre høyre kvadrant fylt
◕	sirkel med alt unntatt øvre venstre kvadrant fylt
◖	fylt venstre halvsirkel
◗	fylt høyre halvsirkel
◘	invertert punkttegn
◙	fylt kvadrat rundt hul sirkel, invers hul sirkel
◜	sirkelbue, sirkelbue øvre venstre kvadrant
◝	sirkelbue, sirkelbue øvre høyre kvadrant
◞	sirkelbue, sirkelbue nedre høyre kvadrant
◟	sirkelbue, sirkelbue nedre venstre kvadrant
◠	øvre halvsirkel
◡	nedre halvsirkel
◢	fylt trekant med rett vinkel nede til høyre
◣	fylt trekant med rett vinkel nede til venstre
◤	fylt trekant med rett vinkel oppe til venstre
◥	fylt trekant med rett vinkel oppe til høyre
◦	hult punkttegn
