‾	apọju
⋆	amúṣẹ́ṣe, amúṣẹ́ṣe ààmì ìràwọ̀
⋈	amúṣẹ́ṣe aláwẹ́-méjì, bótaì, ìsopọ̀ déédé
⋒	amúṣẹ́ṣe àkójọ, ipò ìpàdépọ̀, ipò ìpàdépọ̀ lẹ́ẹ̀mejì, ẹ̀kọ́ ìṣirò
⋘	kéré-sí púpọ̀ gidi, àìdọ́gba, ẹ̀kọ́ ìṣirò
⋙	ga-jùlọ púpọ̀ gidi, àìdọ́gba, ẹ̀kọ́ ìṣirò
⋮	ojú-ààmì mẹ́ta, ojú-ààmì mẹ́ta olóòró, ẹ̀kọ́ ìṣirò
⋯	ojú-ààmì mẹ́ta, ojú-ààmì mẹ́ta onídùbú àárín-méjì
⋰	ojú-ààmì mẹ́ta, ojú-ààmì mẹ́ta tó nàró dẹ̀gbẹ́, ojú-ààmì mẹ́ta tó nàró dẹ̀gbẹ́ sọ́tùn-ún, ẹ̀kọ́ ìṣirò
⋱	ojú-ààmì mẹ́ta, ojú-ààmì mẹ́ta tó doríkodò dẹ̀gbẹ́ sọ́tùn-ún, ẹ̀kọ́ ìṣirò
■	àpótí onígun mẹ́rin ẹlẹ́kùn-ún
□	àpótí onígun mẹ́rin oníhò
▢	àpótí onígun mẹ́rin oníhò pẹ̀lú igun róbóróbó
▣	àpótí onígun mẹ́rin oníhò pẹ̀lú àpótí ẹlẹ́kùn-ún
▤	àpótí onígun mẹ́rin oníhò pẹ̀lú ìlà dídùbú
▥	àpótí onígun mẹ́rin oníhò pẹ̀lú ìlà nínàró
▦	àpótí onígun mẹ́rin oníhò pẹ̀lú ìlà dídùbú-nínàró
▧	àpótí onígun mẹ́rin oníhò pẹ̀lú ìlà òkè-òsì ìsàlẹ̀-ọ̀tún
▨	àpótí onígun mẹ́rin oníhò pẹ̀lú ìlà òkè-ọ̀tún ìsàlẹ̀-òsì
▩	àpótí onígun mẹ́rin oníhò pẹ̀lú ìlà ẹgbẹ́ ọ̀tún-sósì, àpótí onígun mẹ́rin oníhò pẹ̀lú ìlà ẹ̀gbẹ́ ọ̀tún-sósì
▬	àpótí onílà àìdọ́gba mẹ́rin ẹlẹ́kùn-ún
▭	àpótí onílà àìdọ́gba mẹ́rin oníhò
▮	àpótí onílà àìdọ́gba mẹ́rin olóòró ẹlẹ́kùn-ún
▰	àpótí onílà àìdọ́gba mẹ́rin dídùbú ẹlẹ́kùn-ún
▲	ilẹ̀, kún, tírángù, tírángù títọ́ka sí òkè, tírángù títọ́ka sí òké, ọfà
△	àpótí onígun mẹ́ta oníhò tó kọrí sókè
▴	àpótí onígun mẹ́ta kékeré ẹlẹ́kùn-ún tó kọrí sókè
▵	àpótí onígun mẹ́ta kékeré oníhò tó kọrí sókè
▷	àpótí onígun mẹ́ta oníhò tó kọrí sọ́tùn-ún
▸	àpótí onígun mẹ́ta kékeré ẹlẹ́kùn-ún tó kọrí sọ́tùn-ún
▹	àpótí onígun mẹ́ta kékeré oníhò tó kọrí sọ́tùn-ún
►	atọ́ka ẹlẹ́kùn-ún tó kọrí sọ́tùn-ún
▻	atọ́ka oníhò tó kọrí sọ́tùn-ún
▼	ftírángù títọ́ka sí ilẹ̀, ilẹ̀, kún, tírángù, tírángù títọ́ka sí ilẹ̀, ọfà
▽	àpótí onígun mẹ́ta oníhò tó kọrí sísàlẹ̀
▾	àpótí onígun mẹ́ta kékeré ẹlẹ́kùn-ún tó kọrí sísàlẹ̀
▿	àpótí onígun mẹ́ta kékeré oníhò tó kọrí sísàlẹ̀
◁	àpótí onígun mẹ́ta oníhò tó kọrí sósì
◂	àpótí onígun mẹ́ta kékeré ẹlẹ́kùn-ún tó kọrí sósì
◃	àpótí onígun mẹ́ta kékeré oníhò tó kọrí sósì
◄	atọ́ka ẹlẹ́kùn-ún tó kọrí sósì
◅	atọ́ka oníhò tó kọrí sósì
◆	dáyámọ́ǹdì ẹlẹ́kùn-ún
◇	dáyámọ́ǹdì oníhò
◈	dáyámọ́ǹdì oníhò pẹ̀lú dáyámọ́ǹdì ẹlẹ́kùn-ún nínú
◉	fisheye, ojú-ààmì nínú òrùka, wọ́ọ̀dì, àwọn òrùka nínú ara wọn, òrùka oníhò pẹ̀lú òrùka ẹlẹ́kùn-ún nínú
◊	díamọ́ndì, loséngè, loséngé, rombọ́sì
○	ríngì, sákù, sákù oníhò
◌	òrùka olójú-ààmì yípo
◍	òrùka pẹ̀lú ìlà ninàró
◎	àfojúsun, àwọn òrùka nínú ara wọn, òrùka aláwẹ́-méjì
●	sákù, sákù kíkún
◐	òrùka ẹlẹ́kùn-ùn ààbọ̀ òsì
◑	òrùka ẹlẹ́kùn-ùn ààbọ̀ ọ̀tún
◒	òrùka ẹlẹ́kùn-ùn ààbọ̀ ìsàlẹ̀
◓	òrùka ẹlẹ́kùn-ùn ààbọ̀ òkè
◔	òrùka ẹlẹ́kùn-ùn ọ̀tún apákan lókè
◕	òrùka ẹlẹ́kùn-ùn yàtọ̀ sí apákan òsi lókè
◖	ààbọ̀ òrùka ẹlẹ́kùn-ún apá òsì
◗	ààbọ̀ òrùka ẹlẹ́kùn-ún apá ọ̀tún
◘	ọta tó doríkodò
◙	àpótí onígun mẹ́rin ẹlẹ́kùn-ún pẹ̀lú òrùka oníhò, òrùka oníhò tó doríkodò
◜	ègé òrùka ẹlẹ́gbẹ̀ẹ́ òsì lókè
◝	ègé òrùka ẹlẹ́gbẹ̀ẹ́ ọ̀tún lókè, ègé ọ̀tún ẹlẹ́gbẹ̀ẹ́ òsì lókè
◞	ègé òrùka ẹlẹ́gbẹ̀ẹ́ ọ̀tún nísàlẹ̀
◟	ègé òrùka ẹlẹ́gbẹ̀ẹ́ òsì nísàlẹ̀
◠	ààbọ̀ òrùka lókè
◡	ààbọ̀ òrùka nísàlẹ̀
◢	àpótí onígun mẹ́ta ẹlẹ́kùn-ún pẹ̀lú igun òòró ìsàlẹ̀-ọ́tùn
◣	àpótí onígun mẹ́ta ẹlẹ́kùn-ún pẹ̀lú igun òòró ìsàlẹ̀-ósì
◤	àpótí onígun mẹ́ta ẹlẹ́kùn-ún pẹ̀lú igun òòró òkè-ósì
◥	àpótí onígun mẹ́ta ẹlẹ́kùn-ún pẹ̀lú igun òòró òkè-ọ́tùn
◦	ọta oníhò
◯	ríngì, sákù, sákù oníhò ńlá
◳	àpótí onígun mẹ́rin oníhò ẹ̀gbẹ́ ọ̀tún lókè
◷	òrùka oníhò ẹ̀gbẹ́ ọ̀tún lókè
◿	àpótí onígun mẹ́ta pẹ̀lú igun òòró ìsàlẹ̀-ọ́tùn
♪	kẹ́jọ, orin, ìwé, ìwé kẹ́jọ
⨧	ààmì àròpọ̀ pẹ̀lú ééjì lábẹ́
⨯	ààmì àgbélébùú ìlọ́po
⨼	ìlọ́po ti inú
⩣	ọ̀pá abẹ́ ti èrò ìbámu ìlànà tàbí aláwẹ́-méjì
⩽	kéré-sí pẹ̀lú dídọ́gba tó dẹ̀gbẹ́
⪍	kéré-sí lókè dídọ́gba bákan náà
⪚	àìdọ́gba, ìlà aláwẹ́-méjì dọ́gba pẹ̀lú ga-jùlọ, ẹ̀kọ́ ìṣirò
⪺	wá lẹ́yìn lókè kò fẹ́rẹ̀ dọ́gba
♭	bímole, orin, pẹ̀lẹbẹ, ìwé
♯	dísì, dísísì, mú, orin, ìwé
😀	Ojú tó rẹ́rìn, fẹyín, ojú
😃	Ojú tó rẹ́rìn Pẹ̀lú Ẹnu Lílà sílẹ̀, ojú, rẹ́rìń músẹ́, ṣí, ẹnu
😄	ojú, ojú tó ń rẹ́rìń músẹ́ pẹ̀lú ẹnu lílà sílẹ̀ àti ẹyinjú tó ń rkrìń músẹ́, rẹ́rìń músẹ́, ṣí, ẹnu, ẹyinjú
😁	Ojú tó fẹyín pẹ̀lú Ẹyinjú tó rẹ́rìn músẹ́, fẹyín, ojú, rẹ́rìn músẹ́, ẹyinjú
