‾	וינקולום, מחיקה, קו עליון
◯	חלול, טבעת, עיגול, עיגול חלול גדול
◳	ריבוע חלול עם רביע ימני עליון חלול
◷	עיגול חלול עם רביע ימני עליון חלול
◿	משולש ימני תחתון
♪	מוזיקה, מקצב, שמינית תו, תו
⨧	פלוס שתיים בכיתוב תחתי
⨯	מכפלה וקטורית
⨼	מכפלה פנימית
⩣	או לוגי עם פס תחתון כפול
⩽	קטן מ- עם שוויון אלכסוני
⪍	קטן מ- מעל שוויון דומה
⪚	אי-שוויון, מתמטיקה, שוויון דו-קווי גדול מ-
⪺	עוקב מעל לא כמעט שווה
♭	במול, מוזיקה, סולם מינורי, תו
♯	דיאז, מוזיקה, סולם מז׳ורי, תו
😀	חיוך, חיוך רחב, מחייך, פרצוף, שמח
😃	חיוך, פה מחייך, פנים מחייכות, פרצוף עם חיוך רחב ועיניים גדולות, פרצוף שמח
😄	חחח, חיוך, פנים מחייכות, פרצוף מחייך עם פה פתוח ועיניים מחייכות, צוחק, שמח
😁	זורח, חיוך, מרוצה, עיניים, פנים מחייכות, פרצוף, פרצוף זורח עם עיניים מחייכות
😆	חחח, חיוך, מחייך, עיניים עצומות, פרצוף מחייך, פרצוף מחייך בפה פתוח ועיניים עצומות, צוחק, צחוק
😅	זיעה, טיפת זיעה, מחייך, מתוח, פרצוף מחייך, פרצוף מחייך עם טיפת זיעה
🤣	בוכה, דמעות, חחח, מצחיק, מתגלגל, מתגלגל על הרצפה מרוב צחוק, מתפקע מצחוק, פרצוף, צוחק, צחוק
😂	LOL, דמעות, חחח, מצחיק, מתפקע מצחוק, פרצוף, פרצוף עם דמעות שמחה, צחוק, שמח, שמחה
🙂	חיוך, נחמד, פנים מחייכות, פרצוף, פרצוף עם חיוך קטן, פרצוף עם חיוך קל
🙃	הפוך, פרצוף, פרצוף הפוך, פרצוף הפוך מחייך
🫠	איזה חום, חם, מזיע, מתמוסס, נוזל, נמס, נעלם, פרצוף נמס
😉	פרצוף, פרצוף קורץ, קורץ, קריצה
😊	חיוך, מסמיק, נבוך, פרצוף מחייך עם עיניים מחייכות, שמח
😇	מחייך, מלאך, פני מלאך, פרצוף, פרצוף מחייך עם הילת מלאך, תמים
🥰	הערצה, לבבות, לבבות מסביב לפרצוף מחייך, מאוהב, מעריץ, מת עליך, פרצוף מחייך עם לבבות
😍	אהבה, חולה עליך, חיוך, לבבות, מאוהב, מחייך, עיניים, פרצוף, פרצוף מחייך עם עיני לבבות
🤩	ואו, כוכבים, להט״ב, מחייך, נלהב, עיניים, פרצוף, פרצוף עם עיני כוכבים, שמח
😘	מנשק, נשיקה, פרצוף, פרצוף מפריח נשיקה
😗	אהבה, מנשק, נשיקה, פוצי מוצי, פרצוף, פרצוף מנשק
☺️	חיוך, מחייך, מסופק, פרצוף, פרצוף מחייך, רגוע
😚	אוהב, מנשק, נשיקה, נשיקה עם עיניים סגורות, סגורות, עיניים, פרצוף, פרצוף מנשק עם עיניים סגורות
😙	אהבה, אוהב, אוהבת, חיוך, מנשק, נשיקה עם עיניים מחייכות, עיניים, פרצוף, פרצוף מנשק עם עיניים מחייכות
🥲	גאווה, דומע, דמעה, חיוך עם דמעה, מחייך, מרגש, מתרגש, פרצוף מחייך עם דמעה
😋	אוכל טעים, טעים, יאמי, מוציא לשון, מחייך, פרצוף של הנאה מאוכל טעים
😛	דווקא, לשון, מחייך, משרבב לשון, פרצוף, פרצוף מוציא לשון
😜	לשון, מחייך, פרצוף, פרצוף מוציא לשון וקורץ, קורץ, שובב
🤪	מוזר, משוגע, עין, עיניים, פסיכי, פרצוף משוגע
😝	לועג, לשון, מגעיל, מוציא לשון, מחייך, עיניים עצומות, פרצוף, פרצוף מוציא לשון ועוצם עיניים בחוזקה
🤑	דולר, כסף, לשון, משכורת, סימני דולר, פרצוף, פרצוף עם סימני דולר בעיניים ובלשון, תאב בצע
🤗	חיבוק, ידיים, מחייך, פרצוף, פרצוף מחבק
🤭	אוי, אופס, טעות, פרצוף עם יד על הפה
🫢	omg, הפתעה, חוסר אמון, חרדה, יראה, מביך, מפחד, פרצוף המום, פרצוף עם יד על הפה ועיניים פעורות, שוק, תדהמה
🫣	בושה, הצצה, מתבייש, נבוך, פרצוף מסמיק, פרצוף מציץ עם יד על העיניים, שקוע במשהו
🤫	הס, סוד, פרצוף עושה סימן לשקט, שקט, ששש
🤔	חושב, מהרהר, פרצוף, פרצוף חושב, תוהה
🫡	בהצלחה, דרך צלחה, הצדעה, חם כאן, כן המפקד/ת, פרצוף מצדיע, צבא
🤐	אין מילים, לשתוק, סגור, פה, פרצוף, פרצוף עם פה סגור ברוכסן, רוכסן, ריצ׳רץ׳, שותק, שקט
🤨	לא מאמין, מטיל ספק, ספקן, פקפקן, פרצוף, פרצוף עם גבות מורמות
