‾	надчеркивание, ҫӳлтен йӗр
💇🏿‍♂	арҫын, парикмахер, парикмахер арҫын: сӑран тӗксӗм тонӗ, салон, стилист, стрижка, сӑран тӗксӗм тонӗ, хачӑ, ҫӳҫ пайӑрки
💇‍♀	каски, парикмахер, салон, хачӑ, хӗрарӑм, хӗрарӑм ҫӳҫне кастарать, ҫӳҫ пайӑрки
💇🏻‍♀	каски, парикмахер, салон, сӑран ҫутӑ тӗсӗ, хачӑ, хӗрарӑм, хӗрарӑм ҫӳҫне кастарать: сӑран ҫутӑ тӗсӗ, ҫӳҫ пайӑрки
💇🏼‍♀	каски, парикмахер, салон, хачӑ, хӗрарӑм, хӗрарӑм ҫӳҫне кастарать: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ҫӳҫ пайӑрки, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
💇🏽‍♀	каски, парикмахер, салон, сӑран вӑтам тонӗ, хачӑ, хӗрарӑм, хӗрарӑм ҫӳҫне кастарать: сӑран вӑтам тонӗ, ҫӳҫ пайӑрки
💇🏾‍♀	каски, парикмахер, салон, сӑран вӑтам тӗксӗм тонӗ, хачӑ, хӗрарӑм, хӗрарӑм ҫӳҫне кастарать: сӑран вӑтам тӗксӗм тонӗ, ҫӳҫ пайӑрки
💇🏿‍♀	каски, парикмахер, салон, сӑран тӗксӗм тонӗ, хачӑ, хӗрарӑм, хӗрарӑм ҫӳҫне кастарать: сӑран тӗксӗм тонӗ, ҫӳҫ пайӑрки
🚶	иртен-ҫӳрен, каять, тротуар, утасси, утма / утатӑп, уҫӑлса ҫӳресси, ҫул, ҫуран, ҫын, ҫын килет, ҫӳресси
🚶🏻	иртен-ҫӳрен, каять, сӑран ҫутӑ тӗсӗ, тротуар, утасси, утма / утатӑп, уҫӑлса ҫӳресси, ҫул, ҫуран, ҫын, ҫын килет: сӑран ҫутӑ тӗсӗ, ҫӳресси
🚶🏼	иртен-ҫӳрен, каять, тротуар, утасси, утма / утатӑп, уҫӑлса ҫӳресси, ҫул, ҫуран, ҫын, ҫын килет: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ҫӳресси, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🚶🏽	иртен-ҫӳрен, каять, сӑран вӑтам тонӗ, тротуар, утасси, утма / утатӑп, уҫӑлса ҫӳресси, ҫул, ҫуран, ҫын, ҫын килет: сӑран вӑтам тонӗ, ҫӳресси
🚶🏾	иртен-ҫӳрен, каять, сӑран вӑтам тӗксӗм тонӗ, тротуар, утасси, утма / утатӑп, уҫӑлса ҫӳресси, ҫул, ҫуран, ҫын, ҫын килет: сӑран вӑтам тӗксӗм тонӗ, ҫӳресси
🚶🏿	иртен-ҫӳрен, каять, сӑран тӗксӗм тонӗ, тротуар, утасси, утма / утатӑп, уҫӑлса ҫӳресси, ҫул, ҫуран, ҫын, ҫын килет: сӑран тӗксӗм тонӗ, ҫӳресси
🚶‍♂	арҫын, арҫын / уҫӑлса ҫӳрет, арҫын килет, тротуар, утни, ҫул
🚶🏻‍♂	арҫын, арҫын / уҫӑлса ҫӳрет, арҫын килет: сӑран ҫутӑ тӗсӗ, сӑран ҫутӑ тӗсӗ, тротуар, утни, ҫул
🚶🏼‍♂	арҫын, арҫын / уҫӑлса ҫӳрет, арҫын килет: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, тротуар, утни, ҫул, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🚶🏽‍♂	арҫын, арҫын / уҫӑлса ҫӳрет, арҫын килет: сӑран вӑтам тонӗ, сӑран вӑтам тонӗ, тротуар, утни, ҫул
🚶🏾‍♂	арҫын, арҫын / уҫӑлса ҫӳрет, арҫын килет: сӑран вӑтам тӗксӗм тонӗ, сӑран вӑтам тӗксӗм тонӗ, тротуар, утни, ҫул
🚶🏿‍♂	арҫын, арҫын / уҫӑлса ҫӳрет, арҫын килет: сӑран тӗксӗм тонӗ, сӑран тӗксӗм тонӗ, тротуар, утни, ҫул
🚶‍♀	тротуар, тухса кайнӑ, утни, уҫӑлса ҫӳрени, хӗр, хӗрарӑм, хӗрарӑм / ҫуран, хӗрарӑм килет, ҫул
🚶🏻‍♀	сӑран ҫутӑ тӗсӗ, тротуар, тухса кайнӑ, утни, уҫӑлса ҫӳрени, хӗр, хӗрарӑм, хӗрарӑм / ҫуран, хӗрарӑм килет: сӑран ҫутӑ тӗсӗ, ҫул
🚶🏼‍♀	тротуар, тухса кайнӑ, утни, уҫӑлса ҫӳрени, хӗр, хӗрарӑм, хӗрарӑм / ҫуран, хӗрарӑм килет: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ҫул, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🚶🏽‍♀	сӑран вӑтам тонӗ, тротуар, тухса кайнӑ, утни, уҫӑлса ҫӳрени, хӗр, хӗрарӑм, хӗрарӑм / ҫуран, хӗрарӑм килет: сӑран вӑтам тонӗ, ҫул
🚶🏾‍♀	сӑран вӑтам тӗксӗм тонӗ, тротуар, тухса кайнӑ, утни, уҫӑлса ҫӳрени, хӗр, хӗрарӑм, хӗрарӑм / ҫуран, хӗрарӑм килет: сӑран вӑтам тӗксӗм тонӗ, ҫул
🚶🏿‍♀	сӑран тӗксӗм тонӗ, тротуар, тухса кайнӑ, утни, уҫӑлса ҫӳрени, хӗр, хӗрарӑм, хӗрарӑм / ҫуран, хӗрарӑм килет: сӑран тӗксӗм тонӗ, ҫул
🚶‍➡	иртен-ҫӳрен, каять, тротуар, утасси, утма / утатӑп, уҫӑлса ҫӳресси, ҫул, ҫуран, ҫын, ҫын килет сылтӑмалла, ҫӳресси
🚶🏻‍➡	иртен-ҫӳрен, каять, тротуар, утасси, утма / утатӑп, уҫӑлса ҫӳресси, ҫул, ҫуран, ҫын, ҫын килет сылтӑмалла, ҫӳресси
🚶🏼‍➡	иртен-ҫӳрен, каять, тротуар, утасси, утма / утатӑп, уҫӑлса ҫӳресси, ҫул, ҫуран, ҫын, ҫын килет сылтӑмалла, ҫӳресси
🚶🏽‍➡	иртен-ҫӳрен, каять, тротуар, утасси, утма / утатӑп, уҫӑлса ҫӳресси, ҫул, ҫуран, ҫын, ҫын килет сылтӑмалла, ҫӳресси
🚶🏾‍➡	иртен-ҫӳрен, каять, тротуар, утасси, утма / утатӑп, уҫӑлса ҫӳресси, ҫул, ҫуран, ҫын, ҫын килет сылтӑмалла, ҫӳресси
🚶🏿‍➡	иртен-ҫӳрен, каять, тротуар, утасси, утма / утатӑп, уҫӑлса ҫӳресси, ҫул, ҫуран, ҫын, ҫын килет сылтӑмалла, ҫӳресси
🚶‍♀‍➡	тротуар, тухса кайнӑ, утни, уҫӑлса ҫӳрени, хӗр, хӗрарӑм, хӗрарӑм / ҫуран, хӗрарӑм килет сылтӑмалла, ҫул
🚶🏻‍♀‍➡	тротуар, тухса кайнӑ, утни, уҫӑлса ҫӳрени, хӗр, хӗрарӑм, хӗрарӑм / ҫуран, хӗрарӑм килет сылтӑмалла, ҫул
🚶🏼‍♀‍➡	тротуар, тухса кайнӑ, утни, уҫӑлса ҫӳрени, хӗр, хӗрарӑм, хӗрарӑм / ҫуран, хӗрарӑм килет сылтӑмалла, ҫул
🚶🏽‍♀‍➡	тротуар, тухса кайнӑ, утни, уҫӑлса ҫӳрени, хӗр, хӗрарӑм, хӗрарӑм / ҫуран, хӗрарӑм килет сылтӑмалла, ҫул
🚶🏾‍♀‍➡	тротуар, тухса кайнӑ, утни, уҫӑлса ҫӳрени, хӗр, хӗрарӑм, хӗрарӑм / ҫуран, хӗрарӑм килет сылтӑмалла, ҫул
🚶🏿‍♀‍➡	тротуар, тухса кайнӑ, утни, уҫӑлса ҫӳрени, хӗр, хӗрарӑм, хӗрарӑм / ҫуран, хӗрарӑм килет сылтӑмалла, ҫул
🚶‍♂‍➡	арҫын, арҫын / уҫӑлса ҫӳрет, арҫын килет сылтӑмалла, тротуар, утни, ҫул
🚶🏻‍♂‍➡	арҫын, арҫын / уҫӑлса ҫӳрет, арҫын килет сылтӑмалла, тротуар, утни, ҫул
🚶🏼‍♂‍➡	арҫын, арҫын / уҫӑлса ҫӳрет, арҫын килет сылтӑмалла, тротуар, утни, ҫул
🚶🏽‍♂‍➡	арҫын, арҫын / уҫӑлса ҫӳрет, арҫын килет сылтӑмалла, тротуар, утни, ҫул
🚶🏾‍♂‍➡	арҫын, арҫын / уҫӑлса ҫӳрет, арҫын килет сылтӑмалла, тротуар, утни, ҫул
🚶🏿‍♂‍➡	арҫын, арҫын / уҫӑлса ҫӳрет, арҫын килет сылтӑмалла, тротуар, утни, ҫул
🧍	тӑр, ура ҫине тӑрса, ҫын, ҫын тӑрать
🧍🏻	сӑран ҫутӑ тӗсӗ, тӑр, ура ҫине тӑрса, ҫын, ҫын тӑрать, ҫын тӑрать: сӑран ҫутӑ тӗсӗ
🧍🏼	тӑр, ура ҫине тӑрса, ҫын, ҫын тӑрать, ҫын тӑрать: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🧍🏽	сӑран вӑтам тонӗ, тӑр, ура ҫине тӑрса, ҫын, ҫын тӑрать, ҫын тӑрать: сӑран вӑтам тонӗ
🧍🏾	сӑран вӑтам тӗксӗм тонӗ, тӑр, ура ҫине тӑрса, ҫын, ҫын тӑрать, ҫын тӑрать: сӑран вӑтам тӗксӗм тонӗ
🧍🏿	сӑран тӗксӗм тонӗ, тӑр, ура ҫине тӑрса, ҫын, ҫын тӑрать, ҫын тӑрать: сӑран тӗксӗм тонӗ
🧍‍♂	арҫын, арҫын / тӑрать / каччӑ, арҫын тӑрать, ача, тӑрать, ура ҫине тӑрса
🧍🏻‍♂	арҫын, арҫын / тӑрать / каччӑ, арҫын тӑрать: сӑран ҫутӑ тӗсӗ, ача, сӑран ҫутӑ тӗсӗ, тӑрать, ура ҫине тӑрса
🧍🏼‍♂	арҫын, арҫын / тӑрать / каччӑ, арҫын тӑрать: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ача, тӑрать, ура ҫине тӑрса, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🧍🏽‍♂	арҫын, арҫын / тӑрать / каччӑ, арҫын тӑрать: сӑран вӑтам тонӗ, ача, сӑран вӑтам тонӗ, тӑрать, ура ҫине тӑрса
🧍🏾‍♂	арҫын, арҫын / тӑрать / каччӑ, арҫын тӑрать: сӑран вӑтам тӗксӗм тонӗ, ача, сӑран вӑтам тӗксӗм тонӗ, тӑрать, ура ҫине тӑрса
🧍🏿‍♂	арҫын, арҫын / тӑрать / каччӑ, арҫын тӑрать: сӑран тӗксӗм тонӗ, ача, сӑран тӗксӗм тонӗ, тӑрать, ура ҫине тӑрса
🧍‍♀	хӗр, хӗрарӑм, хӗрарӑм / ура ҫинче тӑрать, хӗрарӑм тӑрать
🧍🏻‍♀	сӑран ҫутӑ тӗсӗ, хӗр, хӗрарӑм, хӗрарӑм / ура ҫинче тӑрать, хӗрарӑм тӑрать: сӑран ҫутӑ тӗсӗ
🧍🏼‍♀	хӗр, хӗрарӑм, хӗрарӑм / ура ҫинче тӑрать, хӗрарӑм тӑрать: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🧍🏽‍♀	сӑран вӑтам тонӗ, хӗр, хӗрарӑм, хӗрарӑм / ура ҫинче тӑрать, хӗрарӑм тӑрать: сӑран вӑтам тонӗ
🧍🏾‍♀	сӑран вӑтам тӗксӗм тонӗ, хӗр, хӗрарӑм, хӗрарӑм / ура ҫинче тӑрать, хӗрарӑм тӑрать: сӑран вӑтам тӗксӗм тонӗ
🧍🏿‍♀	сӑран тӗксӗм тонӗ, хӗр, хӗрарӑм, хӗрарӑм / ура ҫинче тӑрать, хӗрарӑм тӑрать: сӑран тӗксӗм тонӗ
🧎	/ чӗркуҫҫи ҫинче / ҫын / чӗркуҫҫи ҫинче, йога, чӗркуҫленсе ларнӑ ҫын, чӗркуҫҫи
🧎🏻	/ чӗркуҫҫи ҫинче / ҫын / чӗркуҫҫи ҫинче, йога, сӑран ҫутӑ тӗсӗ, чӗркуҫленсе ларнӑ ҫын: сӑран ҫутӑ тӗсӗ, чӗркуҫҫи
🧎🏼	/ чӗркуҫҫи ҫинче / ҫын / чӗркуҫҫи ҫинче, йога, чӗркуҫленсе ларнӑ ҫын: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, чӗркуҫҫи, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🧎🏽	/ чӗркуҫҫи ҫинче / ҫын / чӗркуҫҫи ҫинче, йога, сӑран вӑтам тонӗ, чӗркуҫленсе ларнӑ ҫын: сӑран вӑтам тонӗ, чӗркуҫҫи
🧎🏾	/ чӗркуҫҫи ҫинче / ҫын / чӗркуҫҫи ҫинче, йога, сӑран вӑтам тӗксӗм тонӗ, чӗркуҫленсе ларнӑ ҫын: сӑран вӑтам тӗксӗм тонӗ, чӗркуҫҫи
🧎🏿	/ чӗркуҫҫи ҫинче / ҫын / чӗркуҫҫи ҫинче, йога, сӑран тӗксӗм тонӗ, чӗркуҫленсе ларнӑ ҫын: сӑран тӗксӗм тонӗ, чӗркуҫҫи
🧎‍♂	арҫын, арҫын / чӗркуҫҫи ҫинче, арҫын чӗркуҫҫи ҫинче, ача, каччӑ, чӗркуҫҫи
🧎🏻‍♂	арҫын, арҫын / чӗркуҫҫи ҫинче, арҫын чӗркуҫҫи ҫинче: сӑран ҫутӑ тӗсӗ, ача, каччӑ, сӑран ҫутӑ тӗсӗ, чӗркуҫҫи
🧎🏼‍♂	арҫын, арҫын / чӗркуҫҫи ҫинче, арҫын чӗркуҫҫи ҫинче: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ача, каччӑ, чӗркуҫҫи, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🧎🏽‍♂	арҫын, арҫын / чӗркуҫҫи ҫинче, арҫын чӗркуҫҫи ҫинче: сӑран вӑтам тонӗ, ача, каччӑ, сӑран вӑтам тонӗ, чӗркуҫҫи
🧎🏾‍♂	арҫын, арҫын / чӗркуҫҫи ҫинче, арҫын чӗркуҫҫи ҫинче: сӑран вӑтам тӗксӗм тонӗ, ача, каччӑ, сӑран вӑтам тӗксӗм тонӗ, чӗркуҫҫи
🧎🏿‍♂	арҫын, арҫын / чӗркуҫҫи ҫинче, арҫын чӗркуҫҫи ҫинче: сӑран тӗксӗм тонӗ, ача, каччӑ, сӑран тӗксӗм тонӗ, чӗркуҫҫи
🧎‍♀	хӗр, хӗрарӑм, хӗрарӑм / чӗркуҫҫи ҫинче, хӗрача, чӗркуҫҫи ҫинче, чӗркуҫҫи ҫинче тӑракан хӗрарӑм, чӗркуҫҫисем
🧎🏻‍♀	сӑран ҫутӑ тӗсӗ, хӗр, хӗрарӑм, хӗрарӑм / чӗркуҫҫи ҫинче, хӗрача, чӗркуҫҫи ҫинче, чӗркуҫҫи ҫинче тӑракан хӗрарӑм: сӑран ҫутӑ тӗсӗ, чӗркуҫҫисем
🧎🏼‍♀	хӗр, хӗрарӑм, хӗрарӑм / чӗркуҫҫи ҫинче, хӗрача, чӗркуҫҫи ҫинче, чӗркуҫҫи ҫинче тӑракан хӗрарӑм: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, чӗркуҫҫисем, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🧎🏽‍♀	сӑран вӑтам тонӗ, хӗр, хӗрарӑм, хӗрарӑм / чӗркуҫҫи ҫинче, хӗрача, чӗркуҫҫи ҫинче, чӗркуҫҫи ҫинче тӑракан хӗрарӑм: сӑран вӑтам тонӗ, чӗркуҫҫисем
🧎🏾‍♀	сӑран вӑтам тӗксӗм тонӗ, хӗр, хӗрарӑм, хӗрарӑм / чӗркуҫҫи ҫинче, хӗрача, чӗркуҫҫи ҫинче, чӗркуҫҫи ҫинче тӑракан хӗрарӑм: сӑран вӑтам тӗксӗм тонӗ, чӗркуҫҫисем
🧎🏿‍♀	сӑран тӗксӗм тонӗ, хӗр, хӗрарӑм, хӗрарӑм / чӗркуҫҫи ҫинче, хӗрача, чӗркуҫҫи ҫинче, чӗркуҫҫи ҫинче тӑракан хӗрарӑм: сӑран тӗксӗм тонӗ, чӗркуҫҫисем
🧎‍➡	/ чӗркуҫҫи ҫинче / ҫын / чӗркуҫҫи ҫинче, йога, чӗркуҫленсе ларнӑ ҫын сылтӑмалла, чӗркуҫҫи
🧎🏻‍➡	/ чӗркуҫҫи ҫинче / ҫын / чӗркуҫҫи ҫинче, йога, чӗркуҫленсе ларнӑ ҫын сылтӑмалла, чӗркуҫҫи
🧎🏼‍➡	/ чӗркуҫҫи ҫинче / ҫын / чӗркуҫҫи ҫинче, йога, чӗркуҫленсе ларнӑ ҫын сылтӑмалла, чӗркуҫҫи
🧎🏽‍➡	/ чӗркуҫҫи ҫинче / ҫын / чӗркуҫҫи ҫинче, йога, чӗркуҫленсе ларнӑ ҫын сылтӑмалла, чӗркуҫҫи
🧎🏾‍➡	/ чӗркуҫҫи ҫинче / ҫын / чӗркуҫҫи ҫинче, йога, чӗркуҫленсе ларнӑ ҫын сылтӑмалла, чӗркуҫҫи
🧎🏿‍➡	/ чӗркуҫҫи ҫинче / ҫын / чӗркуҫҫи ҫинче, йога, чӗркуҫленсе ларнӑ ҫын сылтӑмалла, чӗркуҫҫи
🧎‍♀‍➡	хӗр, хӗрарӑм, хӗрарӑм / чӗркуҫҫи ҫинче, хӗрача, чӗркуҫҫи ҫинче, чӗркуҫҫи ҫинче тӑракан хӗрарӑм сылтӑмалла, чӗркуҫҫисем
🧎🏻‍♀‍➡	хӗр, хӗрарӑм, хӗрарӑм / чӗркуҫҫи ҫинче, хӗрача, чӗркуҫҫи ҫинче, чӗркуҫҫи ҫинче тӑракан хӗрарӑм сылтӑмалла, чӗркуҫҫисем
🧎🏼‍♀‍➡	хӗр, хӗрарӑм, хӗрарӑм / чӗркуҫҫи ҫинче, хӗрача, чӗркуҫҫи ҫинче, чӗркуҫҫи ҫинче тӑракан хӗрарӑм сылтӑмалла, чӗркуҫҫисем
🧎🏽‍♀‍➡	хӗр, хӗрарӑм, хӗрарӑм / чӗркуҫҫи ҫинче, хӗрача, чӗркуҫҫи ҫинче, чӗркуҫҫи ҫинче тӑракан хӗрарӑм сылтӑмалла, чӗркуҫҫисем
🧎🏾‍♀‍➡	хӗр, хӗрарӑм, хӗрарӑм / чӗркуҫҫи ҫинче, хӗрача, чӗркуҫҫи ҫинче, чӗркуҫҫи ҫинче тӑракан хӗрарӑм сылтӑмалла, чӗркуҫҫисем
🧎🏿‍♀‍➡	хӗр, хӗрарӑм, хӗрарӑм / чӗркуҫҫи ҫинче, хӗрача, чӗркуҫҫи ҫинче, чӗркуҫҫи ҫинче тӑракан хӗрарӑм сылтӑмалла, чӗркуҫҫисем
🧎‍♂‍➡	арҫын, арҫын / чӗркуҫҫи ҫинче, арҫын чӗркуҫҫи ҫинче сылтӑмалла, ача, каччӑ, чӗркуҫҫи
🧎🏻‍♂‍➡	арҫын, арҫын / чӗркуҫҫи ҫинче, арҫын чӗркуҫҫи ҫинче сылтӑмалла, ача, каччӑ, чӗркуҫҫи
🧎🏼‍♂‍➡	арҫын, арҫын / чӗркуҫҫи ҫинче, арҫын чӗркуҫҫи ҫинче сылтӑмалла, ача, каччӑ, чӗркуҫҫи
🧎🏽‍♂‍➡	арҫын, арҫын / чӗркуҫҫи ҫинче, арҫын чӗркуҫҫи ҫинче сылтӑмалла, ача, каччӑ, чӗркуҫҫи
🧎🏾‍♂‍➡	арҫын, арҫын / чӗркуҫҫи ҫинче, арҫын чӗркуҫҫи ҫинче сылтӑмалла, ача, каччӑ, чӗркуҫҫи
🧎🏿‍♂‍➡	арҫын, арҫын / чӗркуҫҫи ҫинче, арҫын чӗркуҫҫи ҫинче сылтӑмалла, ача, каччӑ, чӗркуҫҫи
🧑‍🦯	суккӑр, шурӑ туялӑ инвалид, шурӑ туялӑ ҫын, ҫын
🧑🏻‍🦯	суккӑр, сӑран ҫутӑ тӗсӗ, шурӑ туялӑ инвалид, шурӑ туялӑ ҫын: сӑран ҫутӑ тӗсӗ, ҫын
🧑🏼‍🦯	суккӑр, шурӑ туялӑ инвалид, шурӑ туялӑ ҫын: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ҫын, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🧑🏽‍🦯	суккӑр, сӑран вӑтам тонӗ, шурӑ туялӑ инвалид, шурӑ туялӑ ҫын: сӑран вӑтам тонӗ, ҫын
🧑🏾‍🦯	суккӑр, сӑран вӑтам тӗксӗм тонӗ, шурӑ туялӑ инвалид, шурӑ туялӑ ҫын: сӑран вӑтам тӗксӗм тонӗ, ҫын
🧑🏿‍🦯	суккӑр, сӑран тӗксӗм тонӗ, шурӑ туялӑ инвалид, шурӑ туялӑ ҫын: сӑран тӗксӗм тонӗ, ҫын
🧑‍🦯‍➡	суккӑр, шурӑ туялӑ инвалид, шурӑ туялӑ ҫын сылтӑмалла, ҫын
🧑🏻‍🦯‍➡	суккӑр, шурӑ туялӑ инвалид, шурӑ туялӑ ҫын сылтӑмалла, ҫын
🧑🏼‍🦯‍➡	суккӑр, шурӑ туялӑ инвалид, шурӑ туялӑ ҫын сылтӑмалла, ҫын
🧑🏽‍🦯‍➡	суккӑр, шурӑ туялӑ инвалид, шурӑ туялӑ ҫын сылтӑмалла, ҫын
🧑🏾‍🦯‍➡	суккӑр, шурӑ туялӑ инвалид, шурӑ туялӑ ҫын сылтӑмалла, ҫын
🧑🏿‍🦯‍➡	суккӑр, шурӑ туялӑ инвалид, шурӑ туялӑ ҫын сылтӑмалла, ҫын
👨‍🦯	арҫын, инвалид, патак, суккӑр, туя, утма туя тытнӑ арҫын, утмалли туя, ҫын
👨🏻‍🦯	арҫын, инвалид, патак, суккӑр, сӑран ҫутӑ тӗсӗ, туя, утма туя тытнӑ арҫын, утмалли туя: сӑран ҫутӑ тӗсӗ, ҫын
👨🏼‍🦯	арҫын, инвалид, патак, суккӑр, туя, утма туя тытнӑ арҫын, утмалли туя: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ҫын, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
👨🏽‍🦯	арҫын, инвалид, патак, суккӑр, сӑран вӑтам тонӗ, туя, утма туя тытнӑ арҫын, утмалли туя: сӑран вӑтам тонӗ, ҫын
👨🏾‍🦯	арҫын, инвалид, патак, суккӑр, сӑран вӑтам тӗксӗм тонӗ, туя, утма туя тытнӑ арҫын, утмалли туя: сӑран вӑтам тӗксӗм тонӗ, ҫын
👨🏿‍🦯	арҫын, инвалид, патак, суккӑр, сӑран тӗксӗм тонӗ, туя, утма туя тытнӑ арҫын, утмалли туя: сӑран тӗксӗм тонӗ, ҫын
👨‍🦯‍➡	арҫын, инвалид, патак, суккӑр, туя, утма туя тытнӑ арҫын, утмалли туя сылтӑмалла, ҫын
👨🏻‍🦯‍➡	арҫын, инвалид, патак, суккӑр, туя, утма туя тытнӑ арҫын, утмалли туя сылтӑмалла, ҫын
👨🏼‍🦯‍➡	арҫын, инвалид, патак, суккӑр, туя, утма туя тытнӑ арҫын, утмалли туя сылтӑмалла, ҫын
👨🏽‍🦯‍➡	арҫын, инвалид, патак, суккӑр, туя, утма туя тытнӑ арҫын, утмалли туя сылтӑмалла, ҫын
👨🏾‍🦯‍➡	арҫын, инвалид, патак, суккӑр, туя, утма туя тытнӑ арҫын, утмалли туя сылтӑмалла, ҫын
👨🏿‍🦯‍➡	арҫын, инвалид, патак, суккӑр, туя, утма туя тытнӑ арҫын, утмалли туя сылтӑмалла, ҫын
👩‍🦯	инвалид, патак, суккӑр, туя, утмалли туя тытнӑ хӗрарӑм, шур патаклӑ хӗрарӑм, ҫын
👩🏻‍🦯	инвалид, патак, суккӑр, сӑран ҫутӑ тӗсӗ, туя, утмалли туя тытнӑ хӗрарӑм, шур патаклӑ хӗрарӑм: сӑран ҫутӑ тӗсӗ, ҫын
👩🏼‍🦯	инвалид, патак, суккӑр, туя, утмалли туя тытнӑ хӗрарӑм, шур патаклӑ хӗрарӑм: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ҫын, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
👩🏽‍🦯	инвалид, патак, суккӑр, сӑран вӑтам тонӗ, туя, утмалли туя тытнӑ хӗрарӑм, шур патаклӑ хӗрарӑм: сӑран вӑтам тонӗ, ҫын
👩🏾‍🦯	инвалид, патак, суккӑр, сӑран вӑтам тӗксӗм тонӗ, туя, утмалли туя тытнӑ хӗрарӑм, шур патаклӑ хӗрарӑм: сӑран вӑтам тӗксӗм тонӗ, ҫын
👩🏿‍🦯	инвалид, патак, суккӑр, сӑран тӗксӗм тонӗ, туя, утмалли туя тытнӑ хӗрарӑм, шур патаклӑ хӗрарӑм: сӑран тӗксӗм тонӗ, ҫын
👩‍🦯‍➡	инвалид, патак, суккӑр, туя, утмалли туя тытнӑ хӗрарӑм, шур патаклӑ хӗрарӑм сылтӑмалла, ҫын
👩🏻‍🦯‍➡	инвалид, патак, суккӑр, туя, утмалли туя тытнӑ хӗрарӑм, шур патаклӑ хӗрарӑм сылтӑмалла, ҫын
👩🏼‍🦯‍➡	инвалид, патак, суккӑр, туя, утмалли туя тытнӑ хӗрарӑм, шур патаклӑ хӗрарӑм сылтӑмалла, ҫын
👩🏽‍🦯‍➡	инвалид, патак, суккӑр, туя, утмалли туя тытнӑ хӗрарӑм, шур патаклӑ хӗрарӑм сылтӑмалла, ҫын
👩🏾‍🦯‍➡	инвалид, патак, суккӑр, туя, утмалли туя тытнӑ хӗрарӑм, шур патаклӑ хӗрарӑм сылтӑмалла, ҫын
👩🏿‍🦯‍➡	инвалид, патак, суккӑр, туя, утмалли туя тытнӑ хӗрарӑм, шур патаклӑ хӗрарӑм сылтӑмалла, ҫын
🧑‍🦼	инвалид, инвалид кӳми, моторлӑ кресло-коляска тӑхӑннӑ ҫын
🧑🏻‍🦼	инвалид, инвалид кӳми, моторлӑ кресло-коляска тӑхӑннӑ ҫын, моторлӑ кресло-коляска тӑхӑннӑ ҫын: сӑран ҫутӑ тӗсӗ, сӑран ҫутӑ тӗсӗ
🧑🏼‍🦼	инвалид, инвалид кӳми, моторлӑ кресло-коляска тӑхӑннӑ ҫын, моторлӑ кресло-коляска тӑхӑннӑ ҫын: ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ, ӳт-тирӗн вӑтам-ҫутӑ тӗсӗ
🧑🏽‍🦼	инвалид, инвалид кӳми, моторлӑ кресло-коляска тӑхӑннӑ ҫын, моторлӑ кресло-коляска тӑхӑннӑ ҫын: сӑран вӑтам тонӗ, сӑран вӑтам тонӗ
🧑🏾‍🦼	инвалид, инвалид кӳми, моторлӑ кресло-коляска тӑхӑннӑ ҫын, моторлӑ кресло-коляска тӑхӑннӑ ҫын: сӑран вӑтам тӗксӗм тонӗ, сӑран вӑтам тӗксӗм тонӗ
🧑🏿‍🦼	инвалид, инвалид кӳми, моторлӑ кресло-коляска тӑхӑннӑ ҫын, моторлӑ кресло-коляска тӑхӑннӑ ҫын: сӑран тӗксӗм тонӗ, сӑран тӗксӗм тонӗ
🧑‍🦼‍➡	инвалид, инвалид кӳми, моторлӑ кресло-коляска тӑхӑннӑ ҫын, моторлӑ кресло-коляска тӑхӑннӑ ҫын сылтӑмалла
🧑🏻‍🦼‍➡	инвалид, инвалид кӳми, моторлӑ кресло-коляска тӑхӑннӑ ҫын, моторлӑ кресло-коляска тӑхӑннӑ ҫын сылтӑмалла
