‾	надчеркивание, ҫӳлтен йӗр
⋰	диагональ виçĕ пăнчă ҫӳлелле
⋱	диагональ виçĕ пăнчă аялалла
■	закрашенный квадрат
□	полый квадрат
▢	полый квадрат с закругленными углами
▣	закрашенный квадрат внутри полого квадрата
▤	квадрат с горизонтальной штриховкой
▥	квадрат с вертикальной штриховкой
▦	квадрат с ортогональной перекрестной штриховкой
▧	квадрат с диагональной штриховкой слева направо
▨	квадрат с диагональной штриховкой справа налево
▩	квадрат с диагональной перекрестной штриховкой
▬	закрашенный прямоугольник
▭	полый прямоугольник
▮	закрашенный вертикальный прямоугольник
▰	закрашенный параллелограмм
▲	вверх, закрашенный, закрашенный треугольник вершиной вверх, стрелка, треугольник
△	полый треугольник вершиной вверх
▴	небольшой закрашенный треугольник вершиной вверх
▵	небольшой полый треугольник вершиной вверх
▷	полый треугольник вершиной вправо
▸	небольшой закрашенный треугольник вершиной вправо
▹	небольшой полый треугольник вершиной вправо
►	закрашенный указатель вправо
▻	полый указатель вправо
▼	вниз, закрашенный, закрашенный треугольник вершиной вниз, стрелка, треугольник
▽	полый треугольник вершиной вниз
▾	небольшой закрашенный треугольник вершиной вниз
▿	небольшой полый треугольник вершиной вниз
◁	полый треугольник вершиной влево
◂	небольшой закрашенный треугольник вершиной влево
◃	небольшой полый треугольник вершиной влево
◄	закрашенный указатель влево
◅	полый указатель влево
◆	закрашенный ромб
◇	полый ромб
◈	закрашенный ромб внутри полого ромба
◉	закрашенный круг внутри полого круга
◊	бубны, косоугольник, ромб
○	круг, незакрашенный круг, полый, пустой круг, шар
◌	пунктирный круг
◍	круг с вертикальной штриховкой
◎	концентрические круги
●	закрашенный круг, заполненный круг, круг, шар
◐	круг с закрашенной левой половиной
◑	круг с закрашенной правой половиной
◒	круг с закрашенной нижней половиной
◓	круг с закрашенной верхней половиной
◔	круг с закрашенной верхней правой четвертью
◕	закрашенный круг с полой верхней левой четвертью
◖	закрашенная левая половина круга
◗	закрашенная правая половина круга
◘	инвертированный маркер пункта в списке
◙	полый круг внутри закрашенного квадрата
◜	дуга в верхней левой четверти
◝	дуга в верхней правой четверти
◞	дуга в нижней правой четверти
◟	дуга в нижней левой четверти
◠	верхний полукруг
◡	нижний полукруг
◢	закрашенный нижний правый треугольник
◣	закрашенный нижний левый треугольник
◤	закрашенный верхний левый треугольник
◥	закрашенный верхний правый треугольник
◦	полый маркер пункта в списке
◯	большой незакрашенный круг, круг, полый, пустой, шар
◳	полый квадрат с полой верхней правой четвертью
◷	полый круг с полой верхней правой четвертью
◿	нижний правый треугольник
♪	музыка, нота, саккӑрмӗш, саккӑрмӗш нота
⨧	плюс с цифрой два в нижнем регистре
⨯	векторла хутлав
⨼	внутреннее произведение
⩣	логическое или с двойным подчеркиванием
⩽	меньше с наклонным равно
⪍	меньше над асимптотически равно
⪚	больше под равно, математика, неравенство
⪺	следует над приблизительно не равно
♭	бемоль, музыка, нота
♯	диез, кӗвӗ, нота
😀	анлӑн кулать, кулӑ, пит-куҫ, савӑнӑҫ, телей
😃	кулать, кулӑ, пит, савӑнӑҫ, савӑнӑҫлӑ, ҫӑвар
😄	кулать, кулни, куҫне хупса кулать, куҫӗсем, пичӗ, савӑнӑҫ, хупӑннӑ
😁	кулли, кулли / сарлака, кулӑ, куҫ, кӗҫенни, пит, телей, телейпе ҫуталать, хавас, шӑл
😆	ахӑлтатса кулни, кулли, кулӑшла, куҫне хӗссе кулать, куҫӗсем, лол, савӑнӑҫ, сӗрӗм, ха-ха, хупӑннӑ
😅	кулли, кулӑ, лол, нерв, сарлака, стресс, тар, уҫӑ, ҫилӗллӗн кулать, ҫӑвар, ҫӑмӑллӑх
🤣	ахӑлтатса кулни, каҫса кайсах кулать, куҫ, куҫҫуль, макӑру, ржак, умора, урай, ха-ха, ярӑнатӑп
😂	йӗр, кулӑшла, куҫ / лол, куҫҫуль, куҫҫуль тухичченех кулать, ржак, ржунимаг, умора, ха-ха
🙂	кулӑ, кӑшт кулакан пит, пит, савӑнӑҫ, сайлик, ҫӑмӑл
🙃	кулӑ, кутӑн-пуҫӑн, кутӑн-пуҫӑн кутӑн, пит, ура / ӳпӗнтернӗ, ҫӳлелле
🫠	вӑтанма, ирӗлет, сайл, сарказм, хаха, шӑрӑх, шӗвек, ҫухалать
😉	аван, калаҫса татӑлтӑмӑр, кулли, куҫ, куҫ хӗсет, ой, тӑрӑхласа, флирт, шӳт, ҫӑмӑл
😊	куҫӗсем, кӑмӑллӑн кулать, питҫӑмартисем, савӑнӑҫ, тулли, хупӑннӑ, хӗрелет, хӗрлӗ / кулӑ, ҫӑмӑл
😇	айванлӑх, айӑпсӑрлӑх, ангел, кулли, нимб, нимб / святой, нимблӑ, пит, юмах
🥰	ачашлӑх, кулӑ, любовь, романтика, савӑнӑҫ, туйӑмсем, хӗрлӗ / чӗре, чӗреллӗ кулӑ, юрататӑп
😍	куҫ, пит / юрату, туйӑмсем, чӗрене, юратма, юратма / юрататӑп, юратнӑран ӑсран тайӑлатӑп, юратрӑм, юратса пӑрахнӑ пит
🤩	ватӑ, диско, кулма, куҫ вырӑнне ҫӑлтӑрсем / савӑнӑҫ, куҫри ҫӑлтӑрсем, супер / ватӑ / кулӑ, тӗлӗнтермӗш пуласса кӗтсе, шоу, ялтӑр, ҫӑлтӑрсем
😘	манран чупту, питрен чупту, савни, сывлӑш чуптӑвӑвӗ, тунсӑхлатӑп каҫ, тунсӑхлатӑп каҫсерен, флирт, юрататăп сана
😗	ачашлӑх, романтика, тунсӑхлатӑп, флирт, чмок, чупту, чуптӑвать, юрататӑп, юрату
☺️	йӑл кулать, кулать, кулӑ, лайӑх, савӑнӑҫ, смайлик, телей, хӗрлӗ, ҫитет
😚	куҫа хупса чуптӑвать, куҫсем, флирт, хупӑннӑ, хӗрлӗ, черккене, чупту
😙	кулӑ, куҫ, пит, телейлӗ чупту, тӗлпулу, цем, чмок, чупту
🥲	кулакан пит-куҫ, кулӑ, куҫҫуль, мӑнкӑмӑллӑх, пит, савӑнӑҫ, тав, чӗрене тивекен, ырату, ҫемҫелӳ, ҫӑмӑллӑх
😋	апат, пит, тутлӑ, тутӑ, чӗлхене йӗпетмелле, ҫимелли
😛	бе-е, йӗкӗлтет, пите, сиенлӗ, чее, чӗлхе кӑтартать, чӗлхене кӑларатӑп, чӗлхене кӑтартма
😜	выляс, йӗкӗлтени, куҫ хӗскелени, пит-куҫ, чӗлхе, чӗлхине кӑтартать тата куҫне хӗскелет, чӗлхине кӑтартать те куҫне хӗсет, шӳт
🤪	куҫ, пит, пит-куҫ, псих, пысӑк, пӗчӗк, тӗлӗнтермӗш, тӗрлӗ виҫеллӗ, ухмаха ернӗ, ухмахлашкалакан пит, фаза тӑрӑх куҫӑм, хӑрах куҫ, шаклаттарнӑ
😝	бяк, ирсӗрлӗх, йӗрӗнӳ, куҫне хӗсет, пит-куҫне пӗркелентерет те чӗлхене кӑтартать, пит-куҫне пӗркелентерет, чӗлхине кӑтартать, тутлах мар, тьфу, чӗлхене, чӗлхене кӑтартать
🤑	джек тар, джек-тар, доллар, куҫ умӗнче укҫа, куҫра укҫа, миллион, пит, рота, тупӑш, укҫа, фортуна, ҫӑткӑн
🤗	алӑсем, кулӑ, пит, савӑнӑҫлӑ, саламлӑ, шанчӑклӑ, ыталать, ыталатӑп
🤭	кулни, ляппет, ой, секрет, сюрприз, сӑмах хушрӗ, хи-хи, ытлашши, ҫӑвара аллипе хуплать, ҫӑварне аллипе хуплать, ҫӑварне хуплать
🫢	вӑтанни, куҫне уҫнӑ аллипе ҫӑварне хуплать, кӗтмен ҫӗртен, ох, смайл, тӗлӗнмелле, тӗлӗнни, хӑрани, шанманни, шок, ҫӑварне аллипе хуплать
🫣	вӑрттӑн, вӑрттӑн ҫухалса, вӑтанма, иккӗленме, куҫ, куҫ илмесӗр, пытанма, пӑхать, пӑхни, смайл, тинкерсе пӑхать
🤫	ан шарла, вӑрттӑн, пӑшӑлтатни, секрет, тс-с-с, тс-с-с., ш-ш-ш, шшшшшш, шӑплӑх, шӑппӑн
🤔	пӳрнесене, сӑн-пит, хм, шухӑшлама пар, шухӑшлас пулать, шухӑшлать, шухӑшлатӑп, шухӑшсене
🫡	килӗшӳ, ой, пур, сайл, солнечно, чыс, ҫар, ҫар саламӗ, ҫирӗплетӳ, ӑнлану
🤐	Калаçмасть, никама та каламастӑп, пит, секрет, хупӑ, чӗмсӗрлӗх, ҫӑвар, ҫӑвар ҫӑра ҫинче
