‾	vinkulum, ɛsontwamu, ɛsosensaneɛ
◄	akyerɛkyerɛkwan, ayɛ ma, benkum-hwɛ, benkum-hwɛ akyerɛkyerɛkwan a ayɛ ma
◅	akyerɛkyerɛkwan, benkum-hwɛ, benkum-hwɛ akyerɛkyerɛkwan a tokuro da mu, tokuro
◆	ayɛ ma, dɛnkyɛmmoɔ, dɛnkyɛmmoɔ a ayɛ ma
◇	dɛnkyɛmmoɔ, dɛnkyɛmmoɔ a tokuro da mu, tokuro
◈	ayɛ ma, dɛnkyɛmmoɔ, dɛnkyɛmmoɔ a tokuro da mu kura dɛnkyɛmmoɔ a ayɛ ma, kura, tokuro
◉	apataaniwa, atwa kanko, ayɛ ma, dɔɔto, kanko, kura, kɔnsɛntrike, sikiiso, tokuro, tokuro kanko kura ayɛ ma kanko, wɔɔdo
◊	dɛnkyɛmmoɔ, lɔsɛngɛ, rɔɔmbɔso
○	kanko, kawa, tokuro, tokuro kanko
◌	dɔɔto, kanko, kanko dɔɔto
◍	ayɛ ma, kanko, kanko a tenten ayɛ no ma, ne, tenten
◎	botaeɛ, kanko, kɔnsɛntrike, kɔnsɛntrike kanko, mmienu
●	ayɛ ma, ayɛ ma kanko, kanko
◐	ayɛ ma, benkum, kanko, kanko benkum fa ayɛ ma, ɛfa
◑	ayɛ ma, kanko, kanko nifa fa ayɛ ma, nifa, ɛfa
◒	ayɛ ma, fam, kanko, kanko fam fa ayɛ ma, ɛfa
◓	ayɛ ma, kanko, kanko soro fa ayɛ ma, soro, ɛfa
◔	ayɛ ma, kanko, kanko soro nifa kwadrante ayɛ ma, kwadrante, nifa, soro
◕	ayɛ ma, benkum, kanko, kanko nyinaa nanso soro benkum kwadrante ayɛ ma, kwadrante, nanso, nyinaa, soro
◖	ayɛ ma, benkum, kanko, kanko benkum fa a ayɛ ma, ɛfa
◗	ayɛ ma, kanko, kanko nifa fa a ayɛ ma, nifa, ɛfa
◘	abirabɔ, abirabɔ bulɛte, bulɛte
◙	abirabɔ, ayɛ ma, ayɛ ma sokwɛɛ kura tokuro kanko, kanko, kura, sokwɛɛ, tokuro
◜	aake, benkum, kanko, kwadrante, soro, soro benkum kwadrante kanko aake
◝	aake, kanko, kwadrante, nifa, soro, soro nifa kwadrante kanko aake
◞	aake, fam, fam nifa kwadrante kanko aake, kanko, kwadrante, nifa
◟	aake, benkum, fam, fam benkum kwadrante kanko aake, kanko, kwadrante
◠	kanko, soro, soro kanko fa, ɛfa
◡	fam, fam kanko fa, kanko, ɛfa
◢	ayɛ ma, fam, fam nifa traeangeele a ayɛ ma, nifa, traeangeele
◣	ayɛ ma, benkum, fam, fam benkum traeangeele a ayɛ ma, traeangeele
◤	ayɛ ma, benkum, soro, soro benkum traeangeele a ayɛ ma, traeangeele
◥	ayɛ ma, nifa, soro, soro nifa traeangeele a ayɛ ma, traeangeele
◦	bulɛte, bulɛte a tokuro da mu, tokuro
◯	kanko, kawa, kɛseɛ, tokuro, tokuro kanko kɛseɛ
◳	kwadrante, nifa, sokwɛɛ, sokwɛɛ soro nifa kwadrante a tokuro wɔ mu, soro, tokuro
◷	kanko, kwadrante, ne, nifa, soro, tokuro, tokuro kanko ne soro nifa kwadrante
♪	deɛ ɛtɔ so nwɔtwe, nnwom, nooto, nooto a ɛtɔ so nwɔtwe
♭	bemole, nnwom, nooto, tratra
😀	anigyeɛ, anim, anim a ԑresere, kama, nwenwe, sere, serewee, ɛse
😃	ani, anigyeɛ, anim, anim a ɛseresere a na’ni yɛ akɛseɛ, ano, bue, kama, kɛseɛ, nwene, seresere, serewee, yay, ɛse
😄	ani, anigyeɛ, anim, ano, bue, lol, nwene, nwenwe, sere, seresere, serewee, sereɛ anim ne aniwa a ɛsere
😁	ani, anigyeԑ, anim, anwenenwene, kama, rehyerԑn, renwene se, renwenenwene, senwene, serewee anim ne ani a ɛresere, ԑse
😆	amia ani, ani, anigye, anim, anim a ԑrehwԑ adeԑ fee, ano, anwenewene, atom, bue, haha, hahaha, lol, resere, rofl, sere
😅	abrɛ, ani agye, anim, ano, anweneanwene anim a mfifire wom, basaa, brɛ, bue, mfifire, nwenenwene, nwunu, resere, sere, suro
🤣	ani agye, anigyeɛ, anim, aseresɛm, fam, haha, hehe, lmao, lol, munimuni, nisuo, remunimuni fam resere, resu, rofl, roflmao, sere
😂	ani ne aniye nisuo, anigye, anigyeɛ, anim, aseresɛm, atenka, haha, hehe, lmao, lol, nisuo, resu, rofl, roflmao, sere
🙂	anigye, anim, anim a ɛresere kakraa bi, kakraa bi, resere, sere
🙃	anim, anim a asi ase, hehe, sere, ti asi ase
🫠	anim, anim a ɛrenane, fɛre, haha, hyew, lol, nane, nsuo, renane, sakasime, sakasitike, yera, ɛhye
😉	akomateɛ, anim, anim ne ani a ɛkata ntɛm, dɛfɛdɛfɛ, huro, rewinke, silaade, sɛɛse, winke
😊	ani, anigye, anim, blohye, mee, resere, sere, serewee anim ne serewee ani
😇	abɔfoɔ, ahyira no, anigye, anim, asomdwoe, bɔfoɔ, fantasi, fɛɛre, fɛɛreteele, halo, honhom, nnim ho hwee, resere, sere, serewee anim ne halo, teele
🥰	3, adɔɔ, akoma, anim, ily, krahye, resere, romanse, serewee, sereɛ anim ne akoma, wo, ɔdɔ
😍	143, akoma, ani, anim, atenka, bae, ily, mfeano, romanse, romantike, serewee, sereɛ anim ne akoma ani, xoxo, ɔdɔ
🤩	ani, ani agye, anim, nsoromma, sere, serewee, setaa-straake, wow
😘	adɔɔbse, akoma, anigyina, anim, anim rehu mfeano, bae, dofoɔ, dɛfɛdɛfɛ, ily, mfeano, muah, rehu, romantike, wo, xoxo, ɔdɔ
😗	143, anim, dɛfɛdɛfɛ, ily, mfeano, mfeano anim, mpenatwe, twe mpena, wo, xoxo, ɔdɔ
☺️	anigyeɛ, anim, awotolae, gye ahome, resere, serewee, serewee anim
😚	143, ani, anim, aniwa, atom, bae, dɛfɛdɛfɛ, fereɛ, ily, mfeano, mfeano anim ne aniwa a akata, mpenatwe, refe ano, twe mpena, xoxo
😙	143, anadwo, ani, anim, aniwa, atom, dɛfɛdɛfɛ, ily, mfeano, mfeano anim ne sereɛ ani, mpenatwe, refe ano, resere, serewee, twe mpena, ɔdɔ
🥲	ahohoahoa, ahomeguo, ani gye, anigye, anim, anisɔ, ka akoma, nisuo, serewee, serewee anim ne nisuo, yeaa
😋	aduane, anim, anim kɔn adɔ aduane, di, dɛɛdɛ, ma, resere, sere, um, yum, ɛkɔm
😛	anigye, anim, anim ne tɛkrɛma, dɛɛdɛ, fɛ, kuu, paati, twe pue, tɛkrɛma
😜	ani, anim, aseresɛm, dam, loopi, naati, paati, twe pue, tɛkrɛma, waaki, weɛdo, winke, winkee anim ne tɛkrɛma, yolo, ɛpike
🤪	ani, anim, dam, goofi, ketewa, kɛseɛ, zani, zani anim
😝	akata, amia, ani, anim, anim a amia ne tɛkrɛma, atwe apue, biara, ka hwɛ, omg, tantan, tɛkrɛma, yolo
🤑	anim, ano, atua, sika, sika-ano, sika-ano anim
🤗	anim, atuu, bue, nsa, serewee, serewee anim ne nsa a emu abue
🤭	ahintasɛm, anim, anim ne nsa a akata ano, ano, hu, hunu, nsa, ntɛm ara, nwanwa, oops, sere, whoops
🫢	ani, anim, anim ne ani a abue ne nsa a akata ano, aniwuo, ano, bue, gaaspe, komm, nsa, nwanwa, omg, so, suro
🫣	ahodwiri, ani, anim, anim ne ani a ɛtetɛ, aniwuo, fɛre, hwɛ, resie, retetɛ, sie, suro, tetɛ
🤫	anim, ka ano tom anim, komm, shh, shush, shushyen
🤔	abodwe, anim, dwene, hmm, kɔnsida, redwene anim
🫡	OK, aane, anim, awuraa, kuruse, kuruse anim, obuo, owura, pa, tipa, truupuse
🤐	ahintasɛm, anim, ano, komm, sie, tom, ziipa, ziipa-ano, ziipa-ano anim, zip
🤨	aniakyi nwii, anim, anim ne aniakyi nwii a apagya, apagya, bɔkɔɔ, deɛn, emogye, hmm, nnye nni, nnye ntom, ntanta, nwanwa
😐️	ani nnye, ani nnye ho, anibre, anim, aniwuo, atenka biara nni mu, biara, hwee, hyeede, kama, meh, neetraa, neetraa anim, oh, tee
😑	ani nnye ho, anibre, anim, anim a atenka biara nni mu, aniwuo, atenka nni mu, biara, kama, kum, meh, nnyeɛeɛ nni mu, oh, omg, tee, uh, ɛnyɛ
