‾	vinkulum, ɛsontwamu, ɛsosensaneɛ
👩‍🏭	Asɛmbli, Faktre dwumayɛni baa, dwumayɛni, faktre, mfididwuma, ɔbaa
🧑‍💼	Aakitɛk, adwuma, dwumayɛni, kɔla-fitaa, manegya, ɔfese, ɔfese dwumayɛni
👨‍💼	Aakitɛk, adwuma, barima, dwumayɛni, kɔla-fitaa, manegya, ɔfese, ɔfese dwumayɛni barima
👩‍💼	Aakitɛk, adwuma, barima, dwumayɛni, kɔla-fitaa, manegya, Ɔfese dwumayɛni baa, ɔfese
🧑‍🔬	Baalogiste, Seantise, fisite, kɛmiste, matematihyian, seantise, ɛgyenia
👨‍🔬	Baalogiste, Seantise barima, barima, fisite, kɛmiste, matematihyian, seantise, ɛgyenia
👩‍🔬	Baalogiste, Seantise ɔbaa, fisite, kɛmiste, matematihyian, seantise, ɔbaa, ɛgyenia
🧑‍💻	Kooda, devolɔpa, invɛnta, kɔmputa, sɔftwɛɛ, tɛknologiste
👨‍💻	Barima, Kooda, Tɛknologiste barima, devolɔpa, invɛnta, kɔmputa, sɔftwɛɛ, tɛknologiste
👩‍💻	Kooda, Tɛknologiste ɔbaa, devolɔpa, invɛnta, kɔmputa, sɔftwɛɛ, tɛknologiste, Ɔbaa
🧑‍🎤	Aaketa, Nnwomtoni, nnwomtoni, nsoromma, rɔk, rɔksetaa, ɛntateena
👨‍🎤	Aaketa, Nnwomtoni barima, barima, nnwomtoni, nsoromma, rɔk, rɔksetaa, ɛntateena
👩‍🎤	Aaketa, Nnwomtoni baa, nnwomtoni, nsoromma, rɔk, rɔksetaa, ɔbaa, ɛntateena
🧑‍🎨	Aatise, palɛte
👨‍🎨	Aatise, Aatise barima, barima, palɛte
👩‍🎨	Aatise, Aatise ɔbaa, palɛte, ɔbaa
🧑‍✈	Pailɔt, adupre
👨‍✈	Barima, Barima pailɔt, adupre, pailɔt
👩‍✈	Pailɔt, Pailɔt ɔbaa, adupre, ɔbaa
🧑‍🚀	Astrɔnɔt, rɔkɛt, sepaase
👨‍🚀	Astrɔnɔt, Astrɔnɔt barima, barima, rɔkɛt, sepaase
👩‍🚀	Astrɔnɔto, Astrɔnɔto ɔbaa, rɔkɛt, sepaase, ɔbaa
🧑‍🚒	Gya, Gyadumfoɔ, fayatrɔko, gyadumfoɔ
👨‍🚒	Barima gyadumfoɔ, Gya, barima, fayatrɔko, gyadumfoɔ
👩‍🚒	Egya, fayatrɔko, gyadumfoɔ, Ɔbaa gyadumfoɔ, ɔbaa
👮	Buma, Polisi ɔfesa, gyina, kye, kɔpo, mmara, polisi, saeteehyen, so, sum ase, ɔfesa
👮‍♂	Buma, Polisi ɔfesa barima, barima, gyina, kye, kɔpo, mmara, polisi, saeteehyen, so, sum ase, ɔfesa
👮‍♀	Buma, Polisi ɔfesa ɔbaa, gyina, kye, kɔpo, mmara, polisi, saeteehyen, so, sum ase, Ɔbaa, ɔfesa
🕵️	Detɛketifo, detɛketifo, slɛɛto, spae
🕵‍♂	Detɛketifo, Detɛketifo barima, barima, slɛɛto, spae
🕵‍♀	Detɛketifo, Detɛketifo ɔbaa, slɛɛto, spae, ɔbaa
💂	Banbɔfo, Bɛkinhamo, ahenfie, banbɔfo, hɛɛmete, lɔndɔn
💂‍♂	Barima banbɔfo, Bɛkinhamo, ahenfie, banbɔfo, barima, hɛɛmete, lɔndɔn
💂‍♀	Bɛkinhamo, ahenfie, banbɔfo, hɛɛmete, lɔndɔn, Ɔbaa banbɔfo, ɔbaa
🥷	Asasine, Ningya, ahintasɛm, asie, nimdeɛ, ningya, nkataho, ntɔkwa, onipa, selaae, sogya, ɔko, ɔkofoɔ
👷	Adansie dwumayɛni, Si, adansie, adwuma, asiesie, barima, dwumayɛni, kyɛ, kyɛdenden, remɔdew, sane si, siesie
👷‍♂	Adansie dwumayɛni barima, Si, adansie, adwuma, asiesie, barima, dwumayɛni, kyɛ, kyɛdenden, remɔdew, sane si, siesie
👷‍♀	Adansie dwumayɛni baa, Si, adansie, adwuma, asiesie, barima, dwumayɛni, kyɛ, kyɛdenden, remɔdew, sane si, siesie, ɔbaa
🫅	Ahenkyɛ, Obi a ɔhyɛ ahenkyɛ, adehyedie, dehyeɛ, monake, nɔbuu, onipa, rɛgale
🤴	Ahenkyɛ, Prense, adehyedie, dehyeɛ, fantasi, fɛɛre, fɛɛreteele, prense, teele, ɔhene
👸	Ahenkyɛ, adehyedie, dehyeɛ, fantasi, fɛɛre, fɛɛreteele, prensɛse, prince, teele, ɔhene
👳	Obi hyɛ tɛɛban, Onipa, hyɛ, tɛɛban
👳‍♂	Barima, Barima hyɛ tɛɛban, hyɛ, tɛɛban
👳‍♀	Tɛɛban, hyɛ, ɔbaa, ɔbaa a ɔhyɛ tɛɛban
👲	Kap, Kyainese, Obi a ɔhyɛ skɔɔlekap, gua, guapi, kyɛ, mao, onipa, pi, skɔɔlekap
🧕	bandana, duku, higyabo, kɛkyeefo, mantila, ti, tikyee, Ɔbaa wabɔ duku, ɔbaa
🤵	Fɔɔma, Obi a ɔhyɛ tɔseedo, ayeforɔ, onipa, tɔseedo
🤵‍♂	Barima a ɔhyɛ tɔseedo, Fɔɔma, ayeforo, ayeforokunu, barima, tɔseedo
🤵‍♀	Fɔɔma, ayeforo, tɔseedo, Ɔbaa a ɔhyɛ tɔseedo, ɔbaa
👰	Obi ne veil, Onipa, ayeforo, veil
👰‍♂	Barima, Barima ne veil, ayeforo, veil
👰‍♀	Ayeforobaa, ayeforo, veil, Ɔbaa ne veil, ɔbaa
🤰	Nyem, Ɔbaa a ɔnyem, ɔbaa
🫃	Barima a ɔnyem, Yafunu, afu ahyɛ, barima, didi boro so, mee, nyem
🫄	Obi a ɔnyem, Yafunu, afu ahyɛ, didi boro so, ma, mee, nyem, onipa
🤱	Abɔfra, aduane, aduanema, akwadaa foforɔ, maame, nani, nufuoɔma, nɛɛsin, ɔbaa
👩‍🍼	Abɔfra, aduane, aduanema, akwadaa foforɔ, maame, nani, nɛɛsin, Ɔbaa rema akwadaa aduane, ɔbaa
👨‍🍼	Abɔfra, Barima rema akwadaa aduane, aduanema, agya, akwadaa foforɔ, barima, didi, nani, nufoɔ, papa
🧑‍🍼	aduanema, akwadaa, akwadaa foforɔ, didi, nani, nɛɛsin, obi rema akwadaa nufoɔ, ɔwofoɔ
👼	akwadaa, anim, asɔre, fantasi, fɛɛre, fɛɛreteele, teele, Ɔbɔfoɔ, Ɔbɔfoɔ akwadaa
🎅	Afahyɛ, Buronya, Santa Klauso, afoofi, agya, fantasi, fɛɛre, klauso, mɛɛri, santa, teele, xmas
🤶	Afahyɛ, Buronya, Mrs, Mrs. Klauso, afoofi, fantasi, fɛɛre, klauso, maame, mɛɛri, santa, teele, xmas
🧑‍🎄	Afahyɛ, Buronya, Mx, Mx Klauso, afoofi, fantasi, fɛɛre, klauso, mɛri, santa, teele, xmas
🦸	Kama, Supahero, hero, supahero, supapawa
🦸‍♂	Papa, Supahero barima, barima, hero, supahero, supapawa
🦸‍♀	Papa, Supahero ɔbaa, hero, heroene, supahero, supapawa, ɔbaa
🦹	Bɔne, Supaviliane, bɔne, kriminaa, supapawa, supaviliane, viliane
🦹‍♂	Bɔne, Supaviliane barima, barima, bɔne, kriminaa, supapawa, supaviliane, viliane
🦹‍♀	Bɔne, Supaviliane ɔbaa, bɔne, kriminaa, supapawa, supaviliane, viliane, ɔbaa
🧙	adwene mu nsusueɛ, akͻmfosɛm, bayibonsam, bayie, bayifoͻ baa, frɛ, goro, nkonyaa, nkonyaayifoͻ, ͻbaa nkonyayifoͻ
🧙‍♂	adwene mu nsusueɛ, akͻmfosɛm, barima, barima nknyaayifoͻ, batibonsam, bayie, bayifoͻ, frɛ, goro, nkonyaa, nkonyaayifoͻ, ͻbaa nkonyayifoͻ
🧙‍♀	abayisɛm, barima bayifoɔ, bayibɔnsam, bayifoɔ, fantasi, frɛ, goro, maage, nkankyeɛ, nkonyaa, ɔbaa, ͻbaa nkonyaayifoͻ
🧚	Fɛɛre, fantasi, fɛɛreteele, meefo, ntaban, onipa, piisi, teele
🧚‍♂	Fɛɛre, Fɛɛre barima, Oberon, Puuko, barima, fantasi, fɛɛreteele, meefo, ntaban, onipa, piisi, teele
🧚‍♀	Fɛɛre, Titania, fantasi, fɛɛreteele, meefo, ntaban, onipa, piisi, Ɔbaa fɛɛre, ɔbaa
🧛	Drakula, Mogya, Vampaya, faanse, halowine, huuhu, nse, saman, supanatworaa, vampaya
🧛‍♂	Barima, Barima vampaya, Mogya, faanse, halowine, huuhu, nse, saman, supanatworaa, vampaya
🧛‍♀	Mogya, faanse, halowine, huuhu, nse, saman, supanatworaa, vampaya, Ɔbaa, Ɔbaa vampaya
🧜	Krekya, Mɛɛnipa, fɔklɔɔ, fɛɛreteele, mɛɛnipa, ohyen, sairine, traidɛnte, ɛpo
🧜‍♂	Krekya, Mɛɛbarima, Nɛptune, Pɔseidon, Traitine, fɔklɔɔ, fɛɛreteele, mɛɛbarima, ohyen, sairine, traidɛnte, ɛpo
🧜‍♀	Krekya, Mɛɛmeede, fɔklɔɔ, fɛɛreteele, mɛɛbaa, mɛɛmeede, ohyen, sairene, traidɛnte, ɛpo
🧝	fantasi, fɔklɔɔ, magikaa, magike, meefo, Ɛlefo, ɛlefo, ɛlefofoɔ, ɛnkyantemɛnte
🧝‍♂	barima, fantasi, fɔklɔɔ, magikaa, magike, meefo, Ɛlefo, Ɛlefo barima, ɛlefofoɔ, ɛnkyantemɛnte
🧝‍♀	fantasi, fɔklɔɔ, magikaa, magike, meefo, Ɔbaa, Ɛlefo, Ɛlefo ɔbaa, ɛlefofoɔ, ɛnkyantemɛnte
🧞	abisadeɛ, fantasi, gyeeni, gyinn, kanea, meefo, rɔbo
🧞‍♂	Barima gyeeni, abisadeɛ, barima, fantasi, gyeeni, gyinn, kanea, meefo, rɔbo
🧞‍♀	abisadeɛ, fantasi, gyeeni, gyinn, kanea, meefo, rɔbo, Ɔbaa gyeeni, ɔbaa
🧟	Apokalipise, Sɔmbi, halowene, huuhu, hɔrɔ, nanteɛ, saman, sɔmbi, wawu
🧟‍♂	Apokalipise, Barima sɔmbi, barima, halowene, huuhu, hɔrɔ, nanteɛ, saman, sɔmbi, wawu
🧟‍♀	Apokalipise, halowene, huuhu, hɔrɔ, nanteɛ, saman, sɔmbi, wawu, Ɔbaa simbi, ɔbaa
🧌	Fɛɛre, Trɔɔlo, fantasi, sasabonsam, teele, trɔɔlo, trɔɔloni
💆	Anim, Onipa renya amiamia, ahomegye, amiamia, ayaresa, home, onipa, renya, salɔn, spa, suutu, tipaeɛ, tɛnhyen, tɛrapi
💆‍♂	Anim, Barima renya amiamia, ahomegye, amiamia, ayaresa, barima, home, onipa, renya, salɔn, spa, suutu, tipaeɛ, tɛnhyen, tɛrapi
💆‍♀	Anim, ahomegye, amiamia, ayaresa, home, onipa, renya, salɔn, spa, suutu, tipaeɛ, tɛnhyen, tɛrapi, Ɔbaa renya amiamia, ɔbaa
💇	Baaba, Wɔretwa obi nwii, ahoɔfɛ, ayeforokunu, hyɛɛse, kɔsmɛtɔlɔgyi, nwii, nwiitwa, onipa, paalɔ, setaale, twa, twitwa
💇‍♂	Baaba, Wɔretwa barima nwii, ahoɔfɛ, ayeforokunu, barima, hyɛɛse, kɔsmɛtɔlɔgyi, nwii, nwiitwa, onipa, paalɔ, setaale, twa, twitwa
💇‍♀	Baaba, Wɔretwa ɔbaa nwii, ahoɔfɛ, ayeforokunu, hyɛɛse, kɔsmɛtɔlɔgyi, nwii, nwiitwa, onipa, paalɔ, setaale, twa, twitwa, ɔbaa
🚶	Ambuu, Onipa renante, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶‍♂	Ambuu, Barima renante, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶‍♀	Ambuu, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo, Ɔbaa renante, ɔbaa
🚶‍➡	Ambuu, Onipa renante rehwɛ nifa, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶🏻‍➡	Ambuu, Onipa renante rehwɛ nifa, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶🏼‍➡	Ambuu, Onipa renante rehwɛ nifa, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶🏽‍➡	Ambuu, Onipa renante rehwɛ nifa, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶🏾‍➡	Ambuu, Onipa renante rehwɛ nifa, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶🏿‍➡	Ambuu, Onipa renante rehwɛ nifa, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶‍♀‍➡	Ambuu, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo, Ɔbaa renante rehwɛ nifa, ɔbaa
🚶🏻‍♀‍➡	Ambuu, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo, Ɔbaa renante rehwɛ nifa, ɔbaa
🚶🏼‍♀‍➡	Ambuu, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo, Ɔbaa renante rehwɛ nifa, ɔbaa
🚶🏽‍♀‍➡	Ambuu, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo, Ɔbaa renante rehwɛ nifa, ɔbaa
🚶🏾‍♀‍➡	Ambuu, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo, Ɔbaa renante rehwɛ nifa, ɔbaa
🚶🏿‍♀‍➡	Ambuu, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo, Ɔbaa renante rehwɛ nifa, ɔbaa
🚶‍♂‍➡	Ambuu, Barima renante rehwɛ nifa, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶🏻‍♂‍➡	Ambuu, Barima renante rehwɛ nifa, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶🏼‍♂‍➡	Ambuu, Barima renante rehwɛ nifa, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶🏽‍♂‍➡	Ambuu, Barima renante rehwɛ nifa, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶🏾‍♂‍➡	Ambuu, Barima renante rehwɛ nifa, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🚶🏿‍♂‍➡	Ambuu, Barima renante rehwɛ nifa, barima, gaaite, haike, nante, nanteɛ, onipa, pɛdɛstrane, pɛɛse, setraide, sotroo
🧍	Onipa, Onipa gyina hɔ, gyina hɔ, regyina hɔ
🧍‍♂	Barima gyina hɔ, barima, gyina hɔ, regyina hɔ
🧍‍♀	Gyina, regyina hɔ, Ɔbaa regyina hɔ, ɔbaa
🧎	Bu nkotodwe, Obi abu nkotodwe, kotodwe, nkotodwe, onipa
🧎‍♂	Barima abu nkotodwe, Bu nkotodwe, barima, kotodwe, nkotodwe
🧎‍♀	Bu nkotodwe, barima, kotodwe, nkotodwe, Ɔbaa abu nkotodwe
🧎‍➡	Bu nkotodwe, Obi abu nkotodwe rehwɛ nifa, kotodwe, nkotodwe, onipa
🧎🏻‍➡	Bu nkotodwe, Obi abu nkotodwe rehwɛ nifa, kotodwe, nkotodwe, onipa
🧎🏼‍➡	Bu nkotodwe, Obi abu nkotodwe rehwɛ nifa, kotodwe, nkotodwe, onipa
🧎🏽‍➡	Bu nkotodwe, Obi abu nkotodwe rehwɛ nifa, kotodwe, nkotodwe, onipa
🧎🏾‍➡	Bu nkotodwe, Obi abu nkotodwe rehwɛ nifa, kotodwe, nkotodwe, onipa
🧎🏿‍➡	Bu nkotodwe, Obi abu nkotodwe rehwɛ nifa, kotodwe, nkotodwe, onipa
🧎‍♀‍➡	Bu nkotodwe, barima, kotodwe, nkotodwe, Ɔbaa abu nkotodwe rehwɛ nifa
🧎🏻‍♀‍➡	Bu nkotodwe, barima, kotodwe, nkotodwe, Ɔbaa abu nkotodwe rehwɛ nifa
🧎🏼‍♀‍➡	Bu nkotodwe, barima, kotodwe, nkotodwe, Ɔbaa abu nkotodwe rehwɛ nifa
🧎🏽‍♀‍➡	Bu nkotodwe, barima, kotodwe, nkotodwe, Ɔbaa abu nkotodwe rehwɛ nifa
🧎🏾‍♀‍➡	Bu nkotodwe, barima, kotodwe, nkotodwe, Ɔbaa abu nkotodwe rehwɛ nifa
🧎🏿‍♀‍➡	Bu nkotodwe, barima, kotodwe, nkotodwe, Ɔbaa abu nkotodwe rehwɛ nifa
🧎‍♂‍➡	Barima abu nkotodwe rehwɛ nifa, Bu nkotodwe, barima, kotodwe, nkotodwe
🧎🏻‍♂‍➡	Barima abu nkotodwe rehwɛ nifa, Bu nkotodwe, barima, kotodwe, nkotodwe
🧎🏼‍♂‍➡	Barima abu nkotodwe rehwɛ nifa, Bu nkotodwe, barima, kotodwe, nkotodwe
🧎🏽‍♂‍➡	Barima abu nkotodwe rehwɛ nifa, Bu nkotodwe, barima, kotodwe, nkotodwe
🧎🏾‍♂‍➡	Barima abu nkotodwe rehwɛ nifa, Bu nkotodwe, barima, kotodwe, nkotodwe
🧎🏿‍♂‍➡	Barima abu nkotodwe rehwɛ nifa, Bu nkotodwe, barima, kotodwe, nkotodwe
🧑‍🦯	Akwanya, Obi kura abaa fitaa, abaa, anifra, fitaa, hwɛmu, onipa
🧑‍🦯‍➡	Akwanya, Obi kura abaa fitaa rehwɛ nifa, abaa, anifra, fitaa, hwɛmu, onipa
🧑🏻‍🦯‍➡	Akwanya, Obi kura abaa fitaa rehwɛ nifa, abaa, anifra, fitaa, hwɛmu, onipa
🧑🏼‍🦯‍➡	Akwanya, Obi kura abaa fitaa rehwɛ nifa, abaa, anifra, fitaa, hwɛmu, onipa
🧑🏽‍🦯‍➡	Akwanya, Obi kura abaa fitaa rehwɛ nifa, abaa, anifra, fitaa, hwɛmu, onipa
🧑🏾‍🦯‍➡	Akwanya, Obi kura abaa fitaa rehwɛ nifa, abaa, anifra, fitaa, hwɛmu, onipa
🧑🏿‍🦯‍➡	Akwanya, Obi kura abaa fitaa rehwɛ nifa, abaa, anifra, fitaa, hwɛmu, onipa
👨‍🦯	Akwanya, Barima kura abaa fitaa, abaa, anifra, barima, fitaa, hwɛmu, onipa
👨‍🦯‍➡	Akwanya, Barima kura abaa fitaa rehwɛ nifa, abaa, anifra, barima, fitaa, hwɛmu, onipa
👨🏻‍🦯‍➡	Akwanya, Barima kura abaa fitaa rehwɛ nifa, abaa, anifra, barima, fitaa, hwɛmu, onipa
👨🏼‍🦯‍➡	Akwanya, Barima kura abaa fitaa rehwɛ nifa, abaa, anifra, barima, fitaa, hwɛmu, onipa
👨🏽‍🦯‍➡	Akwanya, Barima kura abaa fitaa rehwɛ nifa, abaa, anifra, barima, fitaa, hwɛmu, onipa
👨🏾‍🦯‍➡	Akwanya, Barima kura abaa fitaa rehwɛ nifa, abaa, anifra, barima, fitaa, hwɛmu, onipa
👨🏿‍🦯‍➡	Akwanya, Barima kura abaa fitaa rehwɛ nifa, abaa, anifra, barima, fitaa, hwɛmu, onipa
👩‍🦯	Akwanya, abaa, akwanya, anifra, fitaa, hwɛmu, onipa, Ɔbaa kura abaa fitaa
👩‍🦯‍➡	Akwanya, abaa, akwanya, anifra, fitaa, hwɛmu, onipa, Ɔbaa kura abaa fitaa rehwɛ nifa
👩🏻‍🦯‍➡	Akwanya, abaa, akwanya, anifra, fitaa, hwɛmu, onipa, Ɔbaa kura abaa fitaa rehwɛ nifa
👩🏼‍🦯‍➡	Akwanya, abaa, akwanya, anifra, fitaa, hwɛmu, onipa, Ɔbaa kura abaa fitaa rehwɛ nifa
👩🏽‍🦯‍➡	Akwanya, abaa, akwanya, anifra, fitaa, hwɛmu, onipa, Ɔbaa kura abaa fitaa rehwɛ nifa
👩🏾‍🦯‍➡	Akwanya, abaa, akwanya, anifra, fitaa, hwɛmu, onipa, Ɔbaa kura abaa fitaa rehwɛ nifa
👩🏿‍🦯‍➡	Akwanya, abaa, akwanya, anifra, fitaa, hwɛmu, onipa, Ɔbaa kura abaa fitaa rehwɛ nifa
🧑‍🦼	Akwanya, Obi te moto hwiikyɛɛ mu, hwiikyɛɛ, moto, onipa
🧑‍🦼‍➡	Akwanya, Obi te moto hwiikyɛɛ mu rehwɛ nifa, hwiikyɛɛ, moto, onipa
🧑🏻‍🦼‍➡	Akwanya, Obi te moto hwiikyɛɛ mu rehwɛ nifa, hwiikyɛɛ, moto, onipa
🧑🏼‍🦼‍➡	Akwanya, Obi te moto hwiikyɛɛ mu rehwɛ nifa, hwiikyɛɛ, moto, onipa
🧑🏽‍🦼‍➡	Akwanya, Obi te moto hwiikyɛɛ mu rehwɛ nifa, hwiikyɛɛ, moto, onipa
🧑🏾‍🦼‍➡	Akwanya, Obi te moto hwiikyɛɛ mu rehwɛ nifa, hwiikyɛɛ, moto, onipa
🧑🏿‍🦼‍➡	Akwanya, Obi te moto hwiikyɛɛ mu rehwɛ nifa, hwiikyɛɛ, moto, onipa
👨‍🦼	Akwanya, Barima te moto hwiikyɛɛ mu, barima, hwiikyɛɛ, moto, onipa
👨‍🦼‍➡	Akwanya, Barima te moto hwiikyɛɛ mu rehwɛ nifa, barima, hwiikyɛɛ, moto, onipa
👨🏻‍🦼‍➡	Akwanya, Barima te moto hwiikyɛɛ mu rehwɛ nifa, barima, hwiikyɛɛ, moto, onipa
👨🏼‍🦼‍➡	Akwanya, Barima te moto hwiikyɛɛ mu rehwɛ nifa, barima, hwiikyɛɛ, moto, onipa
👨🏽‍🦼‍➡	Akwanya, Barima te moto hwiikyɛɛ mu rehwɛ nifa, barima, hwiikyɛɛ, moto, onipa
👨🏾‍🦼‍➡	Akwanya, Barima te moto hwiikyɛɛ mu rehwɛ nifa, barima, hwiikyɛɛ, moto, onipa
👨🏿‍🦼‍➡	Akwanya, Barima te moto hwiikyɛɛ mu rehwɛ nifa, barima, hwiikyɛɛ, moto, onipa
👩‍🦼	Akwanya, hwiikyɛɛ, moto, onipa, Ɔbaa te moto hwiikyɛɛ mu, ɔbaa
👩‍🦼‍➡	Akwanya, hwiikyɛɛ, moto, onipa, Ɔbaa te moto hwiikyɛɛ mu rehwɛ nifa, ɔbaa
👩🏻‍🦼‍➡	Akwanya, hwiikyɛɛ, moto, onipa, Ɔbaa te moto hwiikyɛɛ mu rehwɛ nifa, ɔbaa
👩🏼‍🦼‍➡	Akwanya, hwiikyɛɛ, moto, onipa, Ɔbaa te moto hwiikyɛɛ mu rehwɛ nifa, ɔbaa
👩🏽‍🦼‍➡	Akwanya, hwiikyɛɛ, moto, onipa, Ɔbaa te moto hwiikyɛɛ mu rehwɛ nifa, ɔbaa
👩🏾‍🦼‍➡	Akwanya, hwiikyɛɛ, moto, onipa, Ɔbaa te moto hwiikyɛɛ mu rehwɛ nifa, ɔbaa
👩🏿‍🦼‍➡	Akwanya, hwiikyɛɛ, moto, onipa, Ɔbaa te moto hwiikyɛɛ mu rehwɛ nifa, ɔbaa
🧑‍🦽	Akwanya, Obi te manuaa hwiikyɛɛ mu, hwiikyɛɛ, manuaa, onipa
🧑‍🦽‍➡	Akwanya, Obi te manuaa hwiikyɛɛ mu rehwɛ nifa, hwiikyɛɛ, manuaa, onipa
🧑🏻‍🦽‍➡	Akwanya, Obi te manuaa hwiikyɛɛ mu rehwɛ nifa, hwiikyɛɛ, manuaa, onipa
🧑🏼‍🦽‍➡	Akwanya, Obi te manuaa hwiikyɛɛ mu rehwɛ nifa, hwiikyɛɛ, manuaa, onipa
🧑🏽‍🦽‍➡	Akwanya, Obi te manuaa hwiikyɛɛ mu rehwɛ nifa, hwiikyɛɛ, manuaa, onipa
🧑🏾‍🦽‍➡	Akwanya, Obi te manuaa hwiikyɛɛ mu rehwɛ nifa, hwiikyɛɛ, manuaa, onipa
🧑🏿‍🦽‍➡	Akwanya, Obi te manuaa hwiikyɛɛ mu rehwɛ nifa, hwiikyɛɛ, manuaa, onipa
👨‍🦽	Akwanya, Barima te manuaa hwiikyɛɛ mu, barima, hwiikyɛɛ, manuaa, onipa
👨‍🦽‍➡	Akwanya, Barima te manuaa hwiikyɛɛ mu rehwɛ nifa, barima, hwiikyɛɛ, manuaa, onipa
👨🏻‍🦽‍➡	Akwanya, Barima te manuaa hwiikyɛɛ mu rehwɛ nifa, barima, hwiikyɛɛ, manuaa, onipa
👨🏼‍🦽‍➡	Akwanya, Barima te manuaa hwiikyɛɛ mu rehwɛ nifa, barima, hwiikyɛɛ, manuaa, onipa
👨🏽‍🦽‍➡	Akwanya, Barima te manuaa hwiikyɛɛ mu rehwɛ nifa, barima, hwiikyɛɛ, manuaa, onipa
👨🏾‍🦽‍➡	Akwanya, Barima te manuaa hwiikyɛɛ mu rehwɛ nifa, barima, hwiikyɛɛ, manuaa, onipa
👨🏿‍🦽‍➡	Akwanya, Barima te manuaa hwiikyɛɛ mu rehwɛ nifa, barima, hwiikyɛɛ, manuaa, onipa
👩‍🦽	Akwanya, hwiikyɛɛ, manuaa, onipa, Ɔbaa te manuaa hwiikyɛɛ mu, ɔbaa
👩‍🦽‍➡	Akwanya, hwiikyɛɛ, manuaa, onipa, Ɔbaa te manuaa hwiikyɛɛ mu rehwɛ nifa, ɔbaa
👩🏻‍🦽‍➡	Akwanya, hwiikyɛɛ, manuaa, onipa, Ɔbaa te manuaa hwiikyɛɛ mu rehwɛ nifa, ɔbaa
👩🏼‍🦽‍➡	Akwanya, hwiikyɛɛ, manuaa, onipa, Ɔbaa te manuaa hwiikyɛɛ mu rehwɛ nifa, ɔbaa
👩🏽‍🦽‍➡	Akwanya, hwiikyɛɛ, manuaa, onipa, Ɔbaa te manuaa hwiikyɛɛ mu rehwɛ nifa, ɔbaa
👩🏾‍🦽‍➡	Akwanya, hwiikyɛɛ, manuaa, onipa, Ɔbaa te manuaa hwiikyɛɛ mu rehwɛ nifa, ɔbaa
👩🏿‍🦽‍➡	Akwanya, hwiikyɛɛ, manuaa, onipa, Ɔbaa te manuaa hwiikyɛɛ mu rehwɛ nifa, ɔbaa
🏃	Ntɛm, Obi retu mmirika, ka wo ho, kɔ, kɔ mmirika, maratɔn, mmirikatuo, ntɛm, ntɛm so, onipa, supeede, tu mmirika
🏃‍♂	Barima retu mmirika, Ntɛm, barima, ka wo ho, kɔ, kɔ mmirika, maratɔn, mmirikatuo, ntɛm, ntɛm so, onipa, supeede, tu mmirika
🏃‍♀	Ntɛm, ka wo ho, kɔ, kɔ mmirika, maratɔn, mmirikatuo, ntɛm, ntɛm so, onipa, supeede, tu mmirika, Ɔbaa retu mmirika, ɔbaa
🏃‍➡	Ntɛm, Obi retu mmirika rehwɛ nifa, ka wo ho, kɔ, kɔ mmirika, maratɔn, mmirikatuo, ntɛm, ntɛm so, onipa, supeede, tu mmirika
🏃🏻‍➡	Ntɛm, Obi retu mmirika rehwɛ nifa, ka wo ho, kɔ, kɔ mmirika, maratɔn, mmirikatuo, ntɛm, ntɛm so, onipa, supeede, tu mmirika
