‾	ขีดบน
⇢	ลูกศรเส้นประขวา
⇣	ลูกศรเส้นประลง
⇤	แท่งลูกศรซ้าย
⇥	แท่งลูกศรขวา
⇦	ลูกศรกลวงซ้าย
⇧	ลูกศรกลวงขึ้น
⇨	ลูกศรกลวงขวา
⇩	ลูกศรกลวงลง
⇪	ลูกศรกลวงขึ้นจากแท่ง
⇵	ลูกศรลงด้านซ้ายลูกศรขึ้น
∀	ตัวบ่งปริมาณแบบทั้งหมด, ทั้งหมด, สำหรับทั้งหมด, แบบทั้งหมด
∂	ผลต่างเชิงอนุพันธ์, ผลต่างเชิงอนุพันธ์ย่อย
∃	ตัวบ่งปริมาณแบบบางตัว
∅	คณิตศาสตร์, ตัวดำเนินการของเซต, เซตว่าง
∆	การเพิ่มค่า, สามเหลี่ยม
∇	นาบลา, สามเหลี่ยม, เดล
∈	ความเป็นสมาชิก, ประกอบด้วย, สมาชิก, เซต, เป็นสมาชิกของ
∉	สมาชิก, ไม่เป็นสมาชิก
∋	มีในฐานะสมาชิก, สมาชิก, เป็นสมาชิก
∎	จบการพิสูจน์, ซ.ต.พ., พิสูจน์เสร็จสิ้นแล้ว
∏	ตรรกศาสตร์, ผลคูณ, ผลคูณจำนวนมาก, เครื่องหมายผลคูณจำนวนมาก
∑	คณิตศาสตร์, ผมรวมจำนวนมาก, ผลรวม, ผลรวมจำนวนมาก
+	บวก, เครื่องหมายบวก, เพิ่ม
±	บวกหรือลบ
÷	การหาร, สัญลักษณ์หาร, หาร, ออเบอลุส
×	การคูณ, สัญลักษณ์คูณ, เครื่องหมายคูณ, เท่า
<	น้อยกว่า, แท็ก, แท็กเปิด
≮	คณิตศาสตร์, ไม่น้อยกว่า, ไม่เท่ากัน
=	เท่ากัน, เท่ากับ
≠	อสมการ, เครื่องหมายไม่เท่ากับ, ไม่เท่ากับ
>	มากกว่า, แท็ก, แท็กปิด
≯	คณิตศาสตร์, ไม่มากกว่า, ไม่เท่ากัน
¬	ค่าลบ, ไม่
|	วีบาร์, เชฟเฟอร์สโตรก, เส้น, เส้นแนวตั้ง, แถบแนวตั้ง, แท่ง, ไปป์
~	ตัวหนอน
