‾	вінкулум, риска згори
👨‍🏭	завод, конвеєр, промисловий, робітник, трудівник, фабрика, чоловік
👨🏻‍🏭	завод, конвеєр, промисловий, робітник, робітник: світлий тон шкіри, світлий тон шкіри, трудівник, фабрика, чоловік
👨🏼‍🏭	завод, конвеєр, помірно світлий тон шкіри, промисловий, робітник, робітник: помірно світлий тон шкіри, трудівник, фабрика, чоловік
👨🏽‍🏭	завод, конвеєр, помірний тон шкіри, промисловий, робітник, робітник: помірний тон шкіри, трудівник, фабрика, чоловік
👨🏾‍🏭	завод, конвеєр, помірно темний тон шкіри, промисловий, робітник, робітник: помірно темний тон шкіри, трудівник, фабрика, чоловік
👨🏿‍🏭	завод, конвеєр, промисловий, робітник, робітник: темний тон шкіри, темний тон шкіри, трудівник, фабрика, чоловік
👩‍🏭	жінка, завод, зварка, конвеєр, монтаж, промисловий, робітник, робітниця, трудівниця, фабрика
👩🏻‍🏭	жінка, завод, зварка, конвеєр, монтаж, промисловий, робітник, робітниця, робітниця: світлий тон шкіри, світлий тон шкіри, трудівниця, фабрика
👩🏼‍🏭	жінка, завод, зварка, конвеєр, монтаж, помірно світлий тон шкіри, промисловий, робітник, робітниця, робітниця: помірно світлий тон шкіри, трудівниця, фабрика
👩🏽‍🏭	жінка, завод, зварка, конвеєр, монтаж, помірний тон шкіри, промисловий, робітник, робітниця, робітниця: помірний тон шкіри, трудівниця, фабрика
👩🏾‍🏭	жінка, завод, зварка, конвеєр, монтаж, помірно темний тон шкіри, промисловий, робітник, робітниця, робітниця: помірно темний тон шкіри, трудівниця, фабрика
👩🏿‍🏭	жінка, завод, зварка, конвеєр, монтаж, промисловий, робітник, робітниця, робітниця: темний тон шкіри, темний тон шкіри, трудівниця, фабрика
🧑‍💼	архітектор, бізнес, білий комірець, менеджер, офісний працівник
🧑🏻‍💼	архітектор, бізнес, білий комірець, менеджер, офісний працівник, офісний працівник: світлий тон шкіри, світлий тон шкіри
🧑🏼‍💼	архітектор, бізнес, білий комірець, менеджер, офісний працівник, офісний працівник: помірно світлий тон шкіри, помірно світлий тон шкіри
🧑🏽‍💼	архітектор, бізнес, білий комірець, менеджер, офісний працівник, офісний працівник: помірний тон шкіри, помірний тон шкіри
🧑🏾‍💼	архітектор, бізнес, білий комірець, менеджер, офісний працівник, офісний працівник: помірно темний тон шкіри, помірно темний тон шкіри
🧑🏿‍💼	архітектор, бізнес, білий комірець, менеджер, офісний працівник, офісний працівник: темний тон шкіри, темний тон шкіри
👨‍💼	архітектор, менеджер, офіс, офісний працівник, службовець, чоловік
👨🏻‍💼	архітектор, менеджер, офіс, офісний працівник, світлий тон шкіри, службовець, службовець: світлий тон шкіри, чоловік
👨🏼‍💼	архітектор, менеджер, офіс, офісний працівник, помірно світлий тон шкіри, службовець, службовець: помірно світлий тон шкіри, чоловік
👨🏽‍💼	архітектор, менеджер, офіс, офісний працівник, помірний тон шкіри, службовець, службовець: помірний тон шкіри, чоловік
👨🏾‍💼	архітектор, менеджер, офіс, офісний працівник, помірно темний тон шкіри, службовець, службовець: помірно темний тон шкіри, чоловік
👨🏿‍💼	архітектор, менеджер, офіс, офісний працівник, службовець, службовець: темний тон шкіри, темний тон шкіри, чоловік
👩‍💼	архітектор, ділова жінка, жінка, менеджер, офіс, офісна працівниця, службовка
👩🏻‍💼	архітектор, ділова жінка, жінка, менеджер, офіс, офісна працівниця, світлий тон шкіри, службовка, службовка: світлий тон шкіри
👩🏼‍💼	архітектор, ділова жінка, жінка, менеджер, офіс, офісна працівниця, помірно світлий тон шкіри, службовка, службовка: помірно світлий тон шкіри
👩🏽‍💼	архітектор, ділова жінка, жінка, менеджер, офіс, офісна працівниця, помірний тон шкіри, службовка, службовка: помірний тон шкіри
👩🏾‍💼	архітектор, ділова жінка, жінка, менеджер, офіс, офісна працівниця, помірно темний тон шкіри, службовка, службовка: помірно темний тон шкіри
👩🏿‍💼	архітектор, ділова жінка, жінка, менеджер, офіс, офісна працівниця, службовка, службовка: темний тон шкіри, темний тон шкіри
🧑‍🔬	біолог, науковець, науковий працівник, фізик, хімік, інженер
🧑🏻‍🔬	біолог, науковець, науковий працівник, науковий працівник: світлий тон шкіри, світлий тон шкіри, фізик, хімік, інженер
🧑🏼‍🔬	біолог, науковець, науковий працівник, науковий працівник: помірно світлий тон шкіри, помірно світлий тон шкіри, фізик, хімік, інженер
🧑🏽‍🔬	біолог, науковець, науковий працівник, науковий працівник: помірний тон шкіри, помірний тон шкіри, фізик, хімік, інженер
🧑🏾‍🔬	біолог, науковець, науковий працівник, науковий працівник: помірно темний тон шкіри, помірно темний тон шкіри, фізик, хімік, інженер
🧑🏿‍🔬	біолог, науковець, науковий працівник, науковий працівник: темний тон шкіри, темний тон шкіри, фізик, хімік, інженер
👨‍🔬	біолог, наука, науковець, фізик, хімік, чоловік, інженер
👨🏻‍🔬	біолог, наука, науковець, науковець: світлий тон шкіри, світлий тон шкіри, фізик, хімік, чоловік, інженер
👨🏼‍🔬	біолог, наука, науковець, науковець: помірно світлий тон шкіри, помірно світлий тон шкіри, фізик, хімік, чоловік, інженер
👨🏽‍🔬	біолог, наука, науковець, науковець: помірний тон шкіри, помірний тон шкіри, фізик, хімік, чоловік, інженер
👨🏾‍🔬	біолог, наука, науковець, науковець: помірно темний тон шкіри, помірно темний тон шкіри, фізик, хімік, чоловік, інженер
👨🏿‍🔬	біолог, наука, науковець, науковець: темний тон шкіри, темний тон шкіри, фізик, хімік, чоловік, інженер
👩‍🔬	жінка, жінка-біолог, жінка-науковець, жінка-фізик, жінка-хімік, жінка-інженер, наука, науковець, робота
👩🏻‍🔬	жінка, жінка-біолог, жінка-науковець, жінка-науковець: світлий тон шкіри, жінка-фізик, жінка-хімік, жінка-інженер, наука, науковець, робота, світлий тон шкіри
👩🏼‍🔬	жінка, жінка-біолог, жінка-науковець, жінка-науковець: помірно світлий тон шкіри, жінка-фізик, жінка-хімік, жінка-інженер, наука, науковець, помірно світлий тон шкіри, робота
👩🏽‍🔬	жінка, жінка-біолог, жінка-науковець, жінка-науковець: помірний тон шкіри, жінка-фізик, жінка-хімік, жінка-інженер, наука, науковець, помірний тон шкіри, робота
👩🏾‍🔬	жінка, жінка-біолог, жінка-науковець, жінка-науковець: помірно темний тон шкіри, жінка-фізик, жінка-хімік, жінка-інженер, наука, науковець, помірно темний тон шкіри, робота
👩🏿‍🔬	жінка, жінка-біолог, жінка-науковець, жінка-науковець: темний тон шкіри, жінка-фізик, жінка-хімік, жінка-інженер, наука, науковець, робота, темний тон шкіри
🧑‍💻	винахідник, програмне забезпечення, програміст, розробник, технолог, технічний працівник
🧑🏻‍💻	винахідник, програмне забезпечення, програміст, розробник, світлий тон шкіри, технолог, технічний працівник, технічний працівник: світлий тон шкіри
🧑🏼‍💻	винахідник, помірно світлий тон шкіри, програмне забезпечення, програміст, розробник, технолог, технічний працівник, технічний працівник: помірно світлий тон шкіри
🧑🏽‍💻	винахідник, помірний тон шкіри, програмне забезпечення, програміст, розробник, технолог, технічний працівник, технічний працівник: помірний тон шкіри
🧑🏾‍💻	винахідник, помірно темний тон шкіри, програмне забезпечення, програміст, розробник, технолог, технічний працівник, технічний працівник: помірно темний тон шкіри
🧑🏿‍💻	винахідник, програмне забезпечення, програміст, розробник, темний тон шкіри, технолог, технічний працівник, технічний працівник: темний тон шкіри
👨‍💻	винахідник, кодувальник, комп’ютер, програміст, робота, розробник, технолог, технік-програміст, чоловік
👨🏻‍💻	винахідник, кодувальник, комп’ютер, програміст, робота, розробник, світлий тон шкіри, технолог, технолог: світлий тон шкіри, технік-програміст, чоловік
👨🏼‍💻	винахідник, кодувальник, комп’ютер, помірно світлий тон шкіри, програміст, робота, розробник, технолог, технолог: помірно світлий тон шкіри, технік-програміст, чоловік
👨🏽‍💻	винахідник, кодувальник, комп’ютер, помірний тон шкіри, програміст, робота, розробник, технолог, технолог: помірний тон шкіри, технік-програміст, чоловік
👨🏾‍💻	винахідник, кодувальник, комп’ютер, помірно темний тон шкіри, програміст, робота, розробник, технолог, технолог: помірно темний тон шкіри, технік-програміст, чоловік
👨🏿‍💻	винахідник, кодувальник, комп’ютер, програміст, робота, розробник, темний тон шкіри, технолог, технолог: темний тон шкіри, технік-програміст, чоловік
👩‍💻	винахідниця, жінка, жінка-програміст, жінка-технолог, кодувальниця, офісна працівниця, робота, технік-програміст
👩🏻‍💻	винахідниця, жінка, жінка-програміст, жінка-технолог, жінка-технолог: світлий тон шкіри, кодувальниця, офісна працівниця, робота, світлий тон шкіри, технік-програміст
👩🏼‍💻	винахідниця, жінка, жінка-програміст, жінка-технолог, жінка-технолог: помірно світлий тон шкіри, кодувальниця, офісна працівниця, помірно світлий тон шкіри, робота, технік-програміст
👩🏽‍💻	винахідниця, жінка, жінка-програміст, жінка-технолог, жінка-технолог: помірний тон шкіри, кодувальниця, офісна працівниця, помірний тон шкіри, робота, технік-програміст
👩🏾‍💻	винахідниця, жінка, жінка-програміст, жінка-технолог, жінка-технолог: помірно темний тон шкіри, кодувальниця, офісна працівниця, помірно темний тон шкіри, робота, технік-програміст
👩🏿‍💻	винахідниця, жінка, жінка-програміст, жінка-технолог, жінка-технолог: темний тон шкіри, кодувальниця, офісна працівниця, робота, темний тон шкіри, технік-програміст
🧑‍🎤	актор, артист, вокаліст, зірка, рок, співак
🧑🏻‍🎤	актор, артист, вокаліст, вокаліст: світлий тон шкіри, зірка, рок, світлий тон шкіри, співак
🧑🏼‍🎤	актор, артист, вокаліст, вокаліст: помірно світлий тон шкіри, зірка, помірно світлий тон шкіри, рок, співак
🧑🏽‍🎤	актор, артист, вокаліст, вокаліст: помірний тон шкіри, зірка, помірний тон шкіри, рок, співак
🧑🏾‍🎤	актор, артист, вокаліст, вокаліст: помірно темний тон шкіри, зірка, помірно темний тон шкіри, рок, співак
🧑🏿‍🎤	актор, артист, вокаліст, вокаліст: темний тон шкіри, зірка, рок, співак, темний тон шкіри
👨‍🎤	артист, виконавець, зірка, людина, пісняр, рок, соліст, співак, чоловік
👨🏻‍🎤	артист, виконавець, зірка, людина, пісняр, рок, світлий тон шкіри, соліст, співак, співак: світлий тон шкіри, чоловік
👨🏼‍🎤	артист, виконавець, зірка, людина, помірно світлий тон шкіри, пісняр, рок, соліст, співак, співак: помірно світлий тон шкіри, чоловік
👨🏽‍🎤	артист, виконавець, зірка, людина, помірний тон шкіри, пісняр, рок, соліст, співак, співак: помірний тон шкіри, чоловік
👨🏾‍🎤	артист, виконавець, зірка, людина, помірно темний тон шкіри, пісняр, рок, соліст, співак, співак: помірно темний тон шкіри, чоловік
👨🏿‍🎤	артист, виконавець, зірка, людина, пісняр, рок, соліст, співак, співак: темний тон шкіри, темний тон шкіри, чоловік
👩‍🎤	артистка, виконавиця, жінка, зірка, людина, рок, солістка, співачка
👩🏻‍🎤	артистка, виконавиця, жінка, зірка, людина, рок, світлий тон шкіри, солістка, співачка, співачка: світлий тон шкіри
👩🏼‍🎤	артистка, виконавиця, жінка, зірка, людина, помірно світлий тон шкіри, рок, солістка, співачка, співачка: помірно світлий тон шкіри
👩🏽‍🎤	артистка, виконавиця, жінка, зірка, людина, помірний тон шкіри, рок, солістка, співачка, співачка: помірний тон шкіри
👩🏾‍🎤	артистка, виконавиця, жінка, зірка, людина, помірно темний тон шкіри, рок, солістка, співачка, співачка: помірно темний тон шкіри
👩🏿‍🎤	артистка, виконавиця, жінка, зірка, людина, рок, солістка, співачка, співачка: темний тон шкіри, темний тон шкіри
🧑‍🎨	митець, палітра, художник
🧑🏻‍🎨	митець, палітра, світлий тон шкіри, художник, художник: світлий тон шкіри
🧑🏼‍🎨	митець, палітра, помірно світлий тон шкіри, художник, художник: помірно світлий тон шкіри
🧑🏽‍🎨	митець, палітра, помірний тон шкіри, художник, художник: помірний тон шкіри
🧑🏾‍🎨	митець, палітра, помірно темний тон шкіри, художник, художник: помірно темний тон шкіри
🧑🏿‍🎨	митець, палітра, темний тон шкіри, художник, художник: темний тон шкіри
👨‍🎨	живописець, маляр, митець, палітра, пензлики, робота, творець, художник, чоловік-художник
👨🏻‍🎨	живописець, маляр, митець, палітра, пензлики, робота, світлий тон шкіри, творець, художник, чоловік-художник, чоловік-художник: світлий тон шкіри
👨🏼‍🎨	живописець, маляр, митець, палітра, пензлики, помірно світлий тон шкіри, робота, творець, художник, чоловік-художник, чоловік-художник: помірно світлий тон шкіри
👨🏽‍🎨	живописець, маляр, митець, палітра, пензлики, помірний тон шкіри, робота, творець, художник, чоловік-художник, чоловік-художник: помірний тон шкіри
👨🏾‍🎨	живописець, маляр, митець, палітра, пензлики, помірно темний тон шкіри, робота, творець, художник, чоловік-художник, чоловік-художник: помірно темний тон шкіри
👨🏿‍🎨	живописець, маляр, митець, палітра, пензлики, робота, творець, темний тон шкіри, художник, чоловік-художник, чоловік-художник: темний тон шкіри
👩‍🎨	жінка-митець, малярка, палітра, пензлики, робота, художниця
👩🏻‍🎨	жінка-митець, малярка, палітра, пензлики, робота, світлий тон шкіри, художниця, художниця: світлий тон шкіри
👩🏼‍🎨	жінка-митець, малярка, палітра, пензлики, помірно світлий тон шкіри, робота, художниця, художниця: помірно світлий тон шкіри
👩🏽‍🎨	жінка-митець, малярка, палітра, пензлики, помірний тон шкіри, робота, художниця, художниця: помірний тон шкіри
👩🏾‍🎨	жінка-митець, малярка, палітра, пензлики, помірно темний тон шкіри, робота, художниця, художниця: помірно темний тон шкіри
👩🏿‍🎨	жінка-митець, малярка, палітра, пензлики, робота, темний тон шкіри, художниця, художниця: темний тон шкіри
🧑‍✈	авіапілот, літак, пілот
🧑🏻‍✈	авіапілот, авіапілот: світлий тон шкіри, літак, пілот, світлий тон шкіри
🧑🏼‍✈	авіапілот, авіапілот: помірно світлий тон шкіри, літак, помірно світлий тон шкіри, пілот
🧑🏽‍✈	авіапілот, авіапілот: помірний тон шкіри, літак, помірний тон шкіри, пілот
🧑🏾‍✈	авіапілот, авіапілот: помірно темний тон шкіри, літак, помірно темний тон шкіри, пілот
🧑🏿‍✈	авіапілот, авіапілот: темний тон шкіри, літак, пілот, темний тон шкіри
👨‍✈	авіатор, капітан літака, льотчик, літак, пілот, робота, чоловік
👨🏻‍✈	авіатор, капітан літака, льотчик, літак, пілот, пілот: світлий тон шкіри, робота, світлий тон шкіри, чоловік
👨🏼‍✈	авіатор, капітан літака, льотчик, літак, помірно світлий тон шкіри, пілот, пілот: помірно світлий тон шкіри, робота, чоловік
👨🏽‍✈	авіатор, капітан літака, льотчик, літак, помірний тон шкіри, пілот, пілот: помірний тон шкіри, робота, чоловік
👨🏾‍✈	авіатор, капітан літака, льотчик, літак, помірно темний тон шкіри, пілот, пілот: помірно темний тон шкіри, робота, чоловік
👨🏿‍✈	авіатор, капітан літака, льотчик, літак, пілот, пілот: темний тон шкіри, робота, темний тон шкіри, чоловік
👩‍✈	жінка, жінка-авіатор, жінка-пілот, льотчиця, літак, пілот, робота, стюардеса
👩🏻‍✈	жінка, жінка-авіатор, жінка-пілот, жінка-пілот: світлий тон шкіри, льотчиця, літак, пілот, робота, світлий тон шкіри, стюардеса
👩🏼‍✈	жінка, жінка-авіатор, жінка-пілот, жінка-пілот: помірно світлий тон шкіри, льотчиця, літак, помірно світлий тон шкіри, пілот, робота, стюардеса
👩🏽‍✈	жінка, жінка-авіатор, жінка-пілот, жінка-пілот: помірний тон шкіри, льотчиця, літак, помірний тон шкіри, пілот, робота, стюардеса
👩🏾‍✈	жінка, жінка-авіатор, жінка-пілот, жінка-пілот: помірно темний тон шкіри, льотчиця, літак, помірно темний тон шкіри, пілот, робота, стюардеса
👩🏿‍✈	жінка, жінка-авіатор, жінка-пілот, жінка-пілот: темний тон шкіри, льотчиця, літак, пілот, робота, стюардеса, темний тон шкіри
🧑‍🚀	космонавт, ракета
🧑🏻‍🚀	космонавт, космонавт: світлий тон шкіри, ракета, світлий тон шкіри
🧑🏼‍🚀	космонавт, космонавт: помірно світлий тон шкіри, помірно світлий тон шкіри, ракета
🧑🏽‍🚀	космонавт, космонавт: помірний тон шкіри, помірний тон шкіри, ракета
🧑🏾‍🚀	космонавт, космонавт: помірно темний тон шкіри, помірно темний тон шкіри, ракета
🧑🏿‍🚀	космонавт, космонавт: темний тон шкіри, ракета, темний тон шкіри
👨‍🚀	астронавт, космонавт, космос, ракета, робота, чоловік
👨🏻‍🚀	астронавт, астронавт: світлий тон шкіри, космонавт, космос, ракета, робота, світлий тон шкіри, чоловік
👨🏼‍🚀	астронавт, астронавт: помірно світлий тон шкіри, космонавт, космос, помірно світлий тон шкіри, ракета, робота, чоловік
👨🏽‍🚀	астронавт, астронавт: помірний тон шкіри, космонавт, космос, помірний тон шкіри, ракета, робота, чоловік
👨🏾‍🚀	астронавт, астронавт: помірно темний тон шкіри, космонавт, космос, помірно темний тон шкіри, ракета, робота, чоловік
👨🏿‍🚀	астронавт, астронавт: темний тон шкіри, космонавт, космос, ракета, робота, темний тон шкіри, чоловік
👩‍🚀	астронавтка, жінка, жінка-космонавт, космонавтка, ракета, робота
👩🏻‍🚀	астронавтка, астронавтка: світлий тон шкіри, жінка, жінка-космонавт, космонавтка, ракета, робота, світлий тон шкіри
👩🏼‍🚀	астронавтка, астронавтка: помірно світлий тон шкіри, жінка, жінка-космонавт, космонавтка, помірно світлий тон шкіри, ракета, робота
👩🏽‍🚀	астронавтка, астронавтка: помірний тон шкіри, жінка, жінка-космонавт, космонавтка, помірний тон шкіри, ракета, робота
👩🏾‍🚀	астронавтка, астронавтка: помірно темний тон шкіри, жінка, жінка-космонавт, космонавтка, помірно темний тон шкіри, ракета, робота
👩🏿‍🚀	астронавтка, астронавтка: темний тон шкіри, жінка, жінка-космонавт, космонавтка, ракета, робота, темний тон шкіри
🧑‍🚒	вогнеборець, пожежна машина, пожежник
🧑🏻‍🚒	вогнеборець, вогнеборець: світлий тон шкіри, пожежна машина, пожежник, світлий тон шкіри
🧑🏼‍🚒	вогнеборець, вогнеборець: помірно світлий тон шкіри, пожежна машина, пожежник, помірно світлий тон шкіри
🧑🏽‍🚒	вогнеборець, вогнеборець: помірний тон шкіри, пожежна машина, пожежник, помірний тон шкіри
🧑🏾‍🚒	вогнеборець, вогнеборець: помірно темний тон шкіри, пожежна машина, пожежник, помірно темний тон шкіри
🧑🏿‍🚒	вогнеборець, вогнеборець: темний тон шкіри, пожежна машина, пожежник, темний тон шкіри
👨‍🚒	вогнеборець, пожежний автомобіль, пожежник, робота, чоловік
👨🏻‍🚒	вогнеборець, пожежний автомобіль, пожежник, пожежник: світлий тон шкіри, робота, світлий тон шкіри, чоловік
👨🏼‍🚒	вогнеборець, пожежний автомобіль, пожежник, пожежник: помірно світлий тон шкіри, помірно світлий тон шкіри, робота, чоловік
👨🏽‍🚒	вогнеборець, пожежний автомобіль, пожежник, пожежник: помірний тон шкіри, помірний тон шкіри, робота, чоловік
👨🏾‍🚒	вогнеборець, пожежний автомобіль, пожежник, пожежник: помірно темний тон шкіри, помірно темний тон шкіри, робота, чоловік
👨🏿‍🚒	вогнеборець, пожежний автомобіль, пожежник, пожежник: темний тон шкіри, робота, темний тон шкіри, чоловік
👩‍🚒	жінка, жінка-вогнеборець, жінка-пожежник, пожежний автомобіль, пожежник, робота
👩🏻‍🚒	жінка, жінка-вогнеборець, жінка-пожежник, жінка-пожежник: світлий тон шкіри, пожежний автомобіль, пожежник, робота, світлий тон шкіри
👩🏼‍🚒	жінка, жінка-вогнеборець, жінка-пожежник, жінка-пожежник: помірно світлий тон шкіри, пожежний автомобіль, пожежник, помірно світлий тон шкіри, робота
👩🏽‍🚒	жінка, жінка-вогнеборець, жінка-пожежник, жінка-пожежник: помірний тон шкіри, пожежний автомобіль, пожежник, помірний тон шкіри, робота
👩🏾‍🚒	жінка, жінка-вогнеборець, жінка-пожежник, жінка-пожежник: помірно темний тон шкіри, пожежний автомобіль, пожежник, помірно темний тон шкіри, робота
👩🏿‍🚒	жінка, жінка-вогнеборець, жінка-пожежник, жінка-пожежник: темний тон шкіри, пожежний автомобіль, пожежник, робота, темний тон шкіри
👮	коп, офіцер, поліцейський, поліцейський під прикриттям, поліція, працівник поліції, співробітник, штрафувати
👮🏻	коп, офіцер, поліцейський, поліцейський під прикриттям, поліція, працівник поліції, працівник поліції: світлий тон шкіри, світлий тон шкіри, співробітник, штрафувати
👮🏼	коп, офіцер, поліцейський, поліцейський під прикриттям, поліція, помірно світлий тон шкіри, працівник поліції, працівник поліції: помірно світлий тон шкіри, співробітник, штрафувати
👮🏽	коп, офіцер, поліцейський, поліцейський під прикриттям, поліція, помірний тон шкіри, працівник поліції, працівник поліції: помірний тон шкіри, співробітник, штрафувати
👮🏾	коп, офіцер, поліцейський, поліцейський під прикриттям, поліція, помірно темний тон шкіри, працівник поліції, працівник поліції: помірно темний тон шкіри, співробітник, штрафувати
👮🏿	коп, офіцер, поліцейський, поліцейський під прикриттям, поліція, працівник поліції, працівник поліції: темний тон шкіри, співробітник, темний тон шкіри, штрафувати
👮‍♂	поліцейський, поліція, чоловік
👮🏻‍♂	поліцейський, поліцейський: світлий тон шкіри, поліція, світлий тон шкіри, чоловік
👮🏼‍♂	поліцейський, поліцейський: помірно світлий тон шкіри, поліція, помірно світлий тон шкіри, чоловік
👮🏽‍♂	поліцейський, поліцейський: помірний тон шкіри, поліція, помірний тон шкіри, чоловік
👮🏾‍♂	поліцейський, поліцейський: помірно темний тон шкіри, поліція, помірно темний тон шкіри, чоловік
👮🏿‍♂	поліцейський, поліцейський: темний тон шкіри, поліція, темний тон шкіри, чоловік
👮‍♀	жінка, жінка-поліцейський, коп, офіцер, полісменка, поліцейська, поліцейський, поліція, працівниця поліції, штраф
👮🏻‍♀	жінка, жінка-поліцейський, жінка-поліцейський: світлий тон шкіри, коп, офіцер, полісменка, поліцейська, поліцейський, поліція, працівниця поліції, світлий тон шкіри, штраф
👮🏼‍♀	жінка, жінка-поліцейський, жінка-поліцейський: помірно світлий тон шкіри, коп, офіцер, полісменка, поліцейська, поліцейський, поліція, помірно світлий тон шкіри, працівниця поліції, штраф
👮🏽‍♀	жінка, жінка-поліцейський, жінка-поліцейський: помірний тон шкіри, коп, офіцер, полісменка, поліцейська, поліцейський, поліція, помірний тон шкіри, працівниця поліції, штраф
👮🏾‍♀	жінка, жінка-поліцейський, жінка-поліцейський: помірно темний тон шкіри, коп, офіцер, полісменка, поліцейська, поліцейський, поліція, помірно темний тон шкіри, працівниця поліції, штраф
👮🏿‍♀	жінка, жінка-поліцейський, жінка-поліцейський: темний тон шкіри, коп, офіцер, полісменка, поліцейська, поліцейський, поліція, працівниця поліції, темний тон шкіри, штраф
🕵️	детектив, робота, розслідування, сищик, шпигун
🕵🏻	детектив, детектив: світлий тон шкіри, робота, розслідування, світлий тон шкіри, сищик, шпигун
🕵🏼	детектив, детектив: помірно світлий тон шкіри, помірно світлий тон шкіри, робота, розслідування, сищик, шпигун
🕵🏽	детектив, детектив: помірний тон шкіри, помірний тон шкіри, робота, розслідування, сищик, шпигун
🕵🏾	детектив, детектив: помірно темний тон шкіри, помірно темний тон шкіри, робота, розслідування, сищик, шпигун
🕵🏿	детектив, детектив: темний тон шкіри, робота, розслідування, сищик, темний тон шкіри, шпигун
🕵‍♂	детектив, сищик, чоловік, чоловік-детектив, шпигун, шпик
🕵🏻‍♂	детектив, світлий тон шкіри, сищик, чоловік, чоловік-детектив, чоловік-детектив: світлий тон шкіри, шпигун, шпик
🕵🏼‍♂	детектив, помірно світлий тон шкіри, сищик, чоловік, чоловік-детектив, чоловік-детектив: помірно світлий тон шкіри, шпигун, шпик
🕵🏽‍♂	детектив, помірний тон шкіри, сищик, чоловік, чоловік-детектив, чоловік-детектив: помірний тон шкіри, шпигун, шпик
🕵🏾‍♂	детектив, помірно темний тон шкіри, сищик, чоловік, чоловік-детектив, чоловік-детектив: помірно темний тон шкіри, шпигун, шпик
🕵🏿‍♂	детектив, сищик, темний тон шкіри, чоловік, чоловік-детектив, чоловік-детектив: темний тон шкіри, шпигун, шпик
🕵‍♀	детектив, докази, жінка, жінка-детектив, жінка-сищик, людина, робота, розслідування, шпигун, шпигунка
🕵🏻‍♀	детектив, докази, жінка, жінка-детектив, жінка-детектив: світлий тон шкіри, жінка-сищик, людина, робота, розслідування, світлий тон шкіри, шпигун, шпигунка
🕵🏼‍♀	детектив, докази, жінка, жінка-детектив, жінка-детектив: помірно світлий тон шкіри, жінка-сищик, людина, помірно світлий тон шкіри, робота, розслідування, шпигун, шпигунка
🕵🏽‍♀	детектив, докази, жінка, жінка-детектив, жінка-детектив: помірний тон шкіри, жінка-сищик, людина, помірний тон шкіри, робота, розслідування, шпигун, шпигунка
🕵🏾‍♀	детектив, докази, жінка, жінка-детектив, жінка-детектив: помірно темний тон шкіри, жінка-сищик, людина, помірно темний тон шкіри, робота, розслідування, шпигун, шпигунка
🕵🏿‍♀	детектив, докази, жінка, жінка-детектив, жінка-детектив: темний тон шкіри, жінка-сищик, людина, робота, розслідування, темний тон шкіри, шпигун, шпигунка
💂	варта, караул, охорона, сторожа, чати
💂🏻	варта, варта: світлий тон шкіри, караул, охорона, світлий тон шкіри, сторожа, чати
💂🏼	варта, варта: помірно світлий тон шкіри, караул, охорона, помірно світлий тон шкіри, сторожа, чати
💂🏽	варта, варта: помірний тон шкіри, караул, охорона, помірний тон шкіри, сторожа, чати
💂🏾	варта, варта: помірно темний тон шкіри, караул, охорона, помірно темний тон шкіри, сторожа, чати
💂🏿	варта, варта: темний тон шкіри, караул, охорона, сторожа, темний тон шкіри, чати
💂‍♂	вартовий, вартівник, страж, чатовий
💂🏻‍♂	вартовий, вартовий: світлий тон шкіри, вартівник, світлий тон шкіри, страж, чатовий
💂🏼‍♂	вартовий, вартовий: помірно світлий тон шкіри, вартівник, помірно світлий тон шкіри, страж, чатовий
💂🏽‍♂	вартовий, вартовий: помірний тон шкіри, вартівник, помірний тон шкіри, страж, чатовий
💂🏾‍♂	вартовий, вартовий: помірно темний тон шкіри, вартівник, помірно темний тон шкіри, страж, чатовий
💂🏿‍♂	вартовий, вартовий: темний тон шкіри, вартівник, страж, темний тон шкіри, чатовий
