‾	överstreck
∥	parallell
∧	logiskt och
∩	skärning, snitt
∪	union, unionen av
∫	integral
∬	dubbelintegral
∮	konturintegral
∴	alltså
∵	eftersom
∶	förhållande
∷	proportion
∼	tildeoperator
∽	omvänd tilde
∾	inverterat liggande s
≃	asymptotiskt lika med
≅	ungefär lika med
≈	nästan lika med, ungefär lika med
≌	allt lika
≒	ungefärligt lika med-bild
≖	ring i likhetstecken
≡	exakt, identiskt, identiskt lika med, trippel
≣	strikt ekvivalent
≤	lika med, likhetstecken, mindre än, mindre än eller lika med, olikhetstecken
≥	lika med, likhetstecken, olikhetstecken, större än, större än eller lika med
≦	mindre än över lika med
≧	större än över lika med
≪	mycket mindre än
≫	mycket större än
≬	mellan
≳	större än likvärdig
≺	föregår
≻	efterföljer
⊁	efterföljer inte
⊂	delmängd, delmängd av, är en delmängd av
⊃	supermängd
⊆	delmängd lika med
⊇	supermängd lika med
⊕	plus i cirkel
⊖	minus i cirkel
⊗	gångertecken i cirkel
⊘	divisionsstreck i cirkel
⊙	prickoperator i cirkel
⊚	ringoperator i cirkel
⊛	asteriskoperator i cirkel
⊞	plus i kvadrat
⊟	minus i kvadrat
⊥	falsum
⊮	tvingar inte
⊰	efterföljer under relation
⊱	föregår under relation
⋭	innehåller inte som normal delgruppslikvärdig
⊶	original
⊹	hermitesk matris
⊿	rätvinklig triangel
⋁	n-ställig logik eller
⋂	n-ställigt snitt
⋃	n-ställig union
⋅	prickoperator
⋆	stjärnoperator
⋈	naturlig ordning
⋒	dubbelsnitt
⋘	väldigt mycket mindre än
⋙	väldigt mycket större än
⋮	vertikal ellips
⋯	mellanhög horisontell ellips
⋰	högerstigande diagonal ellips
⋱	högersjunkande diagonal ellips
■	fylld kvadrat
□	ihålig kvadrat
▢	ihålig kvadrat med rundade hörn
▣	ihålig kvadrat som innehåller fylld kvadrat
▤	kvadrat med horisontell fyllning
▥	kvadrat med vertikal fyllning
▦	kvadrat med ortogonalt korsande streckfyllning
▧	kvadrat med diagonalt sjunkande fyllning från vänster till höger
▨	kvadrat med diagonalt sjunkande fyllning från höger till vänster
▩	kvadrat med diagonalt korsande streckfyllning
▬	fylld rektangel
▭	ihålig rektangel
▮	fylld vertikal rektangel
▰	fyllt parallellogram
▲	fylld, fylld uppåtpekande triangel, fylld uppåtriktad triangel, pil, triangel, uppåt
△	ihålig uppåtpekande triangel
▴	fylld uppåtpekande liten triangel
▵	ihålig uppåtpekande liten triangel
▷	ihålig högerpekande triangel
▸	fylld högerpekande liten triangel
▹	ihålig högerpekande liten triangel
►	fylld högerpekande pekare
▻	ihålig högerpekande pekare
▼	fylld, fylld nedåtpekande triangel, fylld nedåtriktad triangel, nedåt, pil, triangel
▽	ihålig nedåtpekande triangel
▾	fylld nedåtpekande liten triangel
▿	ihålig nedåtpekande liten triangel
◁	ihålig vänsterpekande triangel
◂	fylld vänsterpekande liten triangel
◃	ihålig vänsterpekande liten triangel
◄	fylld vänsterpekande pekare
◅	ihålig vänsterpekande pekare
◆	fylld romb
◇	ihålig romb
◈	ihålig romb som innehåller fylld romb
◉	ihålig cirkel som innehåller fylld cirkel
◊	diamant, romb, ruta
○	cirkel, ihålig cirkel, ring
◌	punktcirkel
◍	cirkel med vertikal fyllning
◎	måltavla
●	cirkel, fylld cirkel
◐	cirkel med vänster halva fylld
◑	cirkel med höger halva fylld
◒	cirkel med nedre halva fylld
◓	cirkel med övre halva fylld
◔	cirkel med övre högra fjärdedel fylld
◕	fylld cirkel med övre vänstra fjärdedel tom
◖	vänster halvfylld cirkel
◗	höger halvfylld cirkel
◘	inverterad punkt
◙	fylld kvadrat med ihålig cirkel
◜	övre vänstra kvadrant cirkulär båge
◝	övre högra kvadrant cirkulär båge
◞	nedre högra kvadrant cirkulär båge
◟	nedre vänstra kvadrant cirkulär båge
◠	övre halvcirkel
◡	nedre halvcirkel
◢	fylld triangel nedtill höger
◣	fylld triangel nedtill vänster
◤	fylld triangel upptill vänster
◥	fylld triangel upptill höger
◦	ihålig punkt
◯	cirkel, ring, stor ihålig cirkel
◳	ihålig kvadrat övre högra kvadrant
◷	ihålig cirkel med övre högra kvadrant
◿	triangel nedtill höger
♪	musik, not, åttondel, åttondelsnot
⨧	plus nedsänkt två
⨯	vektorkryssprodukt
⨼	inre produkt
⩣	logiskt eller dubbelt understreck
⩽	lutande mindre än-likhetstecken
⪍	lutande mindre än ovanför-likhetstecken
⪚	lika med större än med dubbla linjer
⪺	föregår över inte nästan lika med
♭	dur, musik, not
♯	moll, musik, not
😀	ansikte, ansikte med stort leende, glad, kul, leende, roligt, skratt
😃	ansikte, flina, flinande ansikte med stora ögon, glad, kul, leende, mun, roligt, skratt, stora, tänder, ögon, öppen
😄	ansikte, blundar, flina, flinande ansikte med leende ögon, glad, kul, leende, lol, roligt, skratt, ögon
😁	ansikte, leende, roligt, skratt, strålande, strålande ansikte med leende ögon, tänder, ögon
😆	ansikte, flinande, flinande ansikte med kisande ögon, hahaha, jätteroligt, kiknar, kisande, leende, mun, roligt, skratt, stängda, ögon, öppen
😅	ansikte, droppe, flinande ansikte med svettdroppe, glad, jobbigt, leende, nervös, stress, svett, trött
🤣	ansikte, gapskratt, golv, gråter, jätteroligt, rullar, rullar runt på golvet och skrattar, skratt, tårar
😂	ansikte, ansikte med glädjetårar, gapskratt, glädjetårar, gråt, jätteroligt, skratt, tårar
🙂	ansikte, glad, leende, ler, litet, nöjd, småleende ansikte
🙃	ansikte, leende, upp-och-ner, upp-och-nervänt ansikte
🫠	ansikte, flytande, försvinner, smältande ansikte, smälter, upplöses, varmt
😉	ansikte, ansikte som blinkar med ett öga, blinkar, flört, skämt, öga
😊	ansikte, glad, kinder, leende, leende ansikte och ögon, ler, nöjd, rosiga, ögon
