‾	pārsvītrojums, vinkuls, virssvītrojums
⊱	atrodas pēc attiecības, kopas operators, matemātika
⋭	grupas teorija, kas vienāda, matemātika, nesatur kā parasto apakšgrupu, nesatur kā parasto apakšgrupu, kas vienāda
⊶	oriģināls
⊹	hermita konjugāta matrica, kvadrātveida matrica, matemātika, pašsavienotā matrica
⊿	matemātika, taisnleņķa trīsstūris, trīsstūris
⋁	disjunkcija, loģika, n-āri loģisks vai
⋂	kopas operators, krustošanās, matemātika, n-āra krustošanās
⋃	apvienošana, kopas operators, matemātika, n-āra apvienošana
⋅	punktveida operators
⋆	operators, zvaigznītes operators
⋈	binārs operators, dabiski pievienoties, tauriņš
⋒	dubulta krustošanās, kopas operators, krustošanās, matemātika
⋘	matemātika, nevienādība, ļoti daudz mazāk nekā
⋙	matemātika, nevienādība, ļoti daudz lielāks nekā, ļoti daudz mazāk nekā
⋮	daudzpunkte, matemātika, vertikāla daudzpunkte
⋯	viduslīnija, viduslīnijas horizontālā daudzpunkte
⋰	augšupvērsta diagonāla daudzpunkte, daudzpunkte, matemātika
⋱	daudzpunkte, lejupvērsta diagonāla daudzpunkte, matemātika
■	pilns kvadrāts
□	tukšs kvadrāts
▢	tukšs kvadrāts ar noapaļotiem stūriem
▣	tukšs kvadrāts ietver pilnu kvadrātu
▤	kvadrāts ar horizontālu aizpildījumu
▥	kvadrāts ar vertikālu aizpildījumu
▦	ortogonāli šķērssvītroti aizpildīts kvadrāts
▧	slīpi no kreisās puses uz labo no augšas uz apakšu aizpildīts kvadrāts
▨	slīpi no kreisās puses uz labo no apakšas uz augšu aizpildīts kvadrāts
▩	pa diagonāli šķērssvītroti aizpildīts kvadrāts
▬	pilns taisnstūris
▭	tukšs taisnstūris
▮	pilns vertikāls taisnstūris
▰	pilns paralelograms
▲	augšup, bultiņa, pilns, pilns augšupvērsts trīsstūris, trīsstūris
△	tukšs uz augšu vērsts trīsstūris
▴	pilns uz augšu vērsts mazs trīsstūris
▵	tukšs uz augšu vērsts mazs trīsstūris
▷	tukšs pa labi vērsts trīsstūris
▸	pilns pa labi vērsts mazs trīsstūris
▹	tukšs pa labi vērsts mazs trīsstūris
►	pilns pa labi vērsts rādītājs
▻	tukšs pa labi vērsts rādītājs
▼	bultiņa, lejup, pilns, pilns lejupvērsts trīsstūris, trīsstūris
▽	tukšs uz leju vērsts trīsstūris
▾	pilns uz leju vērsts mazs trīsstūris
▿	tukšs uz leju vērsts mazs trīsstūris
◁	tukšs pa kreisi vērsts trīsstūris
◂	pilns pa kreisi vērsts mazs trīsstūris
◃	tukšs pa kreisi vērsts mazs trīsstūris
◄	pilns pa kreisi vērsts rādītājs
◅	tukšs pa kreisi vērsts rādītājs
◆	pilns rombs
◇	tukšs rombs
◈	tukšs rombs ietver pilnu rombu
◉	tukšs aplis ietver pilnu apli
◊	rombs, rombveida
○	gredzens, riņķis, tukšs riņķis
◌	punktots aplis
◍	aplis ar vertikālu aizpildījumu
◎	dubults aplis, koncentriski apļi, mērķis
●	pilns riņķis, riņķis
◐	aplis ar aizpildītu kreiso pusi
◑	aplis ar aizpildītu labo pusi
◒	aplis ar aizpildītu apakšpusi
◓	aplis ar aizpildītu augšpusi
◔	aplis ar aizpildītu augšējo labo kvadrantu
◕	aplis ar neaizpildītu augšējo kreiso kvadrantu
◖	aizpildīts kreisais pusaplis
◗	aizpildīts labais pusaplis
◘	inversā aizzīme
◙	apvērsts tukšs riņķis, pilns kvadrāts ietver tukšu riņķi
◜	augšējā kreisā kvadranta apļveida loks
◝	augšējā labā kvadranta apļveida loks
◞	apakšējā labā kvadranta apļveida loks
◟	apakšējā kreisā kvadranta apļveida loks
◠	augšējais pusaplis
◡	apakšējais pusaplis
◢	aizpildīts apakšējais labais trīsstūris
◣	aizpildīts apakšējais kreisais trīsstūris
◤	aizpildīts augšējais kreisais trīsstūris
◥	aizpildīts augšējais labais trīsstūris
◦	tukša aizzīme
◯	gredzens, liels tukšs riņķis, riņķis
◳	tukšs kvadrāts ar augšējo labo kvadrantu
◷	tukšs aplis ar augšējo labo kvadrantu
◿	apakšējais labais trīsstūris
♪	astotdaļa, astotdaļnots, mūzika, nots
⨧	plus divi apakšrakstā
⨯	vektoriālais reizinājums
⨼	iekšējais reizinājums
⩣	loģisks ar dubultu pasvītrojumu
⩽	mazāks par vai vienāds ar
⪍	mazāks par virs vienāds vai līdzvērtīgs
⪚	dubultlīnija ir vienāda ar lielāku par
⪺	iekļauts virs nav gandrīz vienāds
♭	bemols, mūzika, nots
♯	diēzs, mūzika, nots
😀	priecīgs, prieks, seja, smaids, smaidīgs, smejas, smiekli
😃	atvērts, mute, plats smaids un lielas acis, seja, smaids, smaidīgs, super!
😄	atvērts, mute, seja, smaidoša seja ar atvērtu muti un smaidošām acīm, smaids, smejas
😁	jauks, plats smaids, plats smaids un smaidošas acis, priecīgs, seja, smaids, smīns
😆	atvērts, laimīgs, mute, priecīgs, seja, smaidoša seja ar atvērtu muti un aizmiegtām acīm, smaids, smiekli
😅	atvērts, auksts, nervozs, plats smaids ar sviedru lāsi, seja, smaids, stress, sviedri
🤣	grīda, lol, līdz asarām, seja, smieklīgi, smieties, vārtās smieklos pa grīdu, vārtīties
😂	asaras, līdz asarām, prieks, seja, seja ar prieka asarām, smiekli, smieklīgi, uzjautrinoši
🙂	seja, seja ar vieglu smaidu, smaids
🙃	apgriezta seja, apgriezts, otrādi, seja, smaids
🫠	izkausēt, izkust, izšķīst, kūstoša seja, pazūd, sarkasms, šķidrums
😉	acs, miegt, mirkšķināt, seja, seja ar piemiegtu aci, smaidiņš
😊	nosarkt, prieks, seja, smaidoša seja ar smaidošām acīm, smaids
😇	eņģelis, nevainīgs, nimbs, seja, smaidoša seja ar nimbu, smaids, svētais
🥰	aizrāvies, dievināt, iemīlējies, seja, sirdis, smaidoša seja ar sirsniņām
😍	acs, mīlestība, seja, sirds, smaidoša seja ar sirds formas acīm, smaids
🤩	acis, sajūsmināts, seja, smaidīt, zvaigznes, zvaigžņu pārņemts
😘	buča, mīlestība, seja, sirds, skūpstoša seja, skūpsts
😗	buča, flirts, seja, seja sniedz skūpstu, skūpsts
☺️	mierīgs, prieks, seja, smaidoša seja, smaids
😚	acs, aizvērtas acis, aizvērts, buča, seja, seja ar aizvērtām acīm sniedz skūpstu, skūpsts, smaids
😙	seja, seja ar smaidošām acīm sniedz skūpstu, skūpsts, smaids
🥲	aizkustināts, asara, atvieglots, lepns, pateicīgs, smaidoša seja ar asaru, smaidošs
😋	garšīgs, seja, smaids, ēdienu baudoša seja, ņamm
