‾	надчеркивание
◥	закрашенный верхний правый треугольник
◦	полый маркер пункта в списке
◯	большой незакрашенный круг, круг, полый, пустой, шар
◳	полый квадрат с полой верхней правой четвертью
◷	полый круг с полой верхней правой четвертью
◿	нижний правый треугольник
♪	восьмая, восьмая нота, музыка, нота
⨧	плюс с цифрой два в нижнем регистре
⨯	векторное произведение
⨼	внутреннее произведение
⩣	логическое или с двойным подчеркиванием
⩽	меньше или равно, меньше с наклонным равно
⪍	меньше над асимптотически равно
⪚	больше под равно, математика, неравенство
⪺	следует над приблизительно не равно
♭	бемоль, музыка, нота
♯	диез, музыка, нота
😀	лицо, радость, смех, счастье, улыбка, широко улыбается
😃	весело, лицо, радость, рот, смеется, смех, улыбка
😄	глаза, закрытые, лицо, радость, смеется, смеется с закрытыми глазами, смех, смеяться, улыбка
😁	весело, глаза, зубы, лицо, ржать, светится от счастья, смех, счастье, улыбка, ухмылка, широкая
😆	глаза, закрытые, лол, радость, смеется с прищуренными глазами, смех, смешно, угораю, улыбка, ха-ха, хохот
😅	лол, нервно смеется, нервный, облегчение, открытый, пот, рот, смех, стресс, улыбка, широкая
🤣	глаза, катается со смеху, катаюсь, плач, пол, ржака, ржач, слезы, умора, ха-ха, хохот
😂	глаза, лол, плач, ржака, ржач, ржунимагу, слезы, смеется до слез, смешно, умора, ха-ха
🙂	легкая, лицо, радость, слегка улыбается, смайлик, улыбка
🙃	вверх, вверх тормашками, ногами, перевернутый, смайлик, тормашками, улыбка
🫠	грустная, жара, жарко, лол, нежность, печальная, плавится, растаять, тает, таю, улыбка
😉	глаз, договорились, ироничная, легкая, окей, подмигивает, улыбка, флирт, хорошо, шутка
😊	глаза, довольно улыбается, довольный, закрытые, краснеть, легкая, радость, румянец, улыбка, щеки
😇	ангел, глаза, добрый, закрытые, легкая, невинная, нимб, с нимбом, улыбка
🥰	люблю, любовь, нежность, обожаю, радость, романтика, румянец, сердечки, улыбающееся лицо с сердечками, улыбка, чувства
😍	без ума, вау, влюбленное лицо, влюбленность, восторг, глаза, люблю, обожаю, сердечки, чувства
🤩	вау, глаза, звезда, звездный, звезды, звезды в глазах, обалдеть, радость, супер, улыбка, широкая
😘	воздушный, воздушный поцелуй, губы, комплимент, любовь, подмигивание, поцелуй, сердечко, скучаю, флирт, чмок
😗	люблю, любовь, нежность, поцелуй, романтика, скучаю, флирт, целует, чмок
☺️	довольный, окей, радость, румянец, смайлик, счастье, улыбается, улыбка, хорошо
😚	глаза, закрытые, поцелуй, румянец, флирт, целовать, целует с закрытыми глазами, чмок
😙	глаза, лицо, любовь, поцелуй, свидание, счастливый поцелуй, улыбка, флирт, чмок
🥲	боль, гордость, лицо, облегчение, признательность, радость, слеза, трогательный, улыбающееся лицо со слезой, улыбка, умиление
😋	вкус, вкусно, еда, лицо, объедение, отлично, смаковать, язык
😛	вот, высунуть, забавно, показывает, показывает язык, смешно, улыбка, ха, шутка, язык
😜	весело, глаз, забавно, подмигнуть, показать, показывает язык и подмигивает, розыгрыш, улыбка, ха-ха, шутка, язык
🤪	крейзи, показать, псих, сдвиг, сошел, сумасшедшее лицо, сумасшедший, ума, фазе, чокнуться, язык
😝	бе, гадость, жмуриться, морщится и показывает язык, омг, отвращение, показать, противно, ужас, фу, язык
🤑	баксы, богатый, выиграть, деньги, деньги в глазах, джекпот, доллары, лотерея, мани, счастливчик, язык
🤗	встречи, обнимает, обнимашки, объятия, пока, привет, радость, руки, румянец, увидимся, улыбка
🤭	лишнее, ляпнуть, посмеиваться, прикрывает рот рукой, проговорился, секрет, смешок, сюрприз, тайна, упс, хи
🫢	изумление, испуг, недоверие, прикрывает рот рукой с открытыми глазами, смущение, страх, удивление, шок
🫣	глаз, интересно, испуг, подсматривает, рука, румянец, стесняюсь, страх, тайно, украдкой
🤫	говори, закрой, никому, секрет, тайна, тихо, тс-с-с, тсс, узнает, услышать, шепот
🤔	думает, думаю, знаю, интересно, мозгами, озадачен, пораскинуть, размышлять, сложно, трудно, хм
🫡	воинское приветствие, да, есть, окей, отдать, приветствие, приказ, сделаю, точно, хорошо, честь
🤐	говори, замке, могила, молния, никому, рот, рот на замке, секрет, скажу, тайна
